"id","title","year","journal_name","conf_name"
"47222235","Black hole mass measurement in nearby galaxy using molecular gas dynamics","2016",,"URSI Asia-Pacific Radio Science Conference"
"75950892","Rest-Frame Optical Spectroscopic Classifications for Submillimeter Galaxies","2006",,"Web Science"
"83346959","WEIGHING THE BLACK HOLES IN z ≈ 2 SUBMILLIMETER-EMITTING GALAXIES HOSTING ACTIVE GALACTIC NUCLEI","2008",,"Web Science"
"266723588","Molecular Gas in the Early Universe","2008",,
"172896440","Radio observations of the Chandra Deep Field South : Exploring the possible link between radio emission and star formation in X-ray selected AGN","2007","Astronomy and Astrophysics",
"8354990","Light Cores Behind Dark Masks","2010",,
"466839722","Quasars in the Life of Astronomers","2012",,
"348482584","AGN and the Demographics of Supermassive Black Holes","2002",,
"174426192","Agn Host Galaxies: HST at Z ~ 0.1 and Gemini Adaptive Optics at Z ~ 2","2001",,
"396079466","Models of Quasars","2012",,
"111666871","Addressing systematic uncertainties in black hole mass measurements","2011",,
"417958414","Quasars Classes and Their Relationships","2012","Astrophysics and space science library",
"364864080","Mapeamento ""tridimensional"" do entorno dos buracos negros supermassivos em galáxias Seyfert","2008",,
"117128452","Resolved Molecular Gas Emission in a QSO Host Galaxy at Z = 6.4","2005",,
"351132369","Definitive Measurements of a Supermassive Black Hole and Its Surrounding Mass","2001",,
"310670796","Submicron Kinetic Inductance Detectors for SAFARI: Improving MKID sensitivity through width reduction","2010",,
"172586273","Black Holes for Computational Astrophysicists","2003",,
"13816297","Black Holes Have No Interior Singularities","2014",,
"215238881","First Galaxies and AGNs","2006",,
"472478803","Galaxy Formation and Evolution in the Cold Universe","2004",,
"109575299","The effects of X-ray feedback from active galactic nuclei on host galaxy evolution","2011","The Astrophysical Journal",
"204902596","Subaru Telescope adaptive optics observations of gravitationally lensed quasars in the Sloan Digital Sky Survey","2016","Monthly Notices of the Royal Astronomical Society",
"424691905","Quasars in the 4D eigenvector 1 context: a stroll down memory lane","2015","Frontiers in Astronomy and Space Sciences",
"434954017","Is there any evidence that ionized outflows quench star formation in type 1 quasars at z < 1?","2016","Astronomy and Astrophysics",
"77978249","MASSIVE RELIC GALAXIES CHALLENGE THE CO-EVOLUTION OF SUPER-MASSIVE BLACK HOLES AND THEIR HOST GALAXIES","2015","The Astrophysical Journal",
"449517984","Doing Science with eLISA: Astrophysics and Cosmology in the Millihertz Regime","2012",,
"193710895","M• − σrelation for intermediate-mass black holes in globular clusters","2013","Astronomy and Astrophysics",
"319599949","Minimal variability time scale – central black hole mass relation of the γ-ray loud blazars","2015","Astronomy and Astrophysics",
"249408513","Properties of galaxies around AGNs with the most massive supermassive black holes revealed by clustering analysis","2016","Publications of the Astronomical Society of Japan",
"313785649","Extragalactic Astronomy with the VLTI: A New Window on the Universe","2003","Astrophysics and Space Science",
"452453419","The physical properties of AGN host galaxies as a probe of SMBH feeding mechanisms","2015","Astronomy and Astrophysics",
"160479357","Ultraluminous infrared galaxies","2006","arXiv: Astrophysics",
"396936186","AGN population in the deepest hard X-ray extragalactic survey","2009","arXiv: Astrophysics",
"337274133","Active Galactic Nucleus Black Hole Masses and Bolometric Luminosities","2002","The Astrophysical Journal",
"54709487","The Nucleus-Host Galaxy Connection in Radio-Loud AGN","2001",,
"127012531","Growth of black holes at the centers of galaxies: Absorption of stars and activity of galactic nuclei","2005","Journal of Experimental and Theoretical Physics",
"87478423","Supermassive Black Hole Accretion History Inferred from a Large Sample of Chandra Hard X-Ray Sources","2001","The Astronomical Journal",
"209466208","How Mergers May Affect the Mass Scaling Relation between Gravitationally Bound Systems","2007","The Astrophysical Journal",
"165535961","THE STATE OF THE COLD DARK MATTER MODELS ON GALACTIC AND SUBGALACTIC SCALES","2003","International Journal of Modern Physics D",
"117726610","A Molecular Gas Survey of Z < 0. 2 Infrared Excess, Optical QSOS","2001",,
"144850981","Adaptive Optics Imaging Of Quasi-Stellar Objects With Double-Peaked Narrow Lines: Are They Dual Active Galactic Nuclei?","2011","The Astrophysical Journal",
"375144024","Active galactic nucleus feedback and triggering of star formation in galaxies","2012","Monthly Notices of the Royal Astronomical Society",
"312389676","Active Galactic Nuclei","2007",,
"459142108","Warping and tearing of misaligned circumbinary disks around eccentric supermassive black hole binaries","2015","Journal of Cosmology and Astroparticle Physics",
"159663477","Galaxies as Rotating Buckets - a Hypothesis on the Gravitational Constant Based on Mach's Principle","2003","arXiv: General Relativity and Quantum Cosmology",
"452414739","Intermediate-mass black holes in globular clusters: observations and simulations","2014","arXiv: Astrophysics of Galaxies",
"457343422","Hardening in a Stellar Time-Evolving Background: Prospects for LISA","2007",,
"201898086","AGN Reverberation Mapping","2016","arXiv: Astrophysics of Galaxies",
"54920636","Active Galactic Nuclei at the Crossroads of Astrophysics","2007","arXiv: Astrophysics",
"249863808","The nuclear to host galaxy relation of high redshift quasars","2007","The Astrophysical Journal",
"238915762","Revealing the Heart of the Galaxy: The Milky Way and its Black Hole","2013",,
"440153157","Relación de agujeros negros súper masivos con propiedades globales de las galaxias que los albergan","2011","Ciencia y Tecnología",
"210163660","Stellar Clusters in the Nucleus of Galaxie","2004",,
"12105891","A ?50,000 M? Solar Mass Black Hole in the Nucleus of RGG 118","2015","The Astrophysical Journal",
"284254720","Mass and Velocity Dispersion Relations for Supermassive Black Holes in Galactic Bulges","2009","arXiv: Astrophysics",
"365476643","A high stellar velocity dispersion for a compact massive galaxy at redshift z = 2.186","2009","Nature",
"295035813","The Black Hole in the Compact, High-dispersion Galaxy NGC 1271","2015","The Astrophysical Journal",
"484620458","Black Hole Growth in Dark Matter and the MBH-σ Relation","2002","The Astrophysical Journal",
"383794218","AGN Feedback in Elliptical Galaxies: Numerical Simulations","2012","arXiv: Astrophysics of Galaxies",
"47688350","Finding Local Low‐mass Supermassive Black Holes","2008","arXiv: Astrophysics",
"388842151","MOCCA code for star cluster simulations – IV. A new scenario for intermediate mass black hole formation in globular clusters","2015","Monthly Notices of the Royal Astronomical Society",
"341368806","The largest X-ray-selected sample of $\boldsymbol {z>3}$ AGNs: C-COSMOS and ChaMP","2014","Monthly Notices of the Royal Astronomical Society",
"246508554","Hubble Space Telescope Proper Motions and Stellar Dynamics in the Core of the Globular Cluster 47 Tucanae","2006","Astrophysical Journal Supplement Series",
"325702375","Monte-Carlo Models of Collisional Stellar Systems","2008",,
"369622569","Environmental Effects on the Growth of Supermassive Black Holes and Active Galactic Nucleus Feedback","2012","The Astrophysical Journal",
"152948811","Integral-Field Spectroscopy of the Centaurus A Nucleus","2008","Monthly Notices of the Royal Astronomical Society",
"34393790","X-Ray Observations of Powerful AGN Outflows","2014","Space Science Reviews",
"215200671","Black hole growth and AGN feedback under clumpy accretion","2017","Monthly Notices of the Royal Astronomical Society",
"375216186","Coevolution and Downsizing of Supermassive Black Holes and Galactic Bulges","2008",,
"455040715","DEMOGRAPHICS OF SLOAN DIGITAL SKY SURVEY GALAXIES ALONG THE HUBBLE SEQUENCE","2013","The Astronomical Journal",
"39187507","Higher prevalence of X-ray selected AGN in intermediate-age galaxies up to z ∼ 1","2014","Monthly Notices of the Royal Astronomical Society",
"92389","The Assembly of Present‐Day Galaxies as Witnessed by Deep Surveys","2008",,
"490028459","The host galaxy/AGN connection - Brightness profiles of early-type galaxies hosting Seyfert nuclei","2007","Astronomy and Astrophysics",
"326987500","Measuring the Mass of the Central Black Hole in the Bulgeless Galaxy NGC 4395 from Gas Dynamical Modeling","2015","The Astrophysical Journal",
"287217862","The DWT power spectrum analysis of the large scale structure in the universe: Method and simulation tests","2001","Science China-mathematics",
"146242564","An X-ray variable absorber within the Broad Line Region in Fairall 51","2015","Astronomy and Astrophysics",
"350697876","MASSIVE BLACK HOLE EVOLUTION IN RADIO-LOUD ACTIVE GALACTIC NUCLEI","2003","Journal of the Korean Astronomical Society",
"438717149","On Black Hole Masses and Radio Loudness in Active Galactic Nuclei","2000","The Astrophysical Journal",
"343299042","FORMATION AND EVOLUTION OF GALACTIC NUCLEI, BLACK HOLES *","2003","Astrophysics and Space Science",
"443359010","AEGIS: DEMOGRAPHICS OF X-RAY AND OPTICALLY SELECTED ACTIVE GALACTIC NUCLEI","2011","The Astrophysical Journal",
"286905050","BLACK HOLE MASS, VELOCITY DISPERSION, AND THE RADIO SOURCE IN ACTIVE GALACTIC NUCLEI","2000","The Astrophysical Journal",
"155528901","Dynamical evolution driven by bars and interactions : Input from numerical simulations","2002","Astrophysics and Space Science",
"165366535","GALAXY ROTATION AND RAPID SUPERMASSIVE BINARY COALESCENCE","2015","The Astrophysical Journal",
"64793582","Evolution of Supermassive Black Holes","2007","arXiv: Astrophysics",
"317120382","ACTIVE GALACTIC NUCLEUS AND QUASAR SCIENCE WITH APERTURE MASKING INTERFEROMETRY ON THE JAMES WEBB SPACE TELESCOPE","2014","The Astrophysical Journal",
"150652805","Black holes: Evolution of massive black holes","2011","arXiv: Astrophysics",
"221363713","Quasars: The Observational Perspectives","2012","Springer US",
"7245088","The Halo Occupation Distribution of Black Holes: Dependence on Mass","2011","arXiv: Cosmology and Nongalactic Astrophysics",
"470373483","Jets and AGN Feedback","2012",,
"69754622","The Central Kiloparsec-Scale Structure of Galaxies","2001","arXiv: Astrophysics",
"335338051","NUclei of GAlaxies - V. Radio emission in 7 NUGA sources","2007","Astronomy and Astrophysics",
"77109315","The black hole masses in galactic nuclei","2010",,
"200242915","Extragalactic Background Light, MACHOs, and the Cosmic Stellar Baryon Budget","2001","arXiv: Astrophysics",
"138340537","Stellar and quasar feedback in concert: Effects on AGN accretion, obscuration, and outflows","2016","Monthly Notices of the Royal Astronomical Society",
"471016079","ACTIVE GALACTIC NUCLEUS FEEDBACK IN AN ISOLATED ELLIPTICAL GALAXY: THE EFFECT OF STRONG RADIATIVE FEEDBACK IN THE KINETIC MODE","2014","The Astrophysical Journal",
"371572290","Colliding Black Holes and Gravitational Waves","2009",,
"394977866","HS 1700+6416: the first high-redshift unlensed narrow absorption line-QSO showing variable high-velocity outflows","2012","Astronomy and Astrophysics",
"429672071","First Detection of 12CO (1→ 0) Emission from Two Narrow-Line Seyfert 1 Galaxies","2008","The Astrophysical Journal",
"324860079","Molecular Gas at High Redshift","2011","arXiv: Cosmology and Nongalactic Astrophysics",
"491992888","Supermassive black holes in galaxies","2007","Comptes Rendus Physique",
"356064335","HUNTING FOR SUPERMASSIVE BLACK HOLES IN NEARBY GALAXIES WITH THE HOBBY-EBERLY TELESCOPE","2015","Astrophysical Journal Supplement Series",
"182430040","THE BIASES OF OPTICAL LINE-RATIO SELECTION FOR ACTIVE GALACTIC NUCLEI AND THE INTRINSIC RELATIONSHIP BETWEEN BLACK HOLE ACCRETION AND GALAXY STAR FORMATION","2015","The Astrophysical Journal",
"119075472","Non gravitational heating mechanisms in galaxy clusters","2007",,
"36960001","Black Holes: Physics and Astrophysics","2005",,
"239002582","The near-infrared properties of the host galaxies of radio quasars","2003","Astronomy and Astrophysics",
"233679732","Black hole scaling relationships and NLS1s","2011",,
