reference_id,paper_id
4605405,489118906
4605405,438717149
4605405,351732399
4605405,31591574
4605405,487109900
4605405,179099398
4605405,229355358
4605405,109578209
4605405,460593526
4605405,160667325
4605405,42609855
4605405,218278192
4605405,434399147
4605405,454982550
4605405,117326813
4605405,230208607
4605405,212660805
4605405,183805412
4605405,11992596
4605405,257806486
4605405,310208141
4605405,408737053
4605405,345315187
4605405,199870320
4605405,266869557
4605405,144381211
4605405,260842527
4605405,455075958
4605405,100998620
4605405,61390075
4605405,201206765
4605405,291695529
4605405,280117387
4605405,95544093
4605405,126805248
4605405,117726610
4605405,87089720
4605405,69754622
4605405,54709487
4605405,200242915
4605405,349874951
4605405,177880418
4605405,231347157
4605405,111353985
4605405,351132369
4605405,279883737
4605405,302701957
4605405,199568242
4605405,317813040
4605405,227765765
4605405,155528901
4605405,35287437
4605405,203153089
4605405,360047656
4605405,36025237
4605405,71466272
4605405,150715227
4605405,497082505
4605405,350697876
4605405,91395364
4605405,49725149
4605405,417085093
4605405,30691635
4605405,476026661
4605405,110942499
438717149,286905050
438717149,268658570
438717149,1340729
438717149,235935883
286905050,40618834
286905050,243921537
286905050,320353814
286905050,418206168
286905050,178368803
286905050,128740038
102900334,4605405
102900334,229190058
102900334,345993473
102900334,1728828
102900334,302411876
102900334,264043789
102900334,456124235
102900334,3697099
102900334,156286014
102900334,188275786
102900334,287217862
102900334,174426192
102900334,58026270
102900334,283260898
102900334,306032062
102900334,234425848
102900334,18615507
102900334,323759359
102900334,350514167
102900334,181800845
102900334,159663477
31591574,226572584
31591574,101610360
31591574,10702482
31591574,318860177
31591574,342900645
31591574,63769244
31591574,252198402
31591574,263537478
31591574,495787323
487109900,442427329
487109900,262939683
487109900,109750086
487109900,24971629
487109900,365989277
467390212,471442980
467390212,241922477
467390212,31206111
467390212,11656126
467390212,383357854
966883,291200
442427329,482286918
442427329,155185629
442427329,438850436
101610360,378403054
101610360,378024197
101610360,157828057
101610360,427271449
101610360,48201229
101610360,236012988
101610360,102075112
101610360,379106731
101610360,117049102
109578209,95133017
257228739,56489962
160667325,166178959
160667325,268443384
160667325,314204596
166178959,47901019
346244944,388856758
346244944,192535583
482286918,439960318
482286918,484620458
482286918,346226242
482286918,373194245
482286918,172586273
218278192,206242299
157828057,497679487
157828057,310927964
155185629,272734433
155185629,118114556
155185629,184207521
155185629,348482584
155185629,12164162
155185629,38651268
155185629,156636126
155185629,191238459
155185629,383293011
155185629,175729553
268443384,425978685
268443384,63631664
117326813,58647485
58647485,432229294
58647485,105540935
427271449,133573408
427271449,471277243
427271449,401155005
427271449,388658796
230208607,127860149
430159234,213290198
471442980,80224071
471442980,436489437
48201229,346244944
48201229,333209785
48201229,165535961
48201229,272400490
106924298,214436786
106924298,484673839
106924298,393755378
195430930,318354386
195430930,168075284
408737053,106924298
408737053,87478423
408737053,56923778
243921537,467390212
243921537,257228739
243921537,84980064
236012988,84727104
236012988,103395731
199870320,144424048
90495762,11617329
90495762,239627186
438850436,460229845
438850436,433641251
438850436,38418210
438850436,20485942
87478423,418918514
84980064,485980840
84980064,430159234
84980064,49235572
84980064,398159142
84980064,250731213
84980064,415461342
84980064,330618704
84980064,297746645
84980064,18964613
84980064,90930486
84980064,418167147
84980064,64714088
61390075,169626606
201206765,238756718
201206765,88221884
201206765,249228272
280117387,174320718
95544093,498088335
126805248,90495762
126805248,178376812
87089720,195430930
87089720,453591211
342900645,966883
342900645,281707515
342900645,239002582
49235572,346151785
49235572,213716818
80224071,22376354
439960318,55252181
439960318,192208395
118114556,337274133
118114556,182274245
118114556,294978373
118114556,177969419
118114556,165861279
118114556,5820239
388856758,44926145
398159142,313785649
184207521,379958112
184207521,10901561
184207521,322793768
10901561,116608038
10901561,30785155
10901561,387284265
250731213,361676726
250731213,445807901
95133017,122560932
238756718,377399901
346151785,221970168
297746645,83507808
1340729,14293084
322793768,82142723
373194245,83706783
83706783,17032804
83706783,31611387
318354386,215816766
337274133,232646026
337274133,470227808
38651268,32628446
213716818,497521422
235935883,142167190
497679487,258578543
497679487,343299042
497679487,396455293
11656126,137308877
38418210,171894896
103395731,136564729
103395731,378434142
103395731,231837346
35287437,426997498
333209785,129245878
325055941,197382906
182274245,325055941
383357854,349893845
291200,357623580
239002582,264161114
192535583,34578836
5820239,457071295
393755378,72798060
