id,title,year,journal_name,conf_name
15804200,Bose-Einstein condensation in a gas of sodium atoms.,1995,Physical Review Letters,
448740430,A 2d Quantum Gas of Laser Cooled Atoms,1996,,European Quantum Electronics Conference
451509976,Bose-Einstein Condensation in a Dilute Atomic Vapor,1996,,
311653235,Superfluid properties of atomic 6 Li in a magnetic trap,1996,Czechoslovak Journal of Physics,
178058529,Quantum Field Theory of Atoms and Photons,1996,Advances in Atomic Molecular and Optical Physics,
210212037,Superfluid properties of atomic 6Li in a magnetic trap,1996,Czechoslovak Journal of Physics,
983854,Evaporative Cooling of Trapped Atoms,1996,Advances in Atomic Molecular and Optical Physics,
289053023,Loading atoms in a bi-dimensional light trap,1996,Optics Communications,
44970399,Stimulation of beta decay due to a Bose-Einstein condensate,1996,Physics Letters A,
119552317,Accurate results on Bose-Einstein condensation in axially symmetric harmonic traps,1996,Il Nuovo Cimento D,
25105909,Superconducting phase transitions in quantum dots,1996,Jetp Letters,
433001614,Bose-Einstein-Kondensation in einem Gas von Natrium-Atomen,1996,Physikalische Blätter,
212498751,Approximate Solutions of the Nonlinear Schrodinger Equation for Ground and Excited States of Bose-Einstein Condensates,1996,Journal of Research of the National Institute of Standards and Technology,
270296631,Dynamical model for Bose condensation in an atom trap with interactions,1996,Physics Letters A,
180765022,Quantitative studies of Bose-Einstein condensation in a dilute atomic vapor,1996,Czechoslovak Journal of Physics,
176663331,Quantum mechanics in terms of realism,1996,Physics Essays,
130819417,Identitätsverlust mit Folgen: vom Quantengas zur Bose-instein-ondensation,1996,Physik in Unserer Zeit,
354712249,The creation of Bose-Einstein condensation in a cold vapor,1996,Czechoslovak Journal of Physics,
263163411,Theoretical study on anomalous exciton transport,1996,Solid State Communications,
62463805,Bose-instein-ondensation eines nahezu idealen Teilchengases,1996,Physikalische Blätter,
154802573,Mechanism of the collapse of a low-density Bose gas with strong attraction,1996,Jetp Letters,
271512818,Exciton transport in Cu2O: Nonequilibrium phonons instead of Bose condensation,1996,Solid State Communications,
490042016,Density of states for Bose-Einstein condensation in harmonic oscillator potentials,1996,Physics Letters A,
254432509,Ultrakalte Atome: die Jagd zum absoluten Nullpunkt,1996,Physik in Unserer Zeit,
402455867,Dynamics of collapse of a confined Bose gas,1996,Physics Letters A,
474935933,Canonical Bose-Einstein condensation in a parabolic well,1996,Solid State Communications,
318378906,Bose condensation and spontaneous breaking of the uniformity of time,1996,Jetp Letters,
318575074,Ground state and excited states of a trapped dilute condensed Bose gas,1996,Czechoslovak Journal of Physics,
252849574,Production of cold orthohelium in counter propagating helium and electron beams,1996,Czechoslovak Journal of Physics,
317573539,Adiabatic Raman polariton in a Bose condensate,1996,Jetp Letters,
151415834,Renormalization group of Bose-Einstein condensation,1996,Czechoslovak Journal of Physics,
19439376,"Direct, Nondestructive Observation of a Bose Condensate",1996,Science,
