id,year,citation_cnt
15804200,1995,2338
136012849,1999,2149
119231216,2006,1199
363067699,1997,880
30606154,1998,786
390464888,2000,708
448309563,2007,655
258616795,1997,654
109064387,2003,579
274598186,2009,561
214468865,1998,544
161599019,2009,504
174747446,2003,473
466407565,2000,447
322846452,2014,425
1568722,2000,409
332342021,2010,403
326289014,1998,381
122912595,2002,373
116998602,2006,369
344825733,2000,363
118031300,2001,355
316711927,2011,355
181267586,2001,353
357949362,1998,351
369080791,2001,332
368933222,1998,324
141531937,2006,318
178621021,1999,293
983854,1996,287
455280536,2003,278
321603173,2010,275
16535538,2004,268
119502869,1997,261
270489658,2000,249
300953875,2002,233
149166402,1999,227
113081359,2012,226
370335714,2001,211
125756080,1999,208
306677475,2002,205
404714422,2012,203
353368941,2004,195
86486615,2014,192
259027546,2012,186
316024672,2002,177
338686469,1998,173
95163461,1998,171
43752714,2010,164
74347420,2001,160
194758442,2005,158
19439376,1996,158
43437502,2006,154
96554853,1999,153
165943362,2005,149
247202342,2004,144
410232236,2008,144
377524828,2009,144
435996813,2014,143
127673671,1999,141
23468896,2011,138
365273120,2012,137
121819012,2001,136
61445146,2001,134
105177986,2000,134
70594662,2007,133
493157149,2013,133
206459722,1999,131
117231309,2003,126
424557837,2008,126
107915610,2012,121
314585945,2010,116
212333302,2015,109
229324948,2001,109
75405465,2013,106
385000551,2012,104
461120930,2014,104
442377150,2007,103
499848224,1998,103
466705318,2004,103
313724932,2003,98
202960479,2010,96
92150257,2013,95
92589928,2006,95
386481287,2012,93
231283922,2004,93
99194472,2004,91
419388025,2006,89
447101254,1999,88
468103552,2007,87
499607015,2009,87
260605449,2008,86
351939621,2004,86
133075982,2010,84
22633379,2007,84
115242812,2012,83
22663582,2001,83
340179540,2005,81
86051256,1998,80
130651267,2004,80
32220528,2010,80
394477782,2006,79
481407349,2004,79
137870911,2011,78
55895962,2016,78
336461540,2003,77
304315131,2012,76
343696575,2012,75
269759140,1998,75
179476083,2013,75
121929681,1998,75
99914586,2012,73
349431071,2013,72
202156231,2005,72
80928945,2002,72
257693171,2015,71
278523612,2006,70
86949658,1999,69
278735259,2015,68
41727230,2009,67
130082929,2000,67
16962917,2000,67
191213720,2004,66
162251284,2003,65
470767797,2012,65
174921841,2011,65
40792110,2000,64
455671990,2007,61
249010511,2010,61
140951443,1997,61
198481788,2005,61
110594722,2010,60
498429988,2008,60
466493326,2010,60
317254637,2015,60
90769326,2006,58
27297937,2012,57
211952687,2014,57
54063455,1998,55
54549889,2006,55
393270807,2000,54
181078940,2010,54
343219727,2005,54
476955704,2005,53
313796521,1999,53
249327871,2001,53
340447957,2001,52
216686726,2003,52
374330620,2006,51
52067339,2005,51
303144362,2017,51
143839035,2014,51
182843774,1997,50
135927947,2011,50
101759025,2014,50
317368978,1997,50
350632446,2006,50
300327414,2017,50
304540516,2008,50
45249704,2012,49
261512530,2012,49
200377019,2010,49
301412310,2000,49
212498751,1996,48
230628640,1998,48
318919212,2019,48
78600733,2002,48
318664135,2008,48
189278153,2013,47
429352181,2006,47
48922108,2001,47
457498741,2008,47
218706614,2016,47
310301640,2019,46
458118295,2004,46
324216260,2014,46
431265126,2009,46
282176575,2017,46
256046100,2016,45
201423640,2005,45
88625088,1999,45
373757099,2019,45
293677505,2008,45
3705543,2010,44
17750853,2016,44
140208517,2007,43
89217875,2008,43
428441505,2011,43
241214041,2016,43
267796100,2006,42
401589301,2004,41
416765273,2012,41
412603969,2006,41
381393456,2006,41
226437062,2006,41
402455867,1996,41
236284190,1998,41
461444970,2006,41
342007764,2010,41
303373748,2016,40
469012197,2002,40
201283650,2008,40
97109490,2005,40
287373094,2006,40
473652741,2003,39
129075154,2005,39
341511518,2009,39
195526696,2001,39
107865515,1998,38
116464792,1997,38
199533906,2005,38
421702393,2017,37
134539601,1999,37
100203229,2014,37
478169555,2018,37
132405902,2015,37
127544157,2011,37
123459486,2013,36
112627014,2008,36
352098114,2014,36
147669942,2008,36
152173802,2004,36
443098546,2004,36
288211489,1997,35
128085299,2010,35
379508084,2016,35
391212075,2002,35
82025959,2005,34
127439795,2006,34
59766284,2007,33
182189144,1998,33
220477769,2013,33
118508741,2009,32
480367320,1999,32
470389608,2006,32
58789877,2002,32
367727131,2002,31
343496924,1997,31
153626198,1997,31
423807123,2014,31
298264235,2006,30
486582636,2016,30
66321817,2002,30
233804444,2006,30
468593809,2012,30
164492490,2018,30
40994571,2004,30
281287174,2003,30
425820905,2009,30
481829958,2010,30
491670222,1998,30
15831910,2016,29
197552069,2008,29
435247975,2018,29
106733972,2007,29
311909868,1998,29
318282453,2016,28
292470313,2015,28
80374718,2003,28
389420287,2016,28
174611942,2015,28
452330680,2016,28
446413920,2007,28
468479072,2003,28
482933425,1997,28
353551494,2010,27
247201553,2017,27
89634012,2012,27
26281840,1996,27
359565945,2012,27
114917564,2016,27
305179864,2012,26
48817791,2004,26
341431732,2014,26
270663359,1998,26
188462385,2013,26
439723661,2001,26
470336706,2006,26
274046997,2016,26
466905221,2006,26
303076184,2005,25
399118725,2001,25
431940449,2007,25
111797125,2013,25
317057527,1998,25
57410499,2000,25
311695438,2006,25
166950277,2014,25
293097780,1998,25
84588911,1998,25
461866048,2003,25
232835199,2005,25
167161795,1998,25
220000150,2013,25
477368372,2003,25
490042016,1996,24
232178995,1998,24
220948831,2006,24
321109839,2013,24
244678034,2009,24
226833251,2007,24
182989697,2011,24
49461278,2007,24
138360582,2010,24
27266240,2015,24
23820846,2012,24
267618758,2011,24
272898350,2006,24
253211793,2001,24
166066930,2007,23
349583344,2000,23
75509200,1999,23
331794413,2004,23
8650886,2013,23
21155115,2000,23
397458276,2005,23
181307413,2014,23
188069030,2015,22
224549230,2003,22
369670712,2003,22
448140085,2002,22
384268138,1997,22
34619540,2000,22
36457238,2006,22
156964958,2005,22
174064916,2004,22
29375041,2009,22
491465063,2003,22
343303014,2003,21
455620562,2000,21
49243462,2007,21
486208019,2004,21
329883104,2015,21
18042845,2000,21
267725011,2014,21
164348400,2012,21
497884162,2012,21
110764364,2011,21
15207816,2015,21
256685966,2006,21
439413763,2004,21
116456068,2014,21
116058846,2017,21
225926742,2010,21
354223522,2006,20
287259143,2002,20
497997633,2001,20
353276968,2004,20
136582560,2006,20
139064366,2005,20
474574989,2013,20
75987293,2010,20
327768534,2002,20
282385897,2010,20
428241781,2004,20
124360630,2007,20
170092309,1998,19
181416113,1999,19
254612478,2006,19
336307423,2000,19
293403783,2007,19
53175189,2007,19
408951241,2016,19
287953703,2014,19
149561514,2007,19
437270917,2009,19
227453157,2011,19
21403429,2007,19
252601324,2010,18
336992450,2016,18
280104571,2011,18
293039617,2001,18
72033142,2002,18
2945228,2005,18
364427152,2015,18
474839177,2016,18
139018610,2005,18
160878338,1997,18
361478992,1997,18
449844719,2004,18
282107922,2002,18
138276698,2007,18
101187820,2000,18
420246506,2006,18
334626375,2002,18
124556329,2004,18
217247992,2007,18
58858054,2007,17
287013651,2000,17
75037377,2011,17
128638037,2017,17
64400703,2006,17
259242712,2008,17
197015054,2005,17
4144539,2001,17
491043068,2000,17
442342256,2002,17
370059160,2008,17
362217464,2003,17
240746637,2003,17
194294607,1998,17
414331281,2015,17
488108614,2007,17
85393139,2007,17
27090124,2010,17
351713321,1997,17
120601964,2013,16
355988006,2017,16
11856895,2000,16
351559940,2000,16
239763365,1997,16
25195267,1998,16
275201516,2001,16
167403815,2013,16
486167986,2017,16
196017744,2006,16
227712263,2004,16
298210368,2004,16
427372678,2010,16
283712450,2006,16
236862028,2007,16
364456804,2012,16
11099417,1997,16
471128712,2007,16
372011132,2003,16
450881674,2002,16
309865285,2009,16
28023069,2015,16
360955850,2000,15
318698003,2008,15
462268272,2011,15
118187942,2003,15
302150448,2016,15
426890096,2001,15
414771505,1997,15
223796916,2003,15
138114085,2005,15
102135570,2012,15
75050144,2003,15
302676817,2017,15
101958153,2006,15
354319603,2005,15
206139691,1999,15
459341062,2004,15
64908484,2015,15
189277353,2007,15
204081364,2010,14
442770378,2003,14
178601762,2008,14
338606060,2003,14
467185936,2015,14
77012069,2005,14
392557033,2006,14
395815223,2007,14
276673694,1999,14
112319010,2008,14
310445325,2007,14
48888177,2003,14
13092941,1998,14
387896433,2018,14
101655524,2004,13
194072125,2017,13
203847046,2003,13
417943502,2016,13
25178298,2016,13
82065396,2013,13
26191258,2017,13
394430368,2007,13
186782133,2000,13
461986134,2007,13
289053023,1996,13
195223048,1999,13
92594237,1999,13
252691235,2002,13
179553278,2005,13
30383406,2001,13
21404128,2008,13
25295327,2004,13
320920272,2010,13
146850869,2010,13
469552950,1999,13
300192336,2004,13
7772314,2002,13
288448807,2001,13
438777403,2006,12
137142897,2002,12
337115881,2017,12
179783176,2011,12
454522545,2003,12
8477579,2015,12
256414791,2003,12
444520269,2006,12
148692038,2005,12
91804029,2007,12
192321184,2008,12
351861576,2003,12
430161044,2002,12
382060144,2018,12
451757965,2009,12
167005879,2015,12
157136373,2003,12
103284561,2008,12
492723167,2004,12
302312928,2015,12
362462507,1998,12
72124560,2004,12
105037451,2014,12
474935933,1996,12
446215289,1999,12
179725559,2017,12
23644461,2011,12
74463640,2000,12
480742970,2001,12
308473952,2014,11
450538317,2010,11
488460747,2008,11
227041079,2010,11
416873696,2005,11
167253473,2007,11
3328247,2018,11
126385212,2017,11
226898961,2000,11
280036848,2016,11
149367578,2006,11
53991635,2015,11
179104515,2015,11
208420110,2010,11
155913783,2011,11
409082907,2017,11
60388091,1997,11
114252394,2010,11
380322698,2016,11
299646037,2013,11
384537437,2012,11
99026271,2017,11
464342575,2017,11
248082072,2008,11
231083109,1997,11
293948129,2004,11
242981582,2013,11
307002977,2017,10
421726098,1997,10
333831928,2008,10
210415923,2004,10
473983251,2013,10
351090767,2005,10
195747722,2017,10
14476594,2010,10
325219709,2008,10
310933452,2013,10
93547854,2011,10
364524383,2007,10
477448285,2013,10
236994019,2013,10
385196185,2005,10
1215902,1997,10
298459490,2008,10
481856016,2015,10
375568891,2012,10
184009560,2011,10
468708699,2015,10
451689456,2004,10
330836471,2009,10
197415900,2010,10
350139970,1999,10
84590705,2002,10
36892997,2000,10
54416982,2004,10
143635544,2016,10
42483979,2016,10
166584861,2011,10
176663331,1996,10
47483072,2005,10
275970475,2015,10
399817148,2009,10
228753045,2004,10
237828960,2005,10
20004622,2001,10
162872707,2011,10
249623614,2017,10
63455981,2001,10
491478278,1999,10
260143872,2015,10
352659116,2009,10
239734844,2009,9
493696514,2011,9
236268561,2005,9
14956922,2015,9
193069557,2017,9
271512818,1996,9
45277167,2010,9
154188852,2002,9
330436453,1998,9
289727054,1998,9
82213363,2007,9
405508630,2008,9
102347045,2015,9
307696586,2010,9
232620138,2005,9
259132461,2006,9
43091596,2008,9
98071589,2010,9
333632222,2002,9
33378458,2010,9
404525383,2007,9
341867185,2003,9
374108929,2004,9
407173735,2003,9
344836755,2006,9
83426267,2004,9
352849904,2017,9
65878086,2005,9
393329548,2004,9
75017677,2002,9
111104071,2006,9
110176994,2012,9
315558321,2011,9
401016518,1999,9
340501237,2009,8
318378906,1996,8
206032867,2007,8
121115123,1997,8
103052544,2002,8
420358108,2004,8
20707999,1999,8
179659842,2012,8
359742088,2001,8
410929471,2001,8
175197810,2002,8
424760846,2008,8
103238534,2009,8
147089235,2004,8
230671880,2004,8
54472088,2005,8
404904954,2002,8
128963803,2010,8
85098295,1999,8
379931215,2007,8
204878880,1999,8
230642409,2000,8
189831456,2005,8
321625576,2003,8
867235,2011,8
432866436,2001,8
135468071,2017,8
428818349,2018,8
257360698,2009,8
460979499,2003,8
255047950,2018,8
475398205,2016,8
289384804,2007,8
279622366,2005,8
265131893,2003,8
238813136,2001,8
470219567,2002,8
314549392,2018,8
54984355,2009,8
247691918,2003,8
189861410,2009,8
306273980,2002,8
83800532,2008,8
407527922,2006,8
316091829,2001,8
339400920,2003,8
88775345,2018,8
105333962,2018,8
405332686,2019,8
218149998,2012,8
459425324,2005,8
168381984,2001,8
335949420,2013,8
198265989,2006,8
469338770,2002,8
26525104,2016,8
344501259,2016,8
75843734,2009,8
180929273,2014,8
307074716,2018,7
270808786,2010,7
215724654,2013,7
37726397,2005,7
172745114,2001,7
102566078,2008,7
362454444,2012,7
447721118,2001,7
19826431,2015,7
176500897,2004,7
295170361,2010,7
273384971,1999,7
300802355,2007,7
218689502,1997,7
353801646,2009,7
131104593,2008,7
219738886,2003,7
197047931,2003,7
60587437,2001,7
340394972,2000,7
318096785,1998,7
1493606,2011,7
429653908,2002,7
456797328,2016,7
