paper_id,title,year
15804200,Bose-Einstein condensation in a gas of sodium atoms.,1995
100300600,Molecule of the Year: A New Form of Matter Unveiled,1995
119552317,Accurate results on Bose-Einstein condensation in axially symmetric harmonic traps,1996
44970399,Stimulation of beta decay due to a Bose-Einstein condensate,1996
289053023,Loading atoms in a bi-dimensional light trap,1996
252849574,Production of cold orthohelium in counter propagating helium and electron beams,1996
317573539,Adiabatic Raman polariton in a Bose condensate,1996
983854,Evaporative Cooling of Trapped Atoms,1996
151415834,Renormalization group of Bose-Einstein condensation,1996
19439376,"Direct, Nondestructive Observation of a Bose Condensate",1996
225337742,Bose-Einstein condensates—a new form of quantum matter,1996
210212037,Superfluid properties of atomic 6Li in a magnetic trap,1996
27840725,8. LASER COOLING AND TRAPPING OF NEUTRAL ATOMS,1996
178058529,Quantum Field Theory of Atoms and Photons,1996
311653235,Superfluid properties of atomic 6 Li in a magnetic trap,1996
25105909,Superconducting phase transitions in quantum dots,1996
26281840,On the possibility of a superfluid transition in a Fermi gas of neutral particles at ultralow temperatures,1996
433001614,Bose-Einstein-Kondensation in einem Gas von Natrium-Atomen,1996
212498751,Approximate Solutions of the Nonlinear Schrodinger Equation for Ground and Excited States of Bose-Einstein Condensates,1996
263163411,Theoretical study on anomalous exciton transport,1996
354712249,The creation of Bose-Einstein condensation in a cold vapor,1996
130819417,Identitätsverlust mit Folgen: vom Quantengas zur Bose‐Einstein‐Kondensation,1996
154802573,Mechanism of the collapse of a low-density Bose gas with strong attraction,1996
176663331,Quantum mechanics in terms of realism,1996
180765022,Quantitative studies of Bose-Einstein condensation in a dilute atomic vapor,1996
318575074,Ground state and excited states of a trapped dilute condensed Bose gas,1996
448740430,A 2d Quantum Gas of Laser Cooled Atoms,1996
490042016,Density of states for Bose-Einstein condensation in harmonic oscillator potentials,1996
254432509,Ultrakalte Atome: die Jagd zum absoluten Nullpunkt,1996
270296631,Dynamical model for Bose condensation in an atom trap with interactions,1996
402455867,Dynamics of collapse of a confined Bose gas,1996
474935933,Canonical Bose-Einstein condensation in a parabolic well,1996
318378906,Bose condensation and spontaneous breaking of the uniformity of time,1996
271512818,Exciton transport in Cu2O: Nonequilibrium phonons instead of Bose condensation,1996
438835588,Laser Cooling and Trapping of Neutral Atoms,1996
62463805,Bose‐Einstein‐Kondensation eines nahezu idealen Teilchengases,1996
451509976,Bose-Einstein Condensation in a Dilute Atomic Vapor,1996
421726098,Gaussian Time-Dependent Variational Principle for Bosons,1997
288211489,Particle number fluctuations in an ideal Bose gas,1997
121115123,Laser deceleration and trapping of metastable helium atoms.,1997
363067699,Optical trapping and manipulation of neutral particles using lasers,1997
243143847,Theory of Bose-Einstein Condensation for Trapped Atoms,1997
15675040,Bose-Einstein condensation of an ideal gas in a parabolic trap,1997
184138648,Atom Holography,1997
317368978,Long-range interaction of the 39K(4s)+39K(4p) asymptote by photoassociative spectroscopy. I. The 0g− pure long-range state and the long-range potential constants,1997
325285210,PHYSICS OF OUR DAYS: Bose-Einstein condensates,1997
390753470,Quantum theory of an atomic parametric oscillator,1997
96069737,Degenerate slightly nonideal Bose gas in a parabolic trap,1997
371604234,Bose–Einstein condensation,1997
81024264,Classical and Nonclassical Atom Optics,1997
62008193,Bose-Einstein-Kondensate – eine neue Form von Quantenmaterie,1997
423214596,Interferometry with Metastable Rare Gas Atoms,1997
239763365,Bose-Einstein condensation,1997
351713321,Bose–Einstein condensation of lithium,1997
11099417,Standing wave diffraction with a beam of slow atoms,1997
234552592,On the 75th birthday of N G Basov,1997
384268138,Maxwell’s Demon at work: Two types of Bose condensate fluctuations in power-law traps,1997
367874745,Characterizing the coherence of Bose-Einstein condensates and atom lasers,1997
164715988,Phase dynamics and Bose–broken symmetry in atomic Bose–Einstein condensates,1997
192414203,Theory of Bose–Einstein condensation for trapped atoms,1997
414771505,Quantum dynamics of the phase of a Bose–Einstein condensate,1997
339233587,Quantum statistics of coherently driven Bose-Einstein Condensate,1997
182843774,Robust Algorithms for Solving Stochastic Partial Differential Equations,1997
468757080,The creation and study of Bose-Einstein condensation in a dilute atomic vapour,1997
482933425,Bose-Einstein condensates,1997
153626198,LASER TRAPPING OF RADIOACTIVE ATOMS,1997
258616795,Observation of Interference Between Two Bose Condensates,1997
106071144,Interference of Bose condensates: testing the paradigm of broken gauge symmetry,1997
402801437,Coherence of bose condensates,1997
