id,year,citation_cnt
162868488,2003,19109
428516870,2006,6245
265086510,2008,5325
186625720,2010,3823
454200470,2005,2825
216544465,2006,2677
68118292,2008,2657
217107318,2006,2653
467852931,2008,2060
141325666,2009,1891
37832786,2012,1811
394539792,2010,1713
139984880,2006,1678
435300419,2005,1503
179036691,2003,1444
86520001,2006,1432
219291357,2008,1429
394414727,2010,1418
287798442,2008,1418
237223356,2012,1365
287132043,2008,1310
310668610,2010,1286
100383276,2010,1239
43947518,2009,1165
219965895,2009,1152
320426270,2011,1118
316472743,2013,1117
314266400,2007,1074
495574082,2007,1071
416971705,2004,1058
475614907,2004,1023
56837828,2007,1014
385838987,2009,1009
311366139,2008,1003
400778408,2006,980
127761674,2003,956
313288637,2009,922
90822744,2009,911
83010765,2005,889
406702766,2009,888
29426016,2009,862
362310494,2006,859
431510759,2006,855
304601997,2010,834
157889328,2011,830
197294490,2007,821
264475177,2011,818
9919867,2017,815
68961479,2006,789
453840997,2013,788
354657254,2011,783
199665983,2008,759
443850933,2007,721
312858729,2013,705
169873891,2003,696
418545069,2011,696
209170832,2013,695
180191605,2010,692
217932096,2007,680
49364649,2010,670
339796743,2005,655
155954371,2010,655
257557180,2014,638
489682450,2006,636
356530927,2010,627
63114217,2018,624
423064578,2007,620
116918488,2005,617
95488560,2009,609
406538896,2012,595
304882104,2009,589
424726748,2010,589
115804020,2011,585
451632534,2013,579
189435426,2014,570
204646593,2010,561
364851315,2006,560
104437133,2007,560
56071844,2009,551
410517993,2008,546
159537837,2009,541
160499373,2011,529
311458929,2010,529
386765880,2012,527
479367879,2008,525
463173272,2012,518
216364575,2010,517
367205203,2003,504
57778612,2009,494
328203887,2014,490
341048736,2008,486
241660286,2016,485
290261764,2015,482
187133606,2011,480
16557297,2004,478
154091711,2008,477
212807482,2015,475
486758515,2010,466
409022190,2007,464
111074249,2005,460
356431350,2005,458
350526673,2013,458
123561038,2010,457
412664785,2006,455
251881050,2011,452
106677586,2008,447
237464487,2011,438
81383192,2007,437
65559631,2010,437
289125799,2011,429
489206375,2005,428
98900469,2012,420
82784097,2013,419
191881200,2005,417
42027392,2009,416
252365081,2009,415
474342530,2015,411
68513930,2011,406
185129558,2013,403
106860266,2009,401
306720774,2014,400
108574982,2012,399
452047062,2009,394
5667026,2004,393
402031887,2014,388
416008650,2004,384
375185108,2012,382
88716734,2010,380
39437439,2008,379
84613080,2012,376
314054815,2016,375
172012429,2009,370
312232900,2013,370
68211234,2009,363
391282054,2013,360
7648695,2006,354
324083283,2016,353
253683639,2002,352
83949513,2011,347
375869676,2014,345
105700116,2011,344
103221671,2010,342
237500731,2013,340
193970926,2011,340
122455093,2009,336
389082115,2008,336
376784826,2014,335
229990166,2004,335
386406150,2009,334
68021929,2011,334
266856217,2014,331
177414107,2010,329
138770792,2005,324
187335098,2015,323
374111615,2009,323
332221275,2007,323
183027555,2013,322
181778604,2010,319
473642973,2007,318
