id,title,year,journal_name,conf_name
120601022,Integrating Convolutional Neural Network and Gated Recurrent Unit for Hyperspectral Image Spectral-Spatial Classification,2018,,Chinese Conference on Pattern Recognition
393590221,Audio Word2Vec: Unsupervised Learning of Audio Segment Representations using Sequence-to-sequence Autoencoder,2016,,Conference of the International Speech Communication Association
153844740,End-to-End Memory Networks with Knowledge Carryover for Multi-Turn Spoken Language Understanding.,2016,,Conference of the International Speech Communication Association
315586671,Acoustic Modeling Using Bidirectional Gated Recurrent Convolutional Units.,2016,,Conference of the International Speech Communication Association
341468124,A step beyond local observations with a dialog aware bidirectional GRU network for Spoken Language Understanding,2016,,Conference of the International Speech Communication Association
6260340,Behavioral Coding of Therapist Language in Addiction Counseling Using Recurrent Neural Networks.,2016,,Conference of the International Speech Communication Association
265930482,First Step Towards End-to-End Parametric TTS Synthesis: Generating Spectral Parameters with Neural Attention.,2016,,Conference of the International Speech Communication Association
366339533,Towards Machine Comprehension of Spoken Content: Initial TOEFL Listening Comprehension Test by Machine,2016,,Conference of the International Speech Communication Association
427754425,Audio Scene Classification with Deep Recurrent Neural Networks.,2017,,Conference of the International Speech Communication Association
138301501,Gate Activation Signal Analysis for Gated Recurrent Neural Networks and its Correlation with Phoneme Boundaries.,2017,,Conference of the International Speech Communication Association
485523660,Attention and Localization based on a Deep Convolutional Recurrent Model for Weakly Supervised Audio Tagging,2017,,Conference of the International Speech Communication Association
483717255,Tacotron: Towards End-to-End Speech Synthesis,2017,,Conference of the International Speech Communication Association
312838222,DNN Bottleneck Features for Speaker Clustering.,2017,,Conference of the International Speech Communication Association
186753155,Sequence to Sequence Modeling for User Simulation in Dialog Systems.,2017,,Conference of the International Speech Communication Association
131362534,Experiments in Character-Level Neural Network Models for Punctuation.,2017,,Conference of the International Speech Communication Association
5307363,Internal Memory Gate for Recurrent Neural Networks with Application to Spoken Language Understanding.,2017,,Conference of the International Speech Communication Association
195460083,Label-dependency coding in Simple Recurrent Networks for Spoken Language Understanding,2017,,Conference of the International Speech Communication Association
442764199,Siri On-Device Deep Learning-Guided Unit Selection Text-to-Speech System.,2017,,Conference of the International Speech Communication Association
357019859,On Multi-Domain Training and Adaptation of End-to-End RNN Acoustic Models for Distant Speech Recognition.,2017,,Conference of the International Speech Communication Association
261327863,Virtual Adversarial Training and Data Augmentation for Acoustic Event Detection with Gated Recurrent Neural Networks.,2017,,Conference of the International Speech Communication Association
