id,year,citation_cnt
176392498,1959,5388
151582811,2003,12135
125204164,2010,6353
355144571,1984,5480
257471824,2006,3204
155751021,2001,2390
371721616,2002,2368
124052467,2007,2310
124207709,2010,1926
129306424,2008,1742
387942151,2011,1681
361009401,2006,1638
214802199,2007,1459
424739500,2007,1423
362601542,2014,1304
321498313,2006,1262
161523288,2007,1168
37703304,2006,1106
123203720,2003,1088
113883296,2008,1012
477795151,2002,897
63042495,2005,863
443256509,2004,847
466741509,2007,811
75021664,1986,776
260041763,2009,679
435864048,2004,677
3004435,2013,676
271813544,2007,673
355927057,2004,656
389514602,2001,637
336326756,2012,595
464980776,2011,588
251050994,2002,570
474618947,1979,569
351572831,2002,563
58893946,2016,558
486314329,1978,557
377972024,2005,555
130699063,2009,551
192133722,2009,549
105726638,2003,541
82567412,2011,534
172307787,2006,533
311458929,2010,529
362514401,2000,526
259855788,2007,512
2104641,2002,503
341935871,1964,497
327667628,2006,496
209071512,2015,487
248023851,2011,479
42064053,2007,478
102791268,2004,439
432062475,2017,420
106570841,2014,413
64487315,1984,406
403908524,2011,403
100784223,2007,399
31653799,2010,396
155865528,2005,394
473608146,2013,383
220254721,2006,368
254996565,2008,358
467199237,2007,355
127541682,2010,346
291478249,2016,345
343120788,2010,342
328395740,2005,341
168090109,2004,327
498593479,2008,315
331239565,2003,314
439072079,2006,310
446915040,2012,310
397715318,2010,307
27034822,2008,304
211111818,2014,303
93716501,2002,301
295663948,2001,299
242943719,2003,296
341357587,2005,296
282944930,2005,293
111980183,2013,284
37727652,2004,273
148555253,2009,271
359414309,2003,260
35040659,1996,259
236457055,2010,258
480551474,2008,258
68622870,2008,257
364555616,2005,255
144290870,2006,253
294324388,1979,250
207591782,2016,248
57249490,2006,247
460826224,2003,240
325017454,2007,238
381323005,2012,233
79915309,2011,232
75486139,2016,229
176537202,2006,228
340576531,2004,228
79894569,2004,227
454113004,2009,219
285674385,2004,218
99205637,2007,218
179219614,2014,218
227608328,2009,218
457094065,2008,217
332519201,2006,217
398320196,2007,215
248737875,2004,211
69647274,2013,211
447835290,1986,210
106145838,2007,200
393850161,2015,198
463059762,1980,195
444800343,2008,191
97142980,2014,190
312219418,2011,190
150363919,2013,190
394904122,2001,189
