paper_id,reference_id,year
175686635,176392498,1963
341935871,176392498,1964
499607475,341935871,1965
499607475,176392498,1965
65159874,341935871,1966
77886457,176392498,1966
65159874,176392498,1966
478060927,341935871,1971
478060927,65159874,1971
478060927,176392498,1971
23183925,176392498,1972
164990408,176392498,1973
311718225,176392498,1973
164990408,23183925,1973
302013041,176392498,1973
210258194,176392498,1973
265558987,176392498,1974
119890100,176392498,1974
72470603,341935871,1974
72470603,65159874,1974
72470603,176392498,1974
48276211,176392498,1975
251281467,210258194,1975
251281467,176392498,1975
419962800,176392498,1975
251281467,311718225,1975
428952702,210258194,1976
428952702,176392498,1976
428952702,311718225,1976
428952702,251281467,1976
304674208,176392498,1977
237683098,176392498,1977
74812112,176392498,1977
237683098,65159874,1977
304674208,251281467,1977
304674208,311718225,1977
137755233,176392498,1977
21712470,176392498,1978
400510742,176392498,1978
21712470,237683098,1978
276248922,176392498,1978
21712470,65159874,1978
486314329,176392498,1978
294324388,210258194,1979
23159369,21712470,1979
23159369,176392498,1979
21712470,474618947,1979
23159369,237683098,1979
23159369,474618947,1979
12613917,176392498,1979
294324388,176392498,1979
294324388,311718225,1979
294324388,251281467,1979
474618947,65159874,1979
23159369,65159874,1979
474618947,176392498,1979
400510742,474618947,1979
294324388,428952702,1979
463059762,341935871,1980
463059762,176392498,1980
38187659,176392498,1980
463059762,210258194,1980
149565076,341935871,1980
463059762,137755233,1980
38187659,21712470,1980
149565076,176392498,1980
463059762,428952702,1980
463059762,294324388,1980
463059762,311718225,1980
38187659,474618947,1980
463059762,251281467,1980
338851988,176392498,1981
475953185,176392498,1981
35049737,176392498,1981
442901066,176392498,1981
475953185,442901066,1981
121984055,176392498,1981
35049737,304674208,1981
35049737,175686635,1981
176264780,176392498,1982
81869872,176392498,1982
382601488,474618947,1982
382601488,176392498,1982
382601488,65159874,1982
182158599,176392498,1982
158761786,210258194,1982
382601488,400510742,1982
158761786,251281467,1982
158761786,311718225,1982
182158599,341935871,1982
382601488,478060927,1982
158761786,341935871,1982
158761786,137755233,1982
81869872,341935871,1982
158761786,176392498,1982
158761786,428952702,1982
72173506,158761786,1983
419833428,176392498,1983
72173506,428952702,1983
398885450,176392498,1983
472711932,35049737,1983
