id,year,citation_cnt
199411215,1995,32160
264408155,1995,8905
372582168,2009,7186
15967500,2002,6033
290893108,1998,5979
21724714,2007,3567
387437656,2005,3124
218432317,1998,3058
177783593,1997,2823
479991445,1999,2755
178665199,2001,2713
54504597,1998,2557
236092218,2009,2514
26295171,2008,2141
172351262,2006,2094
422155392,2009,2038
137641090,2000,2017
377720841,2004,1960
467132083,2014,1901
186411645,2008,1892
130893929,2009,1852
108420428,2007,1808
218079027,2003,1773
174351239,2011,1675
415822733,2009,1638
455992812,2004,1505
432217983,2010,1407
221462447,2008,1376
300149829,1998,1259
350027613,2011,1249
313578175,1997,1208
237966515,2005,1185
381663757,2003,1139
463363586,2000,1122
76257977,2002,1118
491533285,2010,1084
364280297,2009,1078
56960651,2004,1052
120620422,2006,1044
67166214,2002,1035
46132816,2016,1002
430487887,2014,995
4490774,2014,962
363113760,2004,948
268548040,1998,935
247529523,2006,931
333148057,2005,905
411122244,2010,894
107796039,2005,875
303689809,2010,865
289575831,2001,861
1023414,2006,836
496545807,2007,828
295595796,2014,811
154034314,2008,780
232098247,2009,754
351944045,1998,746
436250277,2004,740
329099527,2012,715
216654455,2004,712
458122864,2010,701
60196519,2001,697
208877661,2007,689
246605567,2012,687
485666012,2005,683
186357350,2005,667
341092341,2006,665
91858419,2013,644
218561133,2005,638
294099163,2012,632
99811807,2011,625
90062158,2004,620
365295734,2012,619
433257280,2007,614
417593426,2015,586
436176339,2013,580
179539432,2007,574
184777668,2015,568
353865283,2008,564
487669451,2004,556
60359684,2013,552
94411499,2003,538
101493832,2011,534
328523386,2010,525
178314547,2002,523
206768402,2002,521
112037171,2010,517
60016482,2007,516
355164135,2008,507
435151850,2013,496
68431674,2008,484
133739870,2013,484
149422949,2007,481
223782857,2005,478
153238980,2002,478
143713884,2001,474
232761166,2008,472
395512027,2004,460
400726771,2009,456
251423892,2013,455
454981445,2007,447
476959339,2005,443
334117125,2010,441
174893637,2010,440
385321905,2009,437
117543418,2011,431
113370190,2005,430
309372107,2003,430
148631117,2011,430
267298598,2006,428
457099202,2009,428
473240807,2016,418
124375959,2006,417
104467719,2007,417
88032118,2007,415
388259508,2009,413
441346209,2006,397
334449751,2005,397
265902646,2014,393
252910652,2009,393
291253645,2011,392
145509840,2011,390
145251513,2011,388
461658305,2003,386
236421228,2013,384
312227389,2007,381
421445047,2013,377
348961617,2002,372
171538516,2005,368
259080601,2010,366
99779336,2012,365
395122488,2011,365
494043036,2007,363
364658644,2010,358
79055678,2013,357
442322898,2014,357
225385461,2010,355
251542565,2012,354
97334706,2002,353
366134207,2007,353
270473890,2002,350
480465971,2008,350
186858132,2010,347
429102453,2008,347
276263223,2008,346
281883171,2006,345
116715161,2010,342
455039503,1999,342
121317763,2002,340
476764210,2007,340
27390394,2003,338
35941880,1998,334
52672340,2016,330
164500817,2008,327
303333447,2008,322
311633676,2002,319
293396774,2007,317
290960689,2016,317
24782100,2005,317
91784201,2009,312
333246787,2015,309
130773533,1999,309
89504132,2003,309
362932428,2014,309
328973782,2009,304
434975057,2009,303
466601385,2007,302
313017291,2013,302
367441746,2011,300
469981770,2003,298
311172083,2012,296
411280166,2008,296
253941644,2004,296
15731166,2004,293
217105533,2008,292
45801332,2004,291
5416460,2005,290
478185642,2004,289
32265953,2006,287
350312909,2009,281
475508278,2013,281
420258450,2003,279
319102014,2007,278
179672873,1998,277
482073825,2008,274
198516469,2004,273
306096331,2011,273
139337658,2013,268
3096395,2012,267
93901139,2009,266
369999857,2010,265
461163881,2005,265
244695919,2013,264
419308954,2009,263
483425013,2002,262
314628125,2005,262
346563336,2014,259
58049870,2007,259
82790676,2014,259
374820804,2007,259
74377343,2011,259
389847761,2009,258
277864405,2009,257
443730593,2014,256
453770359,2008,255
104546799,2012,254
413606263,2011,254
422741442,2004,254
7685563,2015,252
323604861,2002,251
74468692,2010,250
269739113,2013,250
405312676,2009,250
260469072,2013,250
198793724,2011,248
56217354,2003,248
346554932,2010,247
123266458,2003,246
395995862,2012,246
80002227,2012,244
70567210,2002,244
418077647,2007,244
123344780,2007,243
5988346,2008,242
481108710,2010,241
167021756,2007,241
161318146,2006,241
6081952,2013,240
243926078,2009,238
121239304,2009,238
494596836,2004,237
281736836,2009,234
314503988,2008,234
237172172,2013,234
63971539,2006,234
293512240,2002,233
164439804,2009,233
33814350,2000,233
104308605,2011,233
292455894,2004,233
341419673,2002,232
458536843,2006,232
70553969,2008,232
358216999,2005,229
377469131,2012,229
114190840,2007,229
492615932,2014,228
13745326,2011,227
68287573,2009,226
68996061,2010,225
280278063,2001,224
478123065,2010,224
86229473,2014,224
34288746,2002,223
79977127,2005,222
379041903,2014,218
164926467,2004,218
332943373,2013,218
177345136,2011,216
293234662,2013,216
461380241,2006,215
284190000,2014,214
222404201,2007,213
159705046,2012,212
213766520,2014,212
269355186,2014,212
36786912,2013,211
75809392,2011,210
313042111,2008,209
126924876,2010,209
111355111,2009,208
296638194,2005,208
103014868,2007,208
258941459,2010,207
132241022,2010,207
341197739,2007,206
149884703,2015,205
26948747,2012,205
446162030,2011,204
10331242,2013,204
365647065,2008,204
207760052,2014,203
42660223,2004,203
279813286,2007,203
127145525,2014,202
320917668,2005,202
115065471,2009,202
102857228,2008,200
493938631,2010,200
56929052,2007,200
178722831,2002,198
44558552,2015,197
27071825,2014,197
346128624,2003,196
131531722,2010,196
370362109,2014,196
461185372,2013,196
311508352,2010,195
7108034,2009,195
45993438,2009,195
325348733,2005,195
190878247,2006,194
313668440,2004,194
54708083,2010,193
404658994,2007,193
241580367,2005,192
371459558,2009,192
327336205,2006,192
229741215,2012,192
113602935,2010,191
408129500,2011,191
280952265,2004,191
209531792,2010,190
355740646,2012,189
121257320,2013,189
360195967,2011,188
126865916,2008,188
360239739,2016,188
85810658,1999,188
290748698,2003,187
429925733,2005,187
348723796,2007,187
216411828,2003,187
135085506,2009,187
380774110,2014,186
477494944,2007,185
38041347,2002,185
491879823,2007,185
480411693,2009,185
31629220,2008,185
91553240,2009,185
268677717,2008,184
106132255,2010,184
469825927,2011,184
17572063,2014,184
481120027,2013,183
209823880,2005,183
432495441,2006,183
12533451,2010,182
204205436,2002,182
259605105,2003,181
395607314,2011,181
255503723,2005,180
376672236,2008,178
380298878,2009,178
391670272,2007,178
454064414,2003,178
450558908,2008,177
55512462,2008,177
96756816,2012,176
498661829,2007,176
443619252,2006,175
472455353,2006,175
35981493,1999,174
93428883,2014,174
15751707,2007,174
75167646,2012,173
57418864,2008,173
356717526,2015,172
121878919,2007,172
230518243,2008,171
38779754,2012,171
67767820,2009,171
246673023,2010,170
221980888,2010,170
249037474,2010,169
136252818,2005,169
493935643,2007,168
400372721,2015,168
472306210,1996,167
89495309,2010,167
493948419,2009,167
479025556,2007,166
495899809,2006,166
146142497,2012,166
437806726,2011,165
388869106,2005,165
367470599,2016,164
100584333,2009,164
460302914,2006,164
136525226,2005,164
56577095,2013,164
238636354,2013,163
391226186,2007,163
254503840,2009,163
360235714,2011,163
156674085,2012,163
98356649,2005,162
432871517,2015,162
188409209,2003,162
128092763,2010,162
146867984,2017,161
391895899,2007,161
129623560,2013,161
48519291,1999,161
422748316,2010,160
145946004,2011,160
96884269,2009,160
371333349,2008,160
452914468,2007,159
232131205,2009,159
351213152,2010,158
129675839,2009,158
141256765,2011,157
230799565,2002,157
110842480,2007,157
201731359,2012,156
50062404,2014,156
4647591,2013,156
235530694,2012,155
125069476,2006,155
84824835,2007,155
378420160,2008,154
489122902,2012,154
363395677,2011,154
298036497,2009,154
307816462,2018,153
400443974,2014,153
287272374,2005,153
161319500,2004,153
145141461,2009,152
280912892,2006,152
216090054,2015,152
317474405,2013,152
105872811,2007,151
327293333,2011,151
1857304,2011,151
302102772,2007,151
74347406,2008,150
93220745,2009,150
375642507,2015,150
452104601,2005,150
91746316,2010,150
481230964,2010,150
56856046,2013,150
317813337,2002,149
223867795,2009,149
51461658,2007,149
161300734,2004,148
119863307,2007,148
16840403,2012,148
430160981,2007,147
129369388,2006,147
332206875,2009,147
484092041,2011,147
492306533,2009,147
322091098,2010,147
65513626,2009,147
262389734,2008,146
88595329,2007,146
354408790,2007,146
364265991,2015,146
193753848,2015,146
194522995,2009,146
159313709,2015,145
472826140,2001,145
329600253,2009,145
242244404,2009,145
52190400,2013,145
149706015,2014,144
82971301,2009,144
452650304,2008,144
68515898,2006,144
339709764,2008,144
483243487,2008,143
427457855,2013,143
370780945,2013,143
412045146,2009,143
321768582,2007,143
267303757,2011,142
481715300,2009,142
137674355,2014,142
199426801,2006,142
397169420,2008,141
152532829,2003,141
350834567,2011,141
266857743,2012,141
221491181,2008,141
38898837,2008,141
164472364,2008,141
302752546,2006,140
272685897,2009,140
113865794,2011,140
52688325,2003,140
451354857,2013,139
391886622,2005,139
1250279,2000,139
213823126,2012,139
264829298,2007,139
262682916,2009,139
374675923,2004,138
88914842,2010,138
101147281,2012,138
188075790,2010,138
11285983,2011,138
278084473,2013,137
71004767,2011,137
463051114,2002,137
318524014,2014,137
159341422,2009,137
28094673,2014,136
452845695,2005,136
352935774,2013,136
447428658,2009,136
112438033,2013,136
314903404,2007,136
103273038,1999,136
420847609,2004,135
373096128,2009,135
323052503,2014,135
158587782,2008,135
408383436,2014,135
144591158,2014,135
243962486,2014,134
362326162,2007,134
167090809,2012,134
65960662,2008,134
184827344,2007,134
125755710,2009,133
205415750,2015,133
288153319,2008,133
430196951,2012,133
412739894,2011,133
57110712,2001,133
211513314,2006,132
470891868,2009,132
111603408,2014,132
254565620,2010,132
369074252,2013,132
364970630,2008,132
196160454,2011,132
146146052,2003,131
297484203,2004,131
432151186,2008,131
29860956,2013,131
470170962,2010,131
99740478,2015,131
447494956,2007,130
219944215,2007,130
303156696,2014,130
313602742,2016,130
340234604,2007,129
448506300,2009,129
235886508,2010,128
216793669,2015,128
111546133,2004,128
385376345,2009,128
415130548,2013,128
8654749,2006,127
284188736,2010,127
187568773,2010,127
427630717,2011,127
471352931,2015,127
331918090,2017,127
136477366,2008,127
404667876,2007,127
148994236,2009,127
225503890,2011,127
473880596,2011,127
47351233,2012,127
227120027,2009,127
371135030,2008,126
371064830,2010,126
340978370,2010,126
155746642,2010,126
21659633,2004,126
198852172,2014,125
469870311,2013,125
409543584,2010,125
422663153,2014,125
64514311,2012,125
116334849,2009,125
1261123,2011,125
244546698,2015,125
319973448,2016,124
315251046,2008,124
317777753,2013,124
374793774,2009,124
349699373,2013,124
489987596,2009,124
38954531,2006,124
379587295,2011,123
437349441,2006,123
97728345,2008,123
239949877,2008,123
176813910,2005,122
40279636,2011,122
300536583,2010,122
79886067,2008,122
170035106,2016,122
15811314,2009,122
85844831,2008,122
14028740,2015,122
346851343,2013,121
45429971,2010,121
48743305,2014,121
10482927,2016,121
273656025,2008,121
87934111,2013,121
197447435,2005,121
257710258,2003,121
88888752,2008,121
88471238,2008,121
339183475,2010,121
359437743,2007,121
278437905,2001,120
48363663,2011,120
251845871,2010,120
427019851,2005,120
292014754,2012,120
254825859,2017,120
305403140,2001,119
402984015,2012,119
107649211,2007,119
329194947,2007,119
381763377,2015,119
336935208,2010,119
5593603,2010,119
227959458,2003,119
142949010,2006,119
59904919,2008,119
479234540,2006,119
182353367,2009,118
376437798,2013,118
9719979,2010,118
395104309,2005,118
370980881,2013,118
69467862,2009,118
421041827,2010,118
409977713,2002,118
330469899,2007,117
32698818,2011,117
52709265,2007,117
283580050,2010,117
299614818,2015,117
212479390,2013,116
434683475,2012,116
218238248,2011,116
449877387,2008,116
170516711,2007,116
268522720,2009,116
24166486,2007,116
478077137,2012,116
168921161,2004,116
483969524,2010,116
296209881,2008,115
128078955,2010,115
356599866,2010,115
453286932,2011,115
166075000,2010,115
182901033,2011,115
404462934,2012,114
44529820,2009,114
131455584,2012,114
12282627,2011,114
194957321,2007,114
352678182,2008,114
400776219,2007,114
8126335,2012,114
143317700,2011,114
403636085,2007,114
197093914,2005,114
323533425,2010,114
78260394,2010,114
420429482,2009,113
4179774,2009,113
419358744,2004,113
192461320,2015,113
403023020,2011,113
367325064,2007,113
347199923,2012,113
255268944,2006,113
417288274,2014,113
209944143,2008,112
349032048,2002,112
88462838,2008,112
74373559,2006,112
56634327,2008,112
165635426,2011,111
40847086,2008,111
371131245,2009,111
137370436,2006,111
463496618,2012,111
43258811,2010,111
207543504,2010,111
386051057,2012,111
112717987,2004,111
454649521,2015,111
59333158,2012,111
275834929,2008,110
359385216,2011,110
370480125,2010,110
352320501,2015,110
335465594,2011,110
245540062,2013,110
320023485,2013,110
251433307,2002,110
203254524,2015,110
196854915,2009,110
302369608,2015,109
141084796,2014,109
227328340,2011,109
100951257,2017,109
260573325,2015,109
385631887,2011,109
347533354,2014,109
204926644,2013,109
201710092,2011,109
251145523,2013,109
355232453,2012,109
461537422,2010,109
400720186,2006,109
198707751,2012,109
80816848,2014,109
88319773,2005,108
499652843,2011,108
420823540,2004,108
302507500,2008,108
206682522,2013,108
442953166,2014,107
256784,2013,107
126374431,2010,107
26921949,2013,107
499899938,2010,107
280484015,2007,107
86305070,2006,107
173959351,2014,107
364847090,2015,107
423562088,2013,106
70573928,2002,106
175743030,2017,106
153451826,2011,106
300950905,2015,106
255610642,2013,106
248348241,2001,106
167610018,2006,106
429486645,2004,106
42820089,2014,106
490748082,2009,106
110875389,2003,106
109448411,2004,106
74734447,2013,106
252532532,2013,105
67287354,2011,105
314125973,2003,105
137977988,2015,105
170563282,2013,105
25998531,2012,105
332074566,2011,105
438748872,2015,104
361965502,2010,104
378417717,2013,104
81282063,2007,104
425885319,2008,104
94916371,2012,104
40972819,2011,103
370433439,2009,103
391648386,2011,103
465487727,2017,103
459773611,2008,103
334546625,2019,103
316250068,2013,103
34680487,2014,103
322092310,2005,103
483568732,2008,103
237290454,2004,103
105112109,2012,103
113187844,2015,103
458334065,2010,102
342162084,2010,102
436065170,2010,102
427069291,2011,102
359007570,2014,102
370389941,2011,101
260691246,2014,101
351390776,2006,101
136429191,2011,101
95125694,2015,101
328502813,2012,101
427124978,2006,101
368030693,2011,101
258206264,2007,101
313844822,2012,101
190043820,2007,101
420238868,2009,101
163507207,2009,100
13630566,2011,100
362747449,2004,100
367706905,2015,100
188837570,2011,100
33696178,2009,100
261493519,2010,100
290032772,2009,100
419713163,2013,100
381390032,2003,100
304498933,2008,100
224745406,2012,99
212263513,2017,99
79219499,2013,99
13898384,2005,99
401441602,2016,99
246148315,2009,99
177323518,2010,99
100788460,2012,99
106310863,2012,99
406556631,2005,99
261918294,2012,99
301149929,2014,99
199243086,2010,99
397284928,2008,98
3618463,2008,98
445296910,2010,98
491929792,2009,98
49858426,2014,98
133896257,2007,98
163678535,2014,98
378400836,2015,98
349046479,2010,98
310979052,2006,98
55002402,2007,98
464359302,2015,98
477532837,2013,98
330616434,2016,98
22968298,2016,98
495154850,2008,98
486126607,2003,97
452236577,2009,97
33064593,2005,97
70071103,2013,97
456621904,2010,97
102249498,2011,97
343898088,2005,97
435563662,2011,97
70729278,2012,97
344526824,2015,96
396702147,2008,96
311158217,2011,96
389332642,2013,96
152307505,2007,96
387867983,2012,96
255054078,2010,96
295423178,2014,96
273118137,2013,96
237319217,2010,96
282337580,2004,95
358217127,2007,95
47899606,2011,95
120037928,2007,95
254402407,2008,95
408542119,2017,95
379827197,2014,95
214271478,2014,95
122775869,2010,95
366802004,2006,95
439640998,2005,95
85149965,2006,94
295980313,2011,94
81279057,2014,94
43073732,2015,94
12610125,2008,94
481872387,2013,94
193218416,2009,94
288215413,2014,94
293676636,2006,94
309327367,2012,94
395576699,2010,94
181725850,2010,93
348082445,2007,93
142709202,2009,93
399703874,2007,93
457171360,2012,93
375708603,2010,93
9954106,2001,93
385680917,2012,93
467580274,2009,93
469276472,1997,93
129908462,2012,93
266307936,2009,93
288858894,2015,93
224457071,2003,93
279935424,2009,92
242764856,2010,92
83781063,2005,92
114990455,2015,92
393053308,2009,92
75250071,2006,92
322450375,2016,92
370547543,2008,91
127203928,2012,91
112350164,2013,91
476941499,2011,91
261231819,2012,91
397323152,2012,91
245534533,2010,91
472143445,2013,91
29874181,2012,91
291284055,2012,91
78779617,2003,91
78620588,2015,91
141212666,2002,91
9506106,2002,91
82911441,2006,91
422690190,2014,91
221655412,2011,91
414835029,2008,90
17731028,2002,90
309399093,2010,90
272419617,2012,90
89829873,2014,90
8241777,2013,90
95545794,2007,90
456533520,2007,90
201464343,2011,90
269149236,2011,90
315135688,2008,90
100580058,2012,89
145328928,2010,89
497286040,2011,89
154174015,2016,89
142054636,2010,89
168363235,2002,89
219910755,2016,89
284509262,2010,89
310108338,2012,89
482902125,2016,89
473140711,2008,89
340044272,2011,89
301836700,2008,89
88578214,2011,89
231739397,2013,89
134973411,2007,89
115369092,2009,89
40520162,2007,88
227292156,2013,88
47557229,2012,88
64370943,2013,88
19476724,2014,88
209586040,2007,88
493894983,2014,88
396520861,2013,88
34357961,2009,88
127426914,2006,88
157346792,2014,88
328240166,2010,88
409676657,2008,88
433061308,2012,87
69405873,2004,87
447491792,2006,87
306224207,2005,87
309946106,2011,87
41883087,2010,87
417266962,2007,87
417385478,2013,87
252610743,2014,87
386943249,2010,87
63634513,2015,87
356398275,2002,87
464716485,2013,87
66240741,2007,87
282403370,2005,87
431542044,2015,87
136139572,2011,86
391680935,2009,86
491202843,2006,86
357324937,2012,86
137753690,2012,86
15774520,2011,86
382855641,2017,86
190154230,2010,86
68508162,2005,86
40498743,2005,86
175827156,2007,86
158511600,2010,86
190383284,2015,85
99476900,2006,85
161147498,2013,85
327551939,2012,85
380309862,2006,85
3257134,2006,85
101187099,2012,85
436451458,2002,85
239587200,2010,85
143370006,2007,85
235838794,2009,85
349409684,2014,85
431888150,2014,85
429280929,2015,84
89168104,2009,84
23334648,2009,84
464756053,2013,84
330597879,2007,84
493995877,2010,84
437394325,2013,84
287903997,2006,84
280519010,2003,84
363828390,2009,84
120595431,2007,84
479140204,2011,84
433416884,2010,84
309342487,2014,84
115348744,2011,84
58520975,2017,84
45278321,2013,84
155715570,2008,84
293772516,2012,83
404691338,2010,83
10263939,2012,83
303879494,2008,83
1527385,2004,83
396434389,2011,83
452445151,2014,83
138108040,2010,83
270890000,2012,83
189081979,2011,83
72759870,2012,83
67194268,2014,83
111904107,2010,83
351320418,2012,83
476052446,2017,82
483234274,2007,82
311806637,2006,82
48058531,2007,82
396605420,2013,82
275609635,2017,82
497826600,2006,82
254490926,2006,82
196506170,2008,82
312627950,2012,82
278758752,2010,82
290538660,2018,81
42079911,2011,81
256874236,2015,81
309544924,2014,81
425072403,2012,81
80435553,2009,81
408824372,2016,81
133149677,2010,81
178453318,2008,81
472064240,2007,81
436247525,2005,81
464926435,2005,81
339620534,2016,81
277409645,2009,81
101197413,2012,81
84812695,2009,81
429868353,2006,81
260517112,2009,81
263877421,2013,81
243480820,2012,81
372407431,2014,81
124825064,2013,81
106769210,2006,81
386897940,2011,81
109866894,2013,81
184826042,2008,80
494472346,2011,80
131773532,2016,80
395075045,2015,80
20933276,2011,80
278807198,2005,80
269970501,2007,80
415629242,2008,80
95645006,2008,80
322386291,2008,80
187069113,2013,80
19501217,2010,80
361432065,2007,79
273306138,2012,79
110742807,2012,79
89436824,2008,79
427766467,2009,79
385943972,2012,79
14696055,2015,79
9808253,2013,79
259451178,2009,79
164163831,2010,79
291365943,2014,79
335722604,2015,79
153491728,2012,79
275834915,2014,79
499743952,2007,79
466335147,2017,79
393920242,2007,79
495384032,2014,79
396493739,2008,79
101202444,2006,79
215151024,2011,79
207915915,2009,79
255305886,2015,79
346601549,2011,79
202938499,2010,79
385846776,2010,79
262275384,2010,79
354812480,2008,79
472014347,2007,79
136001409,2012,79
271331704,2014,79
211999958,2009,79
255862276,2009,79
270069488,2017,79
471384774,2011,78
67899941,2013,78
219775804,2013,78
434641575,2009,78
16299493,2015,78
115305095,2014,78
450696519,2016,78
7657530,2011,78
12081553,2010,78
269392868,2008,78
359142412,2005,78
236579655,2008,78
368766815,2007,78
435927185,2017,78
121557533,2012,78
83197435,2005,78
50342788,2015,78
16526066,2004,78
297825246,2014,78
494305529,2012,78
145670083,2013,78
313106469,2013,77
93673060,2010,77
462695580,2004,77
477888003,2008,77
280541990,2016,77
293259446,2014,77
290424100,2008,77
443166622,2010,77
458579261,2010,77
440928138,2017,77
163626698,2008,77
136007040,2010,77
49911841,2006,77
189327059,2012,77
34558463,2011,76
164630882,2005,76
425990023,2011,76
37443194,2012,76
424099252,2008,76
321442364,2008,76
77923802,2008,76
274175924,2009,76
49356208,2014,76
256754674,2009,76
67161943,2012,76
355827991,2014,76
263094497,2008,76
252218543,2015,76
338112211,2017,76
55199587,2015,76
480999318,2014,76
272288343,2011,76
180140044,2004,76
369242588,2009,76
136367588,2010,76
441277646,2013,76
56618597,2010,76
118311616,2010,76
226996751,2009,76
250485516,2013,76
20138609,2013,76
467403348,2013,76
452782701,2006,75
320889453,2005,75
42847361,2011,75
246306679,2008,75
148030280,2016,75
398106700,2010,75
208559144,2017,75
368191147,2014,75
427760975,2005,75
57105387,2003,75
222025141,2012,75
22288839,2015,75
323164568,2008,75
483100609,2007,74
495839909,2009,74
39487013,2009,74
147793495,2010,74
190031260,2014,74
59670168,2008,74
382095792,2008,74
204567680,2012,74
473841858,2009,74
77519438,2012,74
278199152,2015,74
128057873,2010,74
485083134,2007,74
453217494,2008,74
350825787,2005,74
44829542,2011,74
71833081,2013,74
184723824,2007,74
181319818,2015,74
126048186,2015,73
435270339,2011,73
411671799,2014,73
446423556,2008,73
466998572,2008,73
172526044,2010,73
56742664,2015,73
206741688,2005,73
24057520,2006,73
238501915,2011,73
481240909,2009,73
29103092,2016,73
106779299,2010,73
302706004,2010,73
266641586,2005,73
365980328,2011,73
498639113,2012,73
456570777,2013,73
115096247,2007,73
188793878,2013,73
472948870,2009,73
89498395,2010,72
350996813,2010,72
376656498,2009,72
453197272,2003,72
333351458,2009,72
459825319,2015,72
409854381,2015,72
160081025,2011,72
335642016,2017,72
497234122,2014,72
101047329,2010,72
463463840,2015,72
95769454,2007,72
386103575,2014,72
169071082,2008,72
135618075,2006,72
397004636,2009,72
201639220,2010,72
426784405,2013,72
269645489,2013,71
157204900,2009,71
176261252,2013,71
11437163,2011,71
85099240,2012,71
30961119,2015,71
410787331,2013,71
117208897,2013,71
471724544,2007,71
465702079,2011,71
13334506,2006,71
79131734,2013,71
484359358,2002,71
408476582,2011,71
294508657,2005,71
328542125,2006,71
312926396,2014,71
408424897,2011,71
234942486,2012,71
251644841,2012,71
129318845,2005,71
395513348,2013,71
84804643,2015,70
23650401,2014,70
136295857,2016,70
399147082,2015,70
116053473,2013,70
446347005,2016,70
71843914,2017,70
274333586,2006,70
228601267,2012,70
263708103,2011,70
486990185,2005,70
278062188,2008,70
338671594,2010,70
454589044,2009,70
152503974,2011,70
173856843,2016,70
269717707,2014,70
498209557,2007,70
416968020,2006,70
186796987,2013,70
479385688,2006,70
407993385,2015,70
85290737,2012,69
456437097,2012,69
220480370,1998,69
430248606,2009,69
480240707,2010,69
284623193,2010,69
292593180,2009,69
61449723,2013,69
432822155,2008,69
35517929,2011,69
464966554,2014,69
346393069,2013,69
458028000,2017,69
272015099,2009,69
68479635,2013,69
47756306,2012,69
147447370,2013,69
356789814,2015,69
284041913,2009,69
393492929,2012,69
269098031,2017,69
116196769,2012,69
98074809,2011,69
226762034,2013,69
491586036,2011,69
219860844,2005,69
157685204,2014,69
23872939,2013,68
62639832,2014,68
249238034,2005,68
453289345,2008,68
138061089,2006,68
220007303,2008,68
94053223,2013,68
333975024,2016,68
353595774,2008,68
264323304,2011,68
255752629,2014,68
498554108,2012,68
