id,title,year,journal_name,conf_name
223688399,A unified architecture for natural language processing: deep neural networks with multitask learning,2008,,International Conference on Machine Learning
271113697,Leveraging word embeddings for spoken document summarization,2015,,Conference of the International Speech Communication Association
24470333,Prosodically-enhanced Recurrent Neural Network Language Models,2015,,Conference of the International Speech Communication Association
300076983,Domain Adaptation of Recurrent Neural Networks for Natural Language Understanding.,2016,,Conference of the International Speech Communication Association
26749331,Neural network models for lexical addressee detection.,2014,,Conference of the International Speech Communication Association
499909767,Multi-task learning deep neural networks for speech feature denoising,2015,,Conference of the International Speech Communication Association
428977174,Learning continuous-valued word representations for phrase break prediction.,2014,,Conference of the International Speech Communication Association
119510028,Investigation of recurrent-neural-network architectures and learning methods for spoken language understanding.,2013,,Conference of the International Speech Communication Association
390120193,Joint sequence training of phone and grapheme acoustic model based on multi-task learning deep neural networks.,2014,,Conference of the International Speech Communication Association
303724220,Ensemble of Gaussian mixture localized neural networks with application to phone recognition.,2015,,Conference of the International Speech Communication Association
429706791,Deep contextual language understanding in spoken dialogue systems.,2015,,Conference of the International Speech Communication Association
366348160,Unsupervised Deep Belief Features for Speech Translation.,2012,,Conference of the International Speech Communication Association
272640806,Fusion of multiple parameterisations for DNN-based sinusoidal speech synthesis with multi-task learning,2015,,Conference of the International Speech Communication Association
489410472,Distributed representation-based spoken word sense induction.,2015,,Conference of the International Speech Communication Association
84258719,Two-Stage Multi-Target Joint Learning for Monaural Speech Separation,2015,,Conference of the International Speech Communication Association
365312738,Distinct Triphone Acoustic Modeling Using Deep Neural Networks,2015,,Conference of the International Speech Communication Association
80281690,Sequential Convolutional Neural Networks for Slot Filling in Spoken Language Understanding.,2016,,Conference of the International Speech Communication Association
155509104,Joint syntactic and semantic analysis with a multitask Deep Learning Framework for Spoken Language Understanding,2016,,Conference of the International Speech Communication Association
94862317,An Expectation Maximization Approach to Joint Modeling of Multidimensional Ratings Derived from Multiple Annotators.,2016,,Conference of the International Speech Communication Association
131504209,The Parameterized Phoneme Identity Feature as a Continuous Real-Valued Vector for Neural Network Based Speech Synthesis.,2016,,Conference of the International Speech Communication Association
32076875,Minimization of Regression and Ranking Losses with Shallow Neural Networks on Automatic Sincerity Evaluation.,2016,,Conference of the International Speech Communication Association
202542719,Deep activation mixture model for speech recognition,2017,,Conference of the International Speech Communication Association
141596414,ClockWork-RNN Based Architectures for Slot Filling.,2017,,Conference of the International Speech Communication Association
15362900,Leveraging word embeddings for spoken document summarization,2015,,Conference of the International Speech Communication Association
113996607,Topic2Vec: Learning distributed representations of topics,2015,,International Conference on Asian Language Processing
275202298,Document summarization based on semantic representations,2015,,International Conference on Asian Language Processing
90839346,Topic2Vec: Learning distributed representations of topics,2015,,International Conference on Asian Language Processing
370882672,From word embeddings to document similarities for improved information retrieval in software engineering,2016,,International Conference on Software Engineering
105191096,Towards Twitter hashtag recommendation using distributed word representations and a deep feed forward neural network,2014,,Advances in Computing and Communications
432863685,Learning to Listen to Your Ego-(motion): Metric Motion Estimation from Auditory Signals,2018,,Conference Towards Autonomous Robotic Systems
169078949,Generalized Variable Conversion Using K-means Clustering and Web Scraping,2018,,International Conference on Computational Science
418778486,Word Similarity Fails in Multiple Sense Word Embedding,2018,,International Conference on Computational Science
38208028,Standardization of Featureless Variables for Machine Learning Models Using Natural Language Processing,2018,,International Conference on Computational Science
187055324,On the various semantics of similarity in word embedding models,2017,,ACM/IEEE Joint Conference on Digital Libraries
217893635,Virtual cardiologist �?A conversational system for medical diagnosis,2013,,Canadian Conference on Electrical and Computer Engineering
173264509,Lung cancer classification using deep learned features on low population dataset,2017,,Canadian Conference on Electrical and Computer Engineering
80830107,Multi-label Chinese Microblog Emotion Classification via Convolutional Neural Network,2016,,Asia-Pacific Web Conference
155396175,Character-based parsing with convolutional neural network,2015,,International Conference on Artificial Intelligence
39397973,Learning context-sensitive word embeddings with neural tensor skip-gram model,2015,,International Conference on Artificial Intelligence
128134765,Learning to rap battle with bilingual recursive neural networks,2015,,International Conference on Artificial Intelligence
311820471,Medical synonym extraction with concept space models,2015,,International Conference on Artificial Intelligence
356878613,Enhanced Convolutional Neural Network for Abnormal Event Detection in Video Streams,2019,,International Conference on Artificial Intelligence
49630803,Leveraging Multiple Implicit Feedback for Personalized Recommendation with Neural Network,2019,,International Conference on Artificial Intelligence
164587780,Sentiment analysis of commodity reviews based on multilayer LSTM network,2019,,International Conference on Artificial Intelligence
449559173,Social Emotion Classification Based on Noise-Aware Training,2019,,The Internet of Things
164955151,Convolution Recurrent Neural Networks for Short-Term Prediction of Atmospheric Sensing Data,2018,,Green Computing and Communications
211672820,Combining local and global features in supervised word sense disambiguation,2017,,Web Information Systems Engineering
404753082,Defensive dropout for hardening deep neural networks under adversarial attacks,2018,,International Conference on Computer Aided Design
144600536,EMAT: an e fficient m ulti-task a rchitecture for t ransfer learning using ReRAM,2018,,International Conference on Computer Aided Design
42241688,How to Obtain and Run Light and Efficient Deep Learning Networks,2019,,International Conference on Computer Aided Design
305400089,Generative model chatbot for Human Resource using Deep Learning,2019,,International Conference on Data Science and Engineering
347688155,Deep learning for stock market prediction from financial news articles,2017,,Computational Intelligence
62584455,Multi‐representational convolutional neural networks for text classification,2019,,Computational Intelligence
44897815,Adversarial Multi-task Label Embedding for Text Classification,2019,,Computational Intelligence
55542914,EBLearn: Open-Source Energy-Based Learning in C++,2009,,International Conference on Tools with Artificial Intelligence
200937269,Deep Learning for Textual Entailment Recognition,2015,,International Conference on Tools with Artificial Intelligence
211423425,Exploring Unsupervised Features in Conditional Random Fields for Spanish Named Entity Recognition,2016,,Brazilian Conference on Intelligent Systems
381617901,Convolutional Neural Networks for Time Series Classification,2017,,International Conference on Artificial Intelligence and Soft Computing
155576387,Combining Neural and Knowledge-Based Approaches to Named Entity Recognition in Polish,2019,,International Conference on Artificial Intelligence and Soft Computing
337413162,A Fast Multi-level Plagiarism Detection Method Based on Document Embedding Representation,2016,,Forum for Information Retrieval Evaluation
31497546,Throughput-Optimized OpenCL-based FPGA Accelerator for Large-Scale Convolutional Neural Networks,2016,,Field Programmable Gate Arrays
342483319,Outdoor scene labeling using deep convolutional neural networks,2015,,Chinese Control Conference
422361479,Deep learning neural network for power system fault diagnosis,2016,,Chinese Control Conference
474531446,Semi-supervised Dual Recurrent Neural Network for Sentiment Analysis,2013,,"IEEE International Conference on Dependable, Autonomic and Secure Computing"
359615636,Latent feature learning in social media network,2013,,ACM Multimedia
258970003,RAPID: Rating Pictorial Aesthetics using Deep Learning,2014,,ACM Multimedia
140046659,Automatic Image Dataset Construction from Click-through Logs Using Deep Neural Network,2015,,ACM Multimedia
231012775,Image Tagging via Cross-Modal Semantic Mapping,2015,,ACM Multimedia
430852141,Deep Cross Residual Learning for Multitask Visual Recognition,2016,,ACM Multimedia
238533496,Novel Word Embedding and Translation-based Language Modeling for Extractive Speech Summarization,2016,,ACM Multimedia
397652326,Adaptive Visual Feedback Generation for Facial Expression Improvement with Multi-task Deep Neural Networks,2016,,ACM Multimedia
452056830,Deep Cross Residual Learning for Multitask Visual Recognition,2016,,ACM Multimedia
309405323,Cross-Modal Dual Learning for Sentence-to-Video Generation,2019,,ACM Multimedia
159901378,Distributed keyword vector representation for document categorization,2015,,International Conference on Technologies and Applications of Artificial Intelligence
131339004,Predictive Business Process Monitoring with LSTM Neural Networks,2017,,Conference on Advanced Information Systems Engineering
149658676,On scalable spiking convnet hardware for cortex-like visual sensory processing systems,2010,,International Symposium on Circuits and Systems
167130332,Accelerating convolutional neural network with FFT on tiny cores,2017,,International Symposium on Circuits and Systems
163958124,A Model-Driven Approach for Behavior-Driven GUI Testing,2019,,Symposium on Applied Computing
346917591,Combining Word Representations for Measuring Word Relatedness and Similarity.,2015,,The Florida AI Research Society
286699432,Radical-Based Hierarchical Embeddings for Chinese Sentiment Analysis at Sentence Level.,2017,,The Florida AI Research Society
181521020,Offering Answers for Claim-Based Queries: A New Challenge for Digital Libraries,2017,,International Conference on Asian Digital Libraries
438454461,Deep Learning for French Legal Data Categorization,2019,,Model and Data Engineering
35911160,Paraphrase Detection using Dependency Tree Recursive Autoencoder,2019,,International Conference on Advanced Computing
428382871,Slot Filling Using En-Training,2019,,Cyber-Enabled Distributed Computing and Knowledge Discovery
300341126,FFT-based deep learning deployment in embedded systems,2018,,"Design, Automation, and Test in Europe"
284108462,Increasing secondary diagnosis encoding quality using data mining techniques,2016,,Research Challenges in Information Science
368633933,Deep Learning for Efficient Discriminative Parsing,2011,,International Conference on Artificial Intelligence and Statistics
104846799,Understanding the difficulty of training deep feedforward neural networks,2010,,International Conference on Artificial Intelligence and Statistics
81775532,Joint Learning of Words and Meaning Representations for Open-Text Semantic Parsing,2012,,International Conference on Artificial Intelligence and Statistics
151025481,Sequential Learning of Classifiers for Structured Prediction Problems,2009,,International Conference on Artificial Intelligence and Statistics
411937192,Towards Understanding Situated Natural Language,2010,,International Conference on Artificial Intelligence and Statistics
115036778,The Difficulty of Training Deep Architectures and the Effect of Unsupervised Pre-Training,2009,,International Conference on Artificial Intelligence and Statistics
231365927,Deep Learners Benefit More from Out-of-Distribution Examples,2011,,International Conference on Artificial Intelligence and Statistics
5681401,Deep Neural Networks Learn Non-Smooth Functions Effectively,2019,,International Conference on Artificial Intelligence and Statistics
