id,year,citation_cnt
223688399,2008,2748
415925288,2013,8688
372720438,2013,8217
419975680,2014,8038
113095401,2015,4578
205694501,2013,3974
104846799,2010,3815
328334386,2009,3267
186802265,2013,2511
272585564,2014,2294
202328664,2018,2138
123098093,2014,1988
71464383,2014,1986
462720452,2013,1978
54443629,2015,1940
196798873,2013,1938
205356644,2012,1828
394539792,2010,1713
197051982,2012,1610
59420930,2013,1550
275621373,2014,1499
394414727,2010,1418
317666629,2010,1328
456925904,2009,1327
247796706,2017,1307
320426270,2011,1118
190627690,2011,910
62646418,2014,862
352886470,2016,857
209214732,2013,851
168853192,2011,835
18524060,2012,830
264475177,2011,818
273969023,2013,783
163186096,2012,751
488458520,2014,750
57448091,2016,722
458653373,2014,680
13532919,2014,667
16878307,2013,666
96175448,2009,652
257557180,2014,638
227058247,2015,629
485994902,2011,629
200599618,2017,623
154787455,2013,612
44828285,2014,595
4100622,2015,571
66417802,2014,569
331864509,2014,551
138803427,2015,544
184064603,2017,544
39456593,2015,542
2707111,2014,521
225183507,2014,494
391149719,2013,492
41213619,2017,491
143138364,2013,488
426367842,2015,485
212807482,2015,475
494868348,2011,468
199586196,2017,460
499525433,2012,407
9167421,2016,390
332693403,2015,387
314054815,2016,375
263070963,2014,374
300586818,2014,354
35459386,2013,347
46200918,2014,342
171744531,2011,338
6580924,2018,337
197685100,2014,331
161868730,2014,320
178646406,2017,310
311416604,2015,306
253400225,2009,304
15637396,2013,276
389127866,2016,272
91125121,2015,268
246620467,2017,268
279287191,2010,267
371375627,2015,266
108872127,2015,260
434855359,2016,255
398365661,2014,248
64468378,2013,246
23252501,2015,245
75835266,2012,241
414946394,2017,237
313895298,2014,236
113353024,2012,236
119510028,2013,230
11311225,2015,224
186932567,2014,223
472179989,2016,217
342073165,2015,212
361088534,2018,211
258089328,2010,210
348518243,2018,209
243315184,2016,207
89731484,2014,206
115036778,2009,205
307905195,2013,200
18964655,2013,198
452545307,2019,198
102197089,2014,195
308275471,2014,194
298160155,2009,193
81775532,2012,193
324406863,2012,191
31497546,2016,187
66566275,2014,184
369013108,2015,183
166317893,2011,181
185973357,2014,181
54652436,2018,179
470156464,2018,179
214988301,2015,177
434377998,2014,174
390806429,2010,173
112073138,2015,172
342508775,2010,172
223979360,2014,170
386397178,2016,167
258970003,2014,167
330321606,2015,166
18116067,2013,163
37529801,2012,163
468440617,2015,162
12771789,2014,161
110923555,2011,161
30795690,2015,159
54376136,2015,158
89791447,2013,157
443654102,2012,157
160935060,2017,155
443625855,2010,154
485017440,2013,151
85589673,2016,150
61232012,2015,148
198034929,2018,145
392100852,2015,145
108522880,2013,143
376604885,2015,143
375448860,2011,142
347759152,2017,141
134727633,2013,141
158376714,2016,140
7021074,2011,139
331887867,2013,136
261223262,2014,136
444682928,2015,135
255327750,2013,135
86201815,2015,131
195049790,2015,131
68084514,2015,131
391852520,2016,130
367119357,2015,130
417750112,2016,130
230294183,2015,127
345760755,2015,126
192621708,2017,125
450737974,2015,124
139242804,2015,123
238345129,2017,123
15430050,2016,122
167337911,2014,122
352563724,2016,122
437053470,2017,121
452104547,2016,121
423099236,2017,120
97057191,2014,118
433964997,2017,117
452575610,2016,115
238260963,2014,115
33259798,2015,114
134575914,2012,113
271154034,2015,113
69151489,2014,110
475929575,2016,109
15428483,2015,109
416701091,2014,109
153917515,2015,108
224378196,2014,107
87219984,2014,107
368633933,2011,107
79411697,2015,107
4632941,2013,106
428285982,2009,106
181798734,2017,106
244702869,2018,106
384846706,2016,106
132607490,2017,106
42125742,2014,105
449658957,2013,105
192763861,2018,104
460412050,2018,104
99558373,2016,104
59135303,2012,103
473051871,2016,103
234850455,2015,101
490852525,2013,101
406234702,2017,100
138401017,2015,100
176253556,2014,98
243773027,2014,97
199141412,2013,96
32004488,2014,96
361198595,2012,96
75881423,2016,95
403012838,2016,95
405013489,2015,95
120811500,2011,94
131048022,2017,94
137102915,2017,92
270943047,2012,91
198518568,2015,91
227357721,2015,90
22836184,2017,88
438271331,2016,87
370882672,2016,86
48389018,2014,85
291840368,2009,85
226122841,2018,85
327445829,2016,85
108962705,2015,85
426396411,2014,84
260352515,2017,84
424484896,2010,83
402756772,2017,83
156942279,2016,83
297511415,2015,82
171980766,2014,82
402125271,2016,82
65844885,2016,82
432552156,2018,82
105087320,2015,81
423268974,2016,81
62684519,2016,81
71573897,2016,80
313010238,2014,80
131339004,2017,79
486270460,2016,79
26643784,2015,78
354209641,2017,78
189782642,2017,77
194064908,2014,77
17145460,2015,77
239073705,2014,76
396457747,2010,76
161763696,2019,75
269716533,2016,75
74969624,2014,75
208559144,2017,75
129586259,2017,74
237355879,2016,73
465003205,2018,72
136728504,2016,72
31843033,2013,72
102264861,2015,72
314005788,2015,71
167045294,2016,70
190875761,2016,70
50208858,2011,69
402379677,2014,68
339464560,2016,68
429605532,2015,67
322477178,2013,67
171100734,2016,67
49263936,2015,67
370266382,2019,66
425552750,2015,66
9932803,2015,66
253905092,2015,65
341581207,2014,65
478366799,2016,65
443028958,2013,64
468528804,2015,63
485626768,2016,63
403605048,2011,63
287507039,2016,63
320036029,2015,62
91729602,2012,62
490403953,2015,62
245236169,2013,61
148925756,2017,61
349567777,2017,61
57695632,2014,61
290390279,2016,61
228805416,2017,60
371242714,2018,60
428763206,2018,59
234494489,2017,59
456272601,2018,59
241733740,2018,58
259605667,2019,58
216673105,2017,57
393090028,2015,57
495873171,2015,57
310242568,2018,57
477885970,2014,56
231298497,2015,56
49674380,2012,56
41510905,2011,55
499959362,2012,55
223399098,2015,55
255152041,2015,55
4417797,2012,54
498947552,2015,54
328602468,2015,54
188584228,2015,54
349918227,2017,54
481179109,2014,54
266255685,2017,54
270329973,2018,53
98283743,2017,52
51265594,2019,51
64471463,2014,51
105488333,2010,51
204862734,2018,51
78511209,2015,51
275719485,2015,50
91729845,2016,50
247296506,2016,50
335986817,2018,50
247613572,2017,50
100627838,2017,50
