id,title,year,journal_name,conf_name
8303,Mediated attachment as a mechanism for growth of complex networks.,2014,arXiv: Physics and Society,
9008,Multigraph Dependency Models for Heterogeneous Infrastructures,2007,,International Conference on Critical Infrastructure Protection
14224,Community centrality for node's influential ranking in complex network,2014,International Journal of Modern Physics C,
46208,SFNClassifier: a scale-free social network method to handle concept drift,2014,,ACM Symposium on Applied Computing
47585,The scaling of human interactions with city size,2014,Journal of the Royal Society Interface,
70720,Functional connectivity of distant cortical regions: role of remote synchronization and symmetry in interactions,2014,NeuroImage,
85405,Computational Neuroanatomy of the Rat Hippocampus,2008,,
92413,Does the web extend the mind,2013,,Web Science
133039,Connecting the dots: implementing and evaluating a network intervention to foster scientific collaboration and productivity,2019,Social Networks,
143724,A survey on game theoretic models for community detection in social networks,2016,Social Network Analysis and Mining,
145571,Zero-Lag and Cluster Synchrony: Towards Applications,2016,,
165887,Emergence of Persistent Networks in Long-Term Intracranial EEG Recordings,2011,The Journal of Neuroscience,
193637,Modelling and Vulnerability Analysis of Cyber-Physical Power Systems Based on Interdependent Networks,2019,Energies,
196844,Two-Phase Resolution of Polyploidy in the Arabidopsis Metabolic Network Gives Rise to Relative and Absolute Dosage Constraints,2011,The Plant Cell,
224426,An Agglomerative Method to Construct Discrepant Cohesive Subgroups,2012,,Advances in Social Networks Analysis and Mining
262453,Multistability of twisted states in non-locally coupled Kuramoto-type models,2012,Chaos,
279486,Analysis of wired short cuts in wireless sensor networks,2004,,International Conference on Pervasive Services
323328,'mind control' experiences on the internet : Implications for the psychiatric diagnosis of delusions,2006,Psychopathology,
325714,Investigating Brain Network Characteristics Interrupted by Covert White Matter Injury in Patients with Moyamoya Disease: Insights from Graph Theoretical Analysis,2016,World Neurosurgery,
349573,Brain Functional Network for Chewing of Gum,2011,,
414497,Social network and private provision of public goods,2016,Journal of Evolutionary Economics,
428283,Optimal information security investment in a Healthcare Information Exchange: An economic analysis,2014,,Decision Support Systems
435181,Scalable method to find the shortest path in a graph with circuits of memristors,2018,Physical review applied,
447982,Brain architecture: a design for natural computation.,2007,Philosophical Transactions of the Royal Society A,
473762,The role of social networks in information diffusion,2012,,The Web Conference
518010,Evolutionary versatility of eukaryotic protein domains revealed by their bigram networks.,2011,BMC Evolutionary Biology,
547162,The Application of an Extended Hierarchy Theory in Understanding Complex Organizational Situations: The Case of FIReControl,2016,Systems Research and Behavioral Science,
547781,Effect of clustering property on complex network reconstruction via compressed sensing,2019,Physica A-statistical Mechanics and Its Applications,
662124,Collaboration structures in Slovenian scientific communities,2012,,
708220,The structure and nodes�?role of the world coal trade network,2015,Journal of Chinese Economic and Business Studies,
719218,Finding sRNA generative locales from high-throughput sequencing data with NiBLS,2010,BMC Bioinformatics,
721656,Building Small-World Peer-to-Peer Networks Based on Hierarchical Structures,2009,IEEE Transactions on Parallel and Distributed Systems,
724296,Percolation Methods for SEIR Epidemics on Graphs,2013,,
766637,Structural Information and Dynamical Complexity of Networks,2016,IEEE Transactions on Information Theory,
783356,Radial structure of the Internet,2007,arXiv: Networking and Internet Architecture,
807801,Chimera states in networks of logistic maps with hierarchical connectivities,2018,European Physical Journal B,
844497,Intrinsic Organization of the Anesthetized Brain,2012,The Journal of Neuroscience,
864581,Structural and topological phase transitions on the German Stock Exchange,2013,Physica A-statistical Mechanics and Its Applications,
