id,year,citation_cnt
240908848,1998,25848
460324503,1999,22121
151582811,2003,12135
175291016,2002,8715
65566100,2004,7915
125204164,2010,6353
397940572,2007,6159
69137668,2006,6040
390062010,2006,5755
222368640,2009,5750
392958406,2000,5478
153557419,2001,5388
274468607,2004,5376
421478453,2010,4660
278649326,2002,4559
392217733,2010,4440
363815414,2008,4159
92017511,2004,3740
168438008,2000,3664
228690373,2005,3492
32051644,2007,3355
378569411,2002,3005
227464474,2001,2951
88067253,1999,2904
413714440,2002,2880
384207003,2004,2847
181948547,2009,2802
259890270,2006,2670
155751021,2001,2390
371721616,2002,2368
124052467,2007,2310
6308788,2011,2270
424598235,2000,2203
48966449,2003,2148
499551003,2007,2147
22518704,2007,2125
69755074,2004,2115
409850219,2003,2026
124207709,2010,1926
144041944,2001,1918
225347371,2002,1872
108420428,2007,1808
193640573,2002,1754
93145666,2001,1745
129306424,2008,1742
223052700,2009,1720
317668225,2004,1718
428375286,2006,1693
387942151,2011,1681
337193693,2003,1654
484171223,2000,1646
469355287,2005,1590
478426421,1999,1571
384125272,2007,1533
109356486,2003,1523
361940724,2004,1468
214802199,2007,1459
470972871,2004,1435
105335933,2010,1432
330272708,2006,1431
424739500,2007,1423
486398764,2012,1383
77786455,2004,1359
152286143,2007,1358
453678211,2004,1356
237412319,2004,1346
320237010,2005,1343
282823314,2003,1324
362601542,2014,1304
34123890,2010,1293
50246627,2003,1292
425503296,2000,1283
194587290,2010,1280
271043041,2007,1279
114546768,2006,1272
34596298,2004,1261
193451063,2011,1261
122007952,2013,1259
122182226,2001,1223
180451057,2002,1222
202813444,2000,1217
167484006,2012,1206
200175247,2000,1206
437219418,2010,1200
484376998,2009,1162
231190489,2004,1131
219291879,2000,1113
37703304,2006,1106
367691235,2007,1096
466630429,2007,1092
110886998,2009,1090
445506773,2001,1090
391073107,2000,1069
321731095,2005,1043
174905048,2001,1040
270281750,2005,1039
67166214,2002,1035
94931093,2012,1029
304967457,2010,1025
316821312,2000,1017
192226895,2002,1016
113883296,2008,1012
16926705,2007,1002
134731674,2004,987
417947698,2005,983
377104723,1998,977
444983080,2009,958
406545886,2005,948
18071286,2007,948
115280575,2004,947
139119447,2005,947
404125352,2008,928
242812343,2014,918
477795151,2002,897
291850252,2003,896
11332817,2004,891
101620763,2015,877
257293979,2009,876
363911628,2012,872
456701635,2006,871
415134958,2003,865
361546719,1999,862
331639291,2002,858
294860315,1999,856
426507789,2007,852
83778163,2004,849
192201049,2012,844
354880181,2010,842
140891977,2005,841
187752275,2002,836
473762,2012,829
26425730,2008,827
340296724,2004,822
487419290,2008,816
14600719,2004,813
201692604,2005,812
466741509,2007,811
68226049,2007,798
195547334,2001,797
487394220,2004,789
118832594,2007,782
383910617,2005,781
303759876,2006,777
72961059,2005,777
190130943,2010,776
225993867,2005,774
75393540,2002,773
425976857,2006,772
337936020,2005,765
79822723,2009,764
119606501,2017,760
294440345,2008,754
289827858,2008,752
469228312,2010,743
424100057,2008,741
176085652,2010,730
247407448,2005,729
258872402,2001,728
32956017,2007,725
483944631,2006,724
48475344,2002,724
217978798,1999,722
188186998,2003,720
326951102,2009,718
89074976,2009,714
88423097,2013,710
193898862,2007,692
113544108,2006,689
217932096,2007,680
260041763,2009,679
427063201,2009,679
304765702,2011,676
3004435,2013,676
271813544,2007,673
10402625,2005,672
388996048,2009,672
109111325,2009,667
460275406,2005,666
398561141,2012,659
109640818,2002,658
485510805,2004,657
355927057,2004,656
132672899,2002,655
197338285,2004,653
42632729,2004,649
131476694,2005,648
170534269,2002,642
255060410,2003,642
258425960,2005,640
271541939,2005,635
143872204,2009,633
381701682,2005,632
307164078,2007,627
4000333,2005,624
483236732,2007,623
464752589,2011,619
58919573,2010,619
470318728,2005,617
429938748,2008,615
370926055,2008,609
346814101,2012,609
310425622,2009,604
156902844,2010,603
416082607,2005,603
152618682,2010,596
336326756,2012,595
153676104,2002,594
473438117,2000,594
94341909,2008,593
464980776,2011,588
34727529,2009,579
246970623,2009,574
270315462,1999,572
101037859,2008,572
53652235,2004,568
160184477,2008,566
57021699,2003,563
463454288,2010,561
253454836,2002,559
134734135,2007,557
483242145,2000,556
377972024,2005,555
232745590,2010,554
130699063,2009,551
192133722,2009,549
355408017,2009,548
407018400,2003,546
466610997,2009,546
377001750,2006,546
105726638,2003,541
54626519,2004,539
295710309,2009,537
48780945,2007,532
102019790,2014,532
296457616,2001,532
311458929,2010,529
496780650,2005,526
362514401,2000,526
449491862,2006,525
193825218,2007,524
222971452,2003,523
153560260,2006,516
259855788,2007,512
266530783,2004,511
33680317,2002,509
214999595,2003,509
111348535,2014,506
135904459,2005,504
2104641,2002,503
274779903,2008,503
85585560,2010,502
327667628,2006,496
339558554,2008,491
281350729,2008,489
191888579,2011,489
270288259,2007,488
49098300,2002,485
431663259,2004,485
197227913,2004,485
448963479,2008,482
382269717,2013,481
116214859,2003,481
248023851,2011,479
42064053,2007,478
157201649,2002,473
152044238,2006,472
142146152,2000,471
438735927,2011,463
344595006,2009,463
25853852,2010,462
463201362,2012,459
442364086,2007,457
237047275,2002,452
62002331,2001,451
357496632,2013,449
221249317,2001,447
494892883,2010,444
327974414,2008,443
183683935,2011,440
102791268,2004,439
389810312,2012,438
242025231,2003,438
305383133,2005,435
46475163,2013,434
280509470,2004,433
43558195,2012,431
182563812,2004,430
196497990,2004,427
85755652,2009,425
324764063,2006,424
47153351,2009,423
77746079,2013,422
222582614,2005,421
60298015,2004,420
432062475,2017,420
140454866,2013,419
118208646,2002,419
30933499,2007,419
82784097,2013,419
214534692,2001,418
133509589,2003,418
196260652,2008,417
103219387,2009,414
126896835,2009,414
265487473,2010,413
106570841,2014,413
440488154,2010,413
308000439,2008,411
61219719,2011,411
348025782,2009,410
446695901,2000,408
470780090,2017,407
162581381,2016,407
118418386,2007,407
485022896,2010,406
170185594,2006,404
20549837,2014,403
403908524,2011,403
123494733,2004,403
385573388,2000,401
182410734,2005,399
100784223,2007,399
348324803,2010,398
114169045,2004,398
126829384,2010,397
54382009,2002,397
355619517,2001,397
487761921,2012,396
286525245,2012,396
462861730,2006,395
357307407,2008,395
155865528,2005,394
63523200,2009,394
238625616,2013,393
444538689,2007,393
422879779,2003,393
457313027,2013,392
473903502,2007,392
447251628,2012,388
207508341,1999,388
172419601,2006,388
67120302,2008,387
147314762,2002,386
5220195,2008,386
432676207,2010,386
371556239,2012,385
473608146,2013,383
470799559,2007,383
441860457,2010,382
394988014,2004,381
4769264,2007,381
207300958,2007,380
335021723,2012,379
351960453,2002,378
299746692,2005,375
208565956,2009,375
336515080,2016,374
327705800,2002,372
390093848,2009,372
228423700,2010,370
495805584,2008,369
133225279,2013,368
371154445,2009,368
422032765,2010,368
499677007,2011,367
73764944,2007,367
402773941,2015,367
304641622,2006,366
472389171,2009,365
488861960,2003,365
321433867,2000,365
228050830,2015,364
268106766,2010,363
493326341,2007,363
154039417,2004,362
76269497,2014,361
66324075,2010,360
390759406,2002,360
191272854,2004,359
254996565,2008,358
304146255,2000,358
308404988,2002,357
448290890,2013,357
426528873,2006,357
180796362,2012,357
467199237,2007,355
89829589,2004,352
140274735,2000,351
89714194,2003,350
88201389,2015,348
345700468,2006,347
356176734,2006,347
189679218,2004,346
479280194,2001,345
291478249,2016,345
252661119,2008,345
461396067,2009,344
116156927,2002,342
343120788,2010,342
273058481,2003,342
328395740,2005,341
253682718,2007,341
233168126,2010,341
476764210,2007,340
345607889,2004,340
204465359,2012,340
216732765,2005,340
405429660,2004,339
370308377,2003,339
365639796,2003,339
251130877,2009,337
482961301,2008,337
147758649,2012,336
474929712,2010,336
397977997,2011,334
89973346,2004,334
33760985,2002,331
186180947,2004,331
266856217,2014,331
336002191,2014,331
394538800,2005,330
431323665,2007,330
2365293,1999,330
28359377,2003,329
17600440,2006,329
475060201,2003,328
6685611,2013,327
31224737,2003,327
79704795,2005,327
303137781,2009,325
476225328,2011,324
304104511,2009,323
335295978,2004,322
122415805,2003,322
400508121,2009,322
364972296,2006,321
331778525,2010,321
430385915,2009,319
125799052,2011,319
263835036,2009,319
366553764,2011,317
12934312,2002,316
83231989,2011,315
146316238,2007,315
416997499,2010,315
498593479,2008,315
202030871,2016,313
216252827,2006,313
473072776,2005,312
321941580,2006,311
446915040,2012,310
479695516,2011,309
185864973,2011,309
7692836,2010,308
397715318,2010,307
220893934,2008,307
147658801,2013,306
28312129,2006,306
259775762,2012,305
27034822,2008,304
113483923,2003,303
499132354,2002,303
211111818,2014,303
134445936,2009,302
182656796,2011,301
63365915,2011,301
93716501,2002,301
334687473,2006,300
295663948,2001,299
376856884,2004,299
232966649,2011,298
321952019,2001,298
381360700,2008,297
159736122,2006,297
341357587,2005,296
470115285,2004,296
56368315,2006,295
171731671,2011,295
471217606,2008,293
171129025,2014,292
297342650,2003,291
219042917,2005,291
207506404,2009,290
112739951,2009,288
317841649,2003,288
337391792,2004,288
280185115,2011,288
439064732,2008,287
72183867,2007,287
427151996,2010,287
496121309,2006,286
10860330,2002,286
111980183,2013,284
141077276,2004,284
379244518,2004,283
487432542,2007,283
169097844,2004,282
258724909,2011,280
154013637,2005,279
202929074,2008,279
28719036,2003,278
450495849,2001,278
443818949,2007,277
422077249,2007,277
474496572,2011,276
470263094,2004,276
496018996,2006,276
339655166,2005,275
202474292,2008,274
26852554,2008,274
