id,year,citation_cnt
256500874,2003,3297
415925288,2013,8688
372720438,2013,8217
419975680,2014,8038
175408400,2015,5797
427786968,2014,4866
205694501,2013,3974
234105514,2011,3596
328334386,2009,3267
115742010,2014,3079
223688399,2008,2748
434239941,2016,2515
186802265,2013,2511
272585564,2014,2294
16297500,2010,2230
123098093,2014,1988
196798873,2013,1938
197051982,2012,1610
59420930,2013,1550
394414727,2010,1418
232826137,2014,1383
320426270,2011,1118
285987931,2014,1078
346921259,2013,1012
219333269,2015,836
168853192,2011,835
264475177,2011,818
273969023,2013,783
293388216,2017,766
163186096,2012,751
488458520,2014,750
210538315,2015,716
353339045,2014,703
458653373,2014,680
16878307,2013,666
470490857,2015,663
296626728,2016,659
76913743,2015,657
257557180,2014,638
485994902,2011,629
356530927,2010,627
440297916,2017,625
181924775,2011,621
83584650,2008,619
154787455,2013,612
20891355,2015,609
193819553,2012,609
114670531,2016,586
120495489,2012,578
4100622,2015,571
30726371,2005,563
391149719,2013,492
143138364,2013,488
426367842,2015,485
422563478,2016,463
199586196,2017,460
208183856,2007,436
87866805,2015,424
19311620,2011,423
78043724,2015,416
319294412,2015,409
229278858,2006,400
419249818,2015,389
402031887,2014,388
332693403,2015,387
112067686,2015,379
263070963,2014,374
280773330,2016,369
325430210,2007,363
300586818,2014,354
35459386,2013,347
46200918,2014,342
62231005,2006,341
223513156,2017,341
171744531,2011,338
376784826,2014,335
161868730,2014,320
178646406,2017,310
10531647,2015,308
89183411,2014,308
196192702,2012,306
311416604,2015,306
99033547,2015,294
484402437,2015,291
223312574,2013,282
153413349,2006,276
350721616,2015,267
108872127,2015,260
395817206,2011,260
64468378,2013,246
240660123,2012,237
113353024,2012,236
313895298,2014,236
119510028,2013,230
186932567,2014,223
343012862,2014,222
96685744,2014,222
9997996,2014,217
364036554,2014,217
472179989,2016,217
33969440,2018,208
463338593,2015,206
89731484,2014,206
187040852,2017,205
288583335,2015,204
18964655,2013,198
321494099,2017,193
81775532,2012,193
52442872,2011,192
192881674,2016,187
494050020,2014,185
399216788,2019,179
473154277,2016,178
130078616,2016,175
112073138,2015,172
277970330,2017,170
223979360,2014,170
208199829,2013,169
84962453,2011,169
330321606,2015,166
303168693,2013,165
53679851,2013,165
12771789,2014,161
260026259,2015,161
122205205,2011,160
454147945,2017,160
54376136,2015,158
155622769,2014,158
67037095,2015,158
89791447,2013,157
