id,title,year,journal_name,conf_name
3209,Regulatory T Cells: Mechanisms of Differentiation and Function,2012,Annual Review of Immunology,
6858,Regulatory T Cells: Differentiation and Function,2016,Cancer immunology research,
11616,Transcriptional Control of Regulatory T cells,2014,Current Topics in Microbiology and Immunology,
158281,DCA promotes a novel tolerogenic program in CD4+ T cells by inhibiting CDK8,2019,bioRxiv,
1064547,The regulation of immune tolerance by FOXP3,2017,Nature Reviews Immunology,
1312454,Immunomodulatory vitamin D effects on regulatory T-cells and cytokines in an in vitro study on patients with systemic lupus erythematosus,2016,Food and Agricultural Immunology,
1394803,Increase in TGF-β Secreting CD4+CD25+ FOXP3+ T Regulatory Cells in Anergic Lepromatous Leprosy Patients,2014,PLOS Neglected Tropical Diseases,
1494819,Chemokine-Driven CD4+ T Cell Homing: New Concepts and Recent Advances,2017,Advances in Immunology,
2181485,Longitudinal single cell profiling of regulatory T cells identifies IL-33 as a driver of tumor immunosuppression,2019,bioRxiv,
2902002,Human Fc Receptor-like 3 Inhibits Regulatory T Cell Function and Binds Secretory IgA,2020,Cell Reports,
3604152,Regulation of T-Cell Signaling by Post-Translational Modifications in Autoimmune Disease,2018,International Journal of Molecular Sciences,
4193087,Human regulatory T cells control TCR signaling and susceptibility to suppression in CD4+ T cells.,2016,Journal of Leukocyte Biology,
4699257,MicroRNAs targeting TGFβ signalling underlie the regulatory T cell defect in multiple sclerosis,2016,Brain,
5943598,TGF-β Activation and Function in Immunity,2014,Annual Review of Immunology,
7515584,Antibodies to Interleukin-2 Elicit Selective T Cell Subset Potentiation through Distinct Conformational Mechanisms,2015,Immunity,
7908902,Robust and Accurate Discrimination of Self/Non-Self Antigen Presentations by Regulatory T Cell Suppression,2016,PLOS ONE,
7917646,Exosome Function in miRNA-Mediated Paracrine Effects,2015,,
8164582,FoxP3 scanning mutagenesis reveals functional variegation and mild mutations with atypical autoimmune phenotypes,2018,Proceedings of the National Academy of Sciences of the United States of America,
9127949,Interferon-α suppresses cAMP to disarm human regulatory T cells,2013,Cancer Research,
9131609,Vaccine against autoimmune disease: antigen-specific immunotherapy,2013,Current Opinion in Immunology,
9319140,High IL-17 expression is associated with an unfavorable prognosis in thyroid cancer,2017,Oncology Letters,
10002705,Regulatory T cells in cancer: where are we now?: Editorial,2019,Immunology,
10279299,"Umbelliprenin induced production of IFN-γ and TNF-α, and reduced IL-10, IL-4, Foxp3 and TGF-β in a mouse model of lung cancer",2014,Immunopharmacology and Immunotoxicology,
10410073,T follicular helper cell diversity and plasticity,2013,Trends in Immunology,
10813636,FOXP3 can modulate TAL1 transcriptional activity through interaction with LMO2,2016,Oncogene,
11679663,Two-zone tumor tolerance can arise from a simple immunological feedforward motif that estimates tumor growth rates,2016,bioRxiv,
11840721,Helminth Infections and Host Immune Regulation,2012,Clinical Microbiology Reviews,
11843303,CD27 co-stimulation increases the abundance of regulatory T cells and reduces atherosclerosis in hyperlipidaemic mice,2017,European Heart Journal,
11947003,Regulatory T Cells and Immune Tolerance in the Intestine,2013,Cold Spring Harbor Perspectives in Biology,
12062967,Molecular switches for regulating the differentiation of inflammatory and IL-10-producing anti-inflammatory T-helper cells,2019,Cellular and Molecular Life Sciences,
12283753,IL-17A-Producing Foxp3(+) Regulatory T Cells and Human Diseases.,2017,Immune Network,
12468594,The effect of regulatory T cells on tolerance to airborne allergens and allergen immunotherapy,2018,The Journal of Allergy and Clinical Immunology,
12486406,Construction of self-recognizing regulatory T cells from conventional T cells by controlling CTLA-4 and IL-2 expression,2013,Proceedings of the National Academy of Sciences of the United States of America,
13137206,Streptococcus gallolyticus conspires myeloid cells to promote tumorigenesis of inflammatory bowel disease,2018,Biochemical and Biophysical Research Communications,
13199985,Transcription factor Foxp1 regulates Foxp3 chromatin binding and coordinates regulatory T cell function,2019,Nature Immunology,
13512110,"Effector T Cells Boost Regulatory T Cell Expansion by IL-2, TNF, OX40, and Plasmacytoid Dendritic Cells Depending on the Immune Context",2015,Journal of Immunology,
13782685,T cell immunity as a tool for studying epigenetic regulation of cellular differentiation.,2013,Frontiers in Genetics,
13803451,The Immunotherapeutic Role of Regulatory T Cells in Leishmania (Viannia) panamensis Infection,2014,Journal of Immunology,
13973544,Review on immunotherapy in airway allergen sensitised patients.,2015,Netherlands Journal of Medicine,
14632706,Soli-Expression by Nonlinear Stochastic Heterogeneity with One-Dimensional Categorical Analysis of Human T Cell,2015,,
15307942,Th9 cells: differentiation and disease,2013,Immunological Reviews,
15353678,Foxp3(+) regulatory T cells in tuberculosis.,2013,Advances in Experimental Medicine and Biology,
15443223,Epigenetic and transcriptional control of Foxp3+ regulatory T cells,2015,Seminars in Immunology,
15602475,Identification of a FOXP3 + CD3 + CD56 + population with immunosuppressive function in cancer tissues of human hepatocellular carcinoma,2015,Scientific Reports,
16480344,Alteration of CD4 + CD25 + Foxp3 + regulartory T cells in breast cancer patients and its significance,2015,,
16583033,200 Million Thymocytes and I: A Beginner's Survival Guide to T Cell Development.,2016,Methods of Molecular Biology,
16709010,"“What do we know about regulatory T cells and endometriosis? A systematic review�?,2017""",Journal of Reproductive Immunology,,
