id,year,citation_cnt
3209,2012,1380
78751874,2013,1654
463393499,2013,653
115542268,2014,582
190324751,2015,538
135086941,2012,522
210115223,2013,455
308422549,2016,405
61405179,2017,403
432046355,2014,371
257254012,2013,355
96808882,2013,318
381120774,2012,314
275199419,2015,289
456815717,2013,283
266710989,2015,272
221569399,2014,272
316630977,2012,269
5943598,2014,268
276360495,2014,250
245049971,2012,250
11840721,2012,243
131167482,2014,237
152934099,2012,236
311672143,2012,235
397751901,2014,234
474048926,2015,228
177809498,2014,226
434781964,2014,222
48519580,2014,219
489239303,2013,217
37425538,2013,215
81340734,2014,213
381972929,2018,208
142577203,2014,207
238819655,2016,205
381190250,2016,197
283948134,2014,192
326014693,2013,189
258085845,2013,182
48317816,2015,182
382255067,2013,180
15307942,2013,178
497564029,2015,171
112919025,2014,166
476634985,2013,163
116783275,2012,158
248284963,2014,150
99241401,2015,150
137559364,2013,144
52863685,2016,143
241199603,2014,143
298946395,2015,143
393927043,2015,141
403198893,2016,140
228546760,2013,139
175256115,2016,139
101919243,2014,134
60605672,2014,134
101704758,2015,132
119987431,2016,132
19162864,2013,131
413295024,2014,130
151521362,2015,128
468406134,2013,128
422033780,2014,123
27353775,2013,122
411942272,2013,122
301294624,2014,121
425243858,2013,121
22889096,2015,121
333493308,2013,121
277990943,2013,120
446044752,2015,120
228406088,2014,119
129447059,2014,119
191263893,2015,118
34194761,2015,118
293592130,2015,116
168347526,2013,116
27009559,2015,114
482369270,2013,113
277868042,2014,112
97483718,2015,112
104988966,2015,112
80653067,2014,111
133556165,2017,111
66174486,2016,108
397727187,2015,107
138107998,2016,106
487284896,2014,106
205632442,2013,102
46921365,2014,102
125989182,2013,101
382636286,2012,100
179920458,2013,100
235756870,2013,98
371913632,2014,96
304799109,2014,94
305063891,2014,93
462874143,2015,92
19076528,2014,92
231251406,2017,92
220303059,2014,91
1064547,2017,91
341845027,2014,90
337998667,2013,89
328208597,2015,89
471282106,2012,89
291629202,2013,87
367092016,2014,87
308637254,2013,85
410776053,2014,85
427470197,2018,84
108803667,2014,84
26270553,2013,83
483905773,2013,83
340093648,2015,83
442579869,2013,82
373398437,2013,81
203295367,2013,81
345603690,2013,81
153140761,2014,81
110008570,2014,81
274274360,2016,80
95726587,2014,79
449177262,2014,79
276741638,2012,78
213109398,2013,77
7515584,2015,76
239089979,2013,76
49757720,2012,76
10410073,2013,76
487041228,2016,76
309460883,2016,73
178992703,2017,73
237394517,2016,73
156185519,2015,72
313028000,2015,72
195168977,2018,72
253395493,2014,71
102341564,2015,70
94575646,2014,70
260464054,2014,67
90835388,2015,66
146010961,2014,66
199972749,2012,66
236111448,2014,66
175889851,2015,66
367140158,2013,65
146701664,2014,65
383995893,2018,65
328421673,2015,65
435782478,2014,64
25178737,2014,64
138919480,2015,63
266654036,2014,62
464446562,2015,62
393170856,2018,62
283648366,2016,62
193526314,2016,61
381294574,2014,61
25075463,2016,59
419094626,2013,59
286038076,2017,59
295941237,2013,59
258553331,2013,59
175220363,2017,58
69794856,2012,58
137836036,2016,58
15443223,2015,58
336240280,2016,57
470226472,2014,57
129906504,2014,57
255113638,2015,57
284906756,2015,57
85229155,2014,56
199470465,2012,56
12486406,2013,56
66815473,2013,56
424222364,2013,55
65175965,2015,55
327455455,2015,55
6858,2016,55
260161545,2014,54
315140094,2016,54
121384875,2014,53
112521094,2017,53
339663953,2016,53
351538073,2013,52
122391351,2013,52
34555440,2019,51
85742056,2014,51
335449008,2013,51
123884235,2017,51
201227547,2015,51
495872632,2015,50
358584424,2013,50
419894989,2013,49
181016598,2016,48
80791089,2012,48
55429548,2013,48
231074182,2015,48
328814092,2015,48
182000545,2019,48
324282488,2013,48
9127949,2013,47
231910285,2014,47
153805353,2013,46
211003255,2013,46
422382721,2013,46
440011260,2015,45
499052120,2013,45
461167778,2014,45
422618217,2013,45
32584047,2016,45
11947003,2013,45
433686686,2017,45
324363853,2014,44
56314206,2018,44
281421556,2015,44
231400932,2016,44
253982541,2013,43
35262368,2015,43
21602013,2018,43
184809389,2014,43
181242568,2016,43
42762276,2016,42
54635098,2017,42
487580882,2013,42
147484117,2013,42
102799194,2014,42
484921369,2015,42
174577280,2014,41
402768920,2013,41
476898424,2017,41
260520230,2017,41
160164394,2016,41
278560011,2016,41
120275284,2016,41
377655826,2013,41
225832836,2014,40
193318294,2015,40
241975972,2015,40
396140429,2013,40
224101486,2016,40
341960742,2013,39
304707510,2017,39
142029093,2017,39
112281392,2012,39
286824780,2015,39
42779270,2014,39
52425734,2016,39
327193837,2018,39
72777353,2014,39
346357129,2018,38
53975485,2013,38
456810662,2017,38
15353678,2013,38
265243758,2014,38
136609651,2018,37
372453076,2015,37
273206836,2015,37
145327901,2017,37
271495861,2016,37
306898860,2014,37
146021063,2014,37
493799128,2013,37
457272204,2012,37
85266292,2015,36
393277800,2017,36
13782685,2013,36
242721683,2013,36
297332661,2014,36
382105533,2016,36
40004759,2014,35
170455587,2017,35
17057568,2013,35
499525082,2016,35
201081457,2015,35
188190655,2014,35
36068371,2013,35
347297484,2012,35
194732463,2015,35
76706080,2017,35
321651474,2016,34
427449191,2014,34
188862077,2014,34
469332119,2013,34
404581337,2019,34
9131609,2013,34
113723066,2016,34
456931072,2013,34
381226507,2018,34
481973362,2017,34
347891834,2014,33
449189158,2015,33
483548764,2015,33
132858321,2013,33
303813792,2017,33
372122509,2015,33
398930776,2014,33
116738224,2014,33
104869791,2016,33
136610559,2016,33
460655054,2013,33
393418260,2019,33
483885028,2012,33
394137637,2013,32
335095919,2014,32
375456797,2016,32
113122210,2015,32
398335282,2015,32
470679870,2015,32
81345741,2016,32
263905896,2014,31
328955822,2014,31
405879542,2015,31
146895278,2016,31
71138235,2015,31
353567206,2015,31
26952545,2014,31
72284883,2015,31
209892018,2018,30
191517586,2016,30
372132497,2014,30
68619784,2013,30
460415170,2013,30
229834694,2012,30
228690753,2015,30
36984088,2013,29
274795990,2017,29
22417129,2014,29
438551093,2014,29
288062545,2014,29
162154387,2016,29
72432575,2017,29
103370489,2014,29
399059552,2014,29
428214628,2016,29
121198015,2013,28
182327425,2012,28
453442817,2016,28
160201888,2015,28
236261456,2013,28
45347599,2018,28
143419061,2016,28
180047327,2015,28
134695239,2015,28
213201961,2017,27
13512110,2015,27
1394803,2014,27
32988946,2016,27
370294683,2015,27
337015122,2012,27
397763976,2014,27
264158457,2014,27
41816153,2013,27
166787838,2018,27
213784656,2016,27
268961904,2016,27
118028898,2013,26
274186392,2016,26
147476867,2013,26
292846705,2016,26
120625143,2017,26
348935522,2012,26
187139061,2017,26
273954500,2016,26
438737653,2013,26
377498047,2016,26
98250871,2018,26
391946903,2014,26
294255493,2016,26
442449245,2016,26
329443777,2018,25
111449132,2013,25
88836950,2016,25
224576637,2017,25
454331091,2014,25
477927303,2014,25
22275047,2014,25
455173760,2017,25
196240422,2012,25
468453218,2015,25
201513250,2014,25
279825379,2019,25
316706053,2014,25
162632929,2013,25
87883976,2014,25
395150109,2015,24
226841923,2015,24
156287047,2016,24
359096132,2014,24
496111393,2013,24
66309037,2018,24
210295451,2013,24
423147753,2015,24
211938916,2013,24
240632909,2017,24
402764767,2017,24
124405272,2016,24
200815468,2014,24
181979460,2013,24
39866283,2014,23
408222541,2014,23
403860051,2016,23
438866595,2017,23
464636422,2017,23
91060241,2018,23
262307187,2017,23
220205647,2018,23
235156289,2018,23
138774784,2013,23
111673461,2013,23
364516385,2017,22
289191789,2013,22
466179248,2015,22
457789782,2016,22
53337664,2014,22
185431225,2017,22
277067962,2016,22
165320397,2013,22
51340861,2015,22
384726853,2012,22
246776129,2017,22
285954801,2014,22
320111061,2017,22
209987253,2016,22
232110520,2017,22
415047101,2012,22
113472528,2014,22
487246605,2017,21
470900048,2012,21
266324181,2014,21
374058544,2018,21
403879472,2017,21
271140410,2017,21
434535569,2017,21
180091956,2017,21
150071776,2015,21
40363895,2015,21
145489293,2017,21
498878850,2014,21
337466534,2017,21
164731752,2017,21
125440530,2013,21
450526586,2016,21
53828876,2016,20
358870446,2017,20
310724668,2018,20
125613265,2019,20
495855580,2015,20
319253192,2017,20
391023624,2019,20
271905576,2015,20
168782736,2014,20
216187157,2018,20
349606308,2016,20
188859699,2012,20
240023813,2017,20
456793549,2017,20
459838268,2013,20
126959178,2014,20
207973751,2017,20
458957073,2016,20
367277602,2013,20
345617625,2013,20
110362320,2014,19
221735323,2014,19
120372072,2016,19
136937849,2014,19
63227105,2017,19
26754145,2012,19
428503428,2014,19
29942936,2013,19
29181896,2015,19
146547650,2015,19
88550430,2013,19
480164610,2015,19
344176024,2017,19
141186306,2018,19
415323681,2015,19
470158401,2013,19
202282974,2016,19
294384923,2015,19
380526662,2014,18
80145024,2014,18
360406704,2017,18
168522765,2017,18
284063521,2017,18
12283753,2017,18
301347122,2014,18
100182551,2016,18
248675421,2013,18
406831713,2013,18
431622162,2016,18
289687068,2014,18
62960030,2017,18
132268537,2018,18
369231338,2016,18
395024053,2015,18
372441018,2016,18
251577294,2017,18
271961604,2018,18
368603681,2013,18
204586878,2015,18
340340354,2016,18
312279466,2015,18
101595310,2015,18
262748741,2014,18
314012839,2015,18
16709010,2017,17
457638769,2018,17
328843500,2015,17
18613409,2014,17
72764230,2016,17
403787007,2014,17
243857603,2016,17
360106006,2017,17
347819052,2018,17
463247955,2018,17
368147592,2013,17
457978785,2017,17
33431732,2016,17
233860087,2012,17
234004262,2016,17
295300969,2017,17
300529251,2012,17
278837106,2015,17
4699257,2016,17
481717434,2018,17
282284512,2016,17
239241357,2015,17
422094842,2013,17
305096640,2015,17
433198599,2017,16
462140297,2017,16
436150687,2015,16
18028976,2018,16
29904974,2014,16
429425822,2016,16
310705796,2018,16
454629586,2012,16
247921964,2016,16
