id,title,year,journal_name,conf_name
23590592,Exposure in wireless sensor networks,2001,,ACM/IEEE International Conference on Mobile Computing and Networking
229288872,Localized algorithms in wireless ad-hoc networks: location discovery and sensor exposure,2001,,Mobile Ad Hoc Networking and Computing
252528843,Using Geospatial Information in Sensor Networks,2001,Center for Embedded Network Sensing,
312500894,Dynamic fine-grained localization in Ad-Hoc networks of sensors,2001,,ACM/IEEE International Conference on Mobile Computing and Networking
339386592,Density Adaptive Algorithms for Beacon Placement in Wireless Sensor Networks,2001,,International Conference on Distributed Computing Systems
344180001,Coverage problems in wireless ad-hoc sensor networks,2001,,International Conference on Computer Communications
493440689,Using Geospatial Information in Sensor Networks,2001,,ACM/IEEE International Conference on Mobile Computing and Networking
15843361,Residual Energy Scans for Monitoring Wireless Sensor Networks,2002,,Wireless Communications and Networking Conference
29344127,"System-architectures for sensor networks issues, alternatives, and directions",2002,,International Conference on Computer Design
74143921,A directionality based location discovery scheme for wireless sensor networks,2002,,International Workshop on Wireless Sensor Networks and Applications
103699473,"A scalable, distributed algorithm for efficient task allocation",2002,,Adaptive Agents and Multi-Agents Systems
119039261,Coverage in wireless ad-hoc sensor networks,2002,,International Conference on Communications
136886481,Peer Reviewed Title: Residual Energy Scans for Monitoring Wireless Sensor Networks Author:,2002,,
138216268,Miniaturised modular wireless sensor networks,2002,,
142710301,Energy-efficient computing for wildlife tracking: design tradeoffs and early experiences with ZebraNet,2002,,Architectural Support for Programming Languages and Operating Systems
143247581,Exposure in wireless sensor networks: theory and practical solutions,2002,Wireless Networks,
154536158,Tracking and imaging humans on heterogeneous infrared sensor arrays for tactical applications,2002,,
208583726,Survey on Sensor Networks,2002,,
241620368,Research challenges in wireless networks: a technical overview,2002,,Wireless Personal Multimedia Communications
242439550,A Mobile-Agent Approach for Location Tracking in a Wireless Sensor Network,2002,,
278420423,Energy-Efficient Topology Control for Wireless Ad Hoc Sensor Networks,2002,,International Conference on Parallel and Distributed Systems
311610700,Application-layer multicasting with Delaunay triangulation overlays,2002,IEEE Journal on Selected Areas in Communications,
343411250,A statistical analysis of the long-run node spatial distribution in mobile ad hoc networks,2002,,Modeling Analysis and Simulation of Wireless and Mobile Systems
348025898,Estimating the Benefit of Location-Awareness for Mobile Data Management Mechanisms,2002,,International Conference on Pervasive Computing
365453755,Cell-based positioning method for wireless networks,2002,,International Conference on Parallel and Distributed Systems
