id,year,citation_cnt
344180001,2001,1550
312500894,2001,2378
142710301,2002,1666
20900504,2005,1256
75583273,2003,1155
269061500,2005,1032
46456102,2003,825
397675670,2005,818
58878373,2008,746
16085927,2004,713
155058320,2005,644
25177454,2003,640
381701682,2005,632
188250472,2006,599
110854418,2007,532
15092895,2004,516
382646283,2003,511
234166507,2006,509
414604696,2005,494
141744775,2005,472
185067492,2003,472
214380615,2006,468
485510498,2003,465
77794437,2004,464
251060128,2005,451
424069729,2005,438
35907311,2003,438
345760930,2005,436
354992588,2007,426
159300192,2004,411
235742461,2004,403
377459818,2005,396
333029833,2008,352
74143921,2002,350
104500431,2005,345
17484469,2013,337
280592245,2006,325
400000861,2011,316
434330001,2003,308
486584613,2007,289
168270639,2003,287
311212180,2005,285
131013346,2007,271
373218734,2002,269
44629956,2004,255
208583726,2002,252
460566272,2004,244
61909285,2003,242
424877343,2005,240
412251252,2007,236
175459783,2004,233
202995025,2007,231
212104576,2009,228
229288872,2001,215
380947345,2003,211
95405902,2008,211
251255042,2005,201
214614973,2006,199
138478812,2004,193
130626267,2003,192
122833247,2006,190
6432332,2004,189
42951615,2005,186
65174728,2003,182
120885873,2005,181
39621556,2004,181
311610700,2002,177
353325473,2004,174
68683820,2003,174
114892978,2011,172
31860424,2011,172
82954689,2007,166
483153650,2002,166
80860684,2008,165
288556496,2006,161
430659233,2004,160
392765085,2009,160
158932164,2008,158
435569227,2009,158
87452994,2012,156
143247581,2002,151
29352353,2005,149
125899349,2005,148
180793281,2006,147
337106868,2006,146
411427185,2004,144
374133487,2004,143
211184045,2010,141
15843361,2002,139
362779921,2005,138
154642117,2009,134
43022139,2006,132
406232688,2004,132
102446862,2005,132
452909235,2012,129
51335698,2005,128
292167778,2009,127
155547606,2003,127
322412208,2010,126
410340127,2004,125
348225919,2007,125
278086424,2003,124
131226105,2010,124
112671499,2009,121
165260793,2006,121
208968366,2013,119
454807563,2004,119
179272353,2007,118
492784533,2005,115
209922701,2003,114
461520909,2006,110
442954155,2007,110
12370578,2004,108
191349472,2013,107
207793929,2005,106
185668761,2011,105
106232211,2004,105
129552928,2004,104
291372534,2008,103
17124940,2009,101
197724313,2014,101
64305259,2008,101
216691474,2005,101
167509019,2011,100
88871917,2007,99
59591776,2009,98
252026975,2006,98
132329981,2010,97
130901523,2010,96
495472726,2005,95
493946939,2007,94
150302009,2011,94
126244324,2009,93
240562963,2011,93
70213451,2005,92
21673255,2004,92
427383107,2005,91
321048970,2010,91
323094508,2010,89
198559406,2005,89
11755432,2003,88
301954826,2007,85
150813229,2017,85
248696884,2006,85
157023160,2008,84
393429789,2005,84
39696771,2004,81
380373354,2005,81
26399126,2006,81
450352189,2013,80
258203044,2009,80
184090090,2005,79
9808253,2013,79
106923653,2006,78
139291864,2005,77
287931526,2005,77
485541235,2008,77
419748951,2006,77
56238246,2007,76
346067157,2011,75
315088373,2005,75
415641780,2005,75
320009657,2009,75
224426246,2007,75
366330701,2010,74
96819335,2009,74
277678534,2005,72
102187935,2011,72
113776779,2010,72
397410589,2005,71
343411250,2002,70
271250940,2007,70
7790696,2004,69
439381611,2002,69
385063692,2007,69
284623193,2010,69
159230821,2008,69
171944446,2011,68
269646144,2008,68
120472764,2007,67
404599569,2008,67
408152775,2002,67
162931414,2012,66
145883819,2010,66
333083844,2004,66
374472559,2010,64
184551769,2003,64
30492658,2009,63
33616330,2007,63
17595689,2005,63
430055096,2006,63
158675305,2007,63
418047137,2012,62
493353922,2007,62
69297042,2004,62
297063178,2003,61
273911208,2006,61
212209645,2007,61
31256547,2008,60
67290169,2007,60
121709299,2006,59
291002874,2013,59
427091009,2008,59
258784977,2006,58
392202837,2007,58
342890164,2010,58
29344127,2002,57
148756612,2004,56
94806969,2012,55
273600668,2003,55
147470247,2006,55
8561210,2006,54
230630526,2011,54
61234190,2012,54
394978928,2003,54
359461502,2006,54
138550952,2003,53
162922829,2008,52
19600910,2015,52
234840645,2014,52
297064866,2012,52
157404597,2014,51
270161717,2012,51
444344294,2003,51
246896505,2005,50
344874138,2006,50
420849071,2004,50
152857318,2004,50
130127468,2008,50
75261935,2003,50
70230621,2007,49
418607,2015,49
263482728,2012,49
458753376,2013,49
452721921,2009,49
