id,year,citation_cnt
372720438,2013,8217
36138031,2015,10206
415925288,2013,8688
419975680,2014,8038
427786968,2014,4866
381590608,2014,2546
434239941,2016,2515
272585564,2014,2294
151001799,2015,2195
369112880,2015,2152
123098093,2014,1988
54443629,2015,1940
196798873,2013,1938
385068751,2014,1877
59420930,2013,1550
247796706,2017,1307
4266729,2015,1246
313503281,2016,1128
346921259,2013,1012
155086680,2016,917
452812965,2017,852
488458520,2014,750
210538315,2015,716
410146948,2014,709
3270351,2015,706
353339045,2014,703
17867946,2016,697
458653373,2014,680
16878307,2013,666
296626728,2016,659
257557180,2014,638
440297916,2017,625
114670531,2016,586
4100622,2015,571
66417802,2014,569
219704643,2016,568
1153623,2016,554
232506356,2015,493
426367842,2015,485
212807482,2015,475
199586196,2017,460
170954652,2014,451
79671442,2014,442
241703839,2015,438
389053715,2014,435
87866805,2015,424
343491836,2017,423
238955681,2014,421
445371526,2016,411
234683586,2016,410
455063752,2014,378
263070963,2014,374
27151880,2016,366
118663624,2015,363
3172689,2013,363
35459386,2013,347
46200918,2014,342
223513156,2017,341
197685100,2014,331
99773345,2017,320
161868730,2014,320
236420954,2017,320
150242545,2014,317
89183411,2014,308
67129519,2016,299
414897056,2014,296
404280433,2015,294
484402437,2015,291
339062114,2015,288
135850256,2016,286
389127866,2016,272
231927119,2015,268
246620467,2017,268
350721616,2015,267
108872127,2015,260
277578112,2014,256
164748663,2015,254
437168505,2017,248
225855614,2017,248
23252501,2015,245
460366262,2019,243
19719236,2017,232
108599269,2015,225
343012862,2014,222
477763293,2017,221
9997996,2014,217
472179989,2016,217
329222435,2018,216
242095611,2017,215
494146732,2018,212
89731484,2014,206
187040852,2017,205
288583335,2015,204
397289847,2017,199
18964655,2013,198
301251618,2016,196
102197089,2014,195
347058718,2017,194
318691798,2014,194
321494099,2017,193
116908898,2016,191
266089641,2017,191
215939032,2016,189
494050020,2014,185
111985839,2017,182
433090355,2018,180
433877995,2017,180
439835277,2016,179
223979360,2014,170
311124546,2018,168
284662587,2018,168
236411883,2015,167
166930082,2018,166
182423269,2017,165
18116067,2013,163
135137476,2018,161
30795690,2015,159
314837476,2015,157
169875795,2015,157
220229471,2016,156
238460464,2016,156
2550894,2018,156
300140934,2018,155
214352060,2017,155
140512053,2016,150
85589673,2016,150
308912599,2015,150
119946144,2016,149
61232012,2015,148
392100852,2015,145
433596860,2018,141
410273063,2014,141
212489839,2015,141
5223165,2014,141
435163112,2018,140
345598811,2015,139
147560524,2015,139
59284219,2015,138
422621090,2017,138
261223262,2014,136
444682928,2015,135
198551922,2015,135
178319092,2015,135
166864523,2017,134
219160791,2014,131
158938447,2015,131
391852520,2016,130
428032428,2016,130
253755950,2015,126
126974177,2016,126
192137852,2013,125
157630867,2016,124
139242804,2015,123
167337911,2014,122
236842154,2018,121
409604020,2015,121
238483962,2016,120
407139615,2016,120
459707506,2014,119
407737515,2016,119
97057191,2014,118
212374335,2016,118
425410697,2016,116
154394406,2016,116
135203533,2014,116
173113013,2016,116
426438540,2015,115
89465585,2017,115
46859833,2016,115
238260963,2014,115
296401972,2015,114
413124236,2016,114
409352305,2016,113
464998047,2017,113
308758574,2014,112
416531856,2016,112
287576709,2015,111
36643597,2015,111
69151489,2014,110
15428483,2015,109
190220660,2015,109
252787515,2019,109
199720819,2016,109
475929575,2016,109
153917515,2015,108
267887899,2015,108
43482162,2015,107
87219984,2014,107
357991103,2016,106
244702869,2018,106
384846706,2016,106
18436135,2016,105
271345470,2014,105
70606379,2018,105
149869103,2014,103
9816513,2016,101
234850455,2015,101
395830571,2015,100
357363485,2014,100
121497185,2017,100
100660545,2017,100
74329160,2017,100
293094825,2018,100
407376216,2018,99
378556092,2016,99
167670483,2017,99
236569880,2018,98
125041733,2015,98
176253556,2014,98
66275059,2015,97
243773027,2014,97
176357301,2016,96
403012838,2016,95
469818050,2015,95
157923726,2017,94
292996258,2015,94
427918147,2015,92
327139113,2015,92
198518568,2015,91
256157800,2015,90
324021536,2015,89
6052279,2019,87
421172954,2017,87
211476187,2017,86
370882672,2016,86
407245979,2016,85
321564076,2017,85
226122841,2018,85
48389018,2014,85
327445829,2016,85
284810102,2015,85
256923838,2014,84
334628020,2017,84
272244097,2016,84
426396411,2014,84
450423605,2015,84
453177808,2015,84
358130714,2017,83
402125271,2016,82
484673140,2014,82
65844885,2016,82
37146796,2016,81
493885805,2014,81
418029318,2016,81
71573897,2016,80
122422012,2017,80
313010238,2014,80
176479901,2016,79
130463484,2016,78
26643784,2015,78
478878308,2017,78
400951640,2019,77
61118897,2017,77
459368538,2015,77
164506161,2018,76
166852122,2017,76
308639493,2016,76
307417885,2016,75
74969624,2014,75
189613985,2015,75
42500736,2016,74
90316488,2017,74
91758891,2016,73
5689383,2015,73
548416,2014,73
225330708,2016,72
143821245,2018,72
24606140,2016,72
102264861,2015,72
136728504,2016,72
496284869,2015,72
56677416,2019,71
388843636,2015,71
494120450,2016,71
143038101,2015,71
263263353,2018,71
230008522,2015,70
460050873,2016,70
167045294,2016,70
154360609,2017,70
133968586,2018,70
65846270,2016,68
339464560,2016,68
336824560,2015,68
14832722,2017,68
295679165,2017,68
248331166,2014,68
201849841,2017,67
429605532,2015,67
366265126,2017,67
496921281,2016,67
248400837,2015,67
49263936,2015,67
171100734,2016,67
10501149,2017,66
35121505,2017,66
160256534,2017,66
9932803,2015,66
370266382,2019,66
425552750,2015,66
145076859,2015,65
172744865,2017,65
478366799,2016,65
341581207,2014,65
471625040,2015,64
156087758,2016,64
457150486,2016,64
86390122,2018,64
453761017,2016,64
426748669,2016,64
459678937,2016,64
399478863,2016,64
14759073,2014,63
168032707,2015,63
139431508,2014,63
478832947,2017,62
134294802,2019,61
277790127,2015,61
57695632,2014,61
152846898,2017,61
193531222,2016,60
101500822,2018,60
442898512,2015,60
456272601,2018,59
234494489,2017,59
20836032,2017,59
