id,title,year,journal_name,conf_name
193775910,Multicast Routing Algorithms,1998,Systems and Computers in Japan,
247675115,Quality of service support in mobile ad-hoc IP networks,1999,,Military Communications Conference
274743286,Clustering by Power Control in Ad Hoc Networks,1999,,International Conference on Computer Communications
488604955,What is the traffic hauling capacity of wireless networks,1999,,Conference on Decision and Control
50319112,Transmission power control for multiple access wireless packet networks,2000,,Local Computer Networks
144227249,Hierarchical routing for multi-layer ad-hoc wireless networks with UAVs,2000,,Military Communications Conference
406282725,UAV aided intelligent routing for ad-hoc wireless network in single-area theater,2000,,Wireless Communications and Networking Conference
403174016,The traffic carrying capacity of wireless networks,2000,,International Symposium on Information Theory
401597401,To code or not to code,2000,,International Symposium on Information Theory
168015745,Ad hoc network capacity,2000,,"Asilomar Conference on Signals, Systems and Computers"
496708805,Internets in the sky: capacity of 3D wireless networks,2000,,Conference on Decision and Control
200041692,Algorithms for Position and Data Recovery in Wireless Sensor Networks,2000,,
121424943,Some Capacity Results for Ad Hoc Networks,2000,,
253131032,Power controlled multiple access in ad hoc networks,2000,,
28091015,Closing the gap in the capacity of random wireless networks 1,2000,IEEE Transactions on Information Theory,
438420345,The capacity of wireless networks,2000,IEEE Transactions on Information Theory,
269871916,Performance comparison of cellular and multi-hop wireless networks: a quantitative study,2001,,Measurement and Modeling of Computer Systems
317741426,Impact of transmit range on throughput performance in mobile ad hoc networks,2001,,International Conference on Communications
135791902,A capacity and utilization study of mobile ad hoc networks,2001,,Local Computer Networks
286496921,A study of the energy saving and capacity improvement potential of power control in multi-hop wireless networks,2001,,Local Computer Networks
147777612,Landmark routing in large wireless battlefield networks using UAVs,2001,,Military Communications Conference
438581181,Making ad hoc networks density adaptive,2001,,Military Communications Conference
308550688,Receiver controlled medium access in multihop ad hoc networks with multipacket reception,2001,,Military Communications Conference
129416807,Capacity of Ad Hoc wireless networks,2001,,ACM/IEEE International Conference on Mobile Computing and Networking
218360683,Connectivity of random graphs and mobile networks: validation of Monte Carlo simulation results,2001,,ACM Symposium on Applied Computing
100455327,A power controlled multiple access protocol for wireless packet networks,2001,,International Conference on Computer Communications
88847646,Mobility increases the capacity of ad-hoc wireless networks,2001,,International Conference on Computer Communications
101168070,Convex position estimation in wireless sensor networks,2001,,International Conference on Computer Communications
323665703,On the performance of ad hoc networks with beamforming antennas,2001,,Mobile Ad Hoc Networking and Computing
463771828,SEEDEX: a MAC protocol for ad hoc networks,2001,,Mobile Ad Hoc Networking and Computing
197485729,Throughput of ideally routed wireless ad hoc networks,2001,,Mobile Ad Hoc Networking and Computing
402474914,Towards an information theory of large networks: an achievable rate region,2001,,International Symposium on Information Theory
416177266,Improving Fairness and Throughput in Multi-Hop Wireless Networks,2001,,International Conference on Networking
172518237,Improving Goodput by Relaying in Transmission-Power-Limited Wireless Systems.,2001,,
205734042,Transmission Power Control for Enhancing the Performance of Wireless Packet Data Networks,2001,,
489179286,Nuglets: a Virtual Currency to Stimulate Cooperation in Self-Organized Mobile Ad Hoc Networks,2001,,
171741175,The Effect of the Transmission Range on the Capacity of Ideal Ad Hoc Networks,2001,,
423575525,New technological vistas for systems and control: the example of wireless networks,2001,IEEE Control Systems Magazine,
30941811,Throughput of ideally routed wireless ad hoc networks,2001,Mobile Computing and Communications Review,
183266949,ANALYSING CAPACITY IMPROVEMENTS IN WIRELESS NETWORKS BY RELAYING,2001,,
380870849,On a coverage process ranging from the Boolean model to the Poisson–Voronoi tessellation with applications to wireless communications,2001,Advances in Applied Probability,
362585993,Toward self-organized mobile ad hoc networks: the terminodes project,2001,IEEE Communications Magazine,
262911739,Geographical routing using partial information for wireless ad hoc networks,2001,IEEE Personal Communications,
197309814,On-demand routing in multi-hop wireless mobile ad hoc networks,2001,,
104600488,The Example of Wireless Networks,2001,,
297810050,L'UNIVERSITE BORDEAUX I,2001,,
448187286,On the Symmetric Range Assignment Problem in Wireless Ad Hoc Networks,2002,,IFIP International Conference on Theoretical Computer Science
85449431,New results in network information theory: scaling laws for wireless communication and optimal strategies for information transport,2002,,Information Theory Workshop
455369208,Energy efficient system design with optimum transmission range for wireless ad hoc networks,2002,,International Conference on Communications
113339479,Capacity regions for wireless ad hoc networks,2002,,International Conference on Communications
194001647,An ad hoc network with mobile backbones,2002,,International Conference on Communications
32282601,Energy efficiency of many-to-one communications in wireless networks,2002,,Midwest Symposium on Circuits and Systems
63031731,"Joint Scheduling, Power Control and Routing in Symmetric, One-dimensional, Multi-hop Wireless Networks",2002,,"Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks"
338409501,A first step toward distributed scheduling policies in cellular ad hoc networks,2002,,Mobile and Wireless Communication Networks
67336113,Models and Techniques for Communication in Dynamic Networks,2002,,Symposium on Theoretical Aspects of Computer Science
219148978,Using optimum transmission range to design energy efficient systems for the neuRFon/spl trade/ Netform,2002,,International Conference on Conceptual Structures
153066918,Energy efficient routing and scheduling in wireless networks,2002,,IEEE International Conference on Personal Wireless Communications
127154975,Capacity evaluation of multi-channel multi-hop ad hoc networks,2002,,IEEE International Conference on Personal Wireless Communications
340125396,Random scheduling medium access for wireless ad hoc networks,2002,,Military Communications Conference
248424379,Providing real-time security support for multi-level ad-hoc networks,2002,,Military Communications Conference
474091722,A heterogeneous routing protocol based on a new stable clustering scheme,2002,,Military Communications Conference
374349784,Capacity compatible two-level link state routing for mobile ad hoc networks,2002,,Military Communications Conference
258581851,MobileGrid: capacity-aware topology control in mobile ad hoc networks,2002,,International Conference on Computer Communications and Networks
307918261,"Energy, congestion and dilation in radio networks",2002,,ACM Symposium on Parallel Algorithms and Architectures
250481933,Minimizing the Routing Delay in Ad Hoc Networks through Route-Cache TTL Optimization,2002,,International IFIP-TC Networking Conference
477942248,Location management handoff overhead in hierarchically organized mobile ad hoc networks,2002,,International Parallel and Distributed Processing Symposium
427491430,An adaptive compulsory protocol for basic communication in highly changing ad-hoc mobile networks,2002,,International Parallel and Distributed Processing Symposium
343411250,A statistical analysis of the long-run node spatial distribution in mobile ad hoc networks,2002,,Modeling Analysis and Simulation of Wireless and Mobile Systems
173796011,On the interdependence of routing and data compression in multi-hop sensor networks,2002,,ACM/IEEE International Conference on Mobile Computing and Networking
227602713,Using directional antennas for medium access control in ad hoc networks,2002,,ACM/IEEE International Conference on Mobile Computing and Networking
1686056,Investigating upper bounds on network lifetime extension for cell-based energy conservation techniques in stationary ad hoc networks,2002,,ACM/IEEE International Conference on Mobile Computing and Networking
448550498,On the capacity of wireless networks: the relay case,2002,,International Conference on Computer Communications
233625305,Joint scheduling and power control for wireless ad-hoc networks,2002,,International Conference on Computer Communications
428391654,Energy efficiency and throughput for TCP traffic in multi-hop wireless networks,2002,,International Conference on Computer Communications
320253312,Spatial averages of downlink coverage characteristics in CDMA networks,2002,,International Conference on Computer Communications
233158722,On the scalability of ad hoc routing protocols,2002,,International Conference on Computer Communications
481910416,Clustering overhead for hierarchical routing in mobile ad hoc networks,2002,,International Conference on Computer Communications
49098300,Connectivity in ad-hoc and hybrid networks,2002,,International Conference on Computer Communications
364674055,Gossip-based ad hoc routing,2002,,International Conference on Computer Communications
407514639,On using the ad-hoc network model in cellular packet data networks,2002,,Mobile Ad Hoc Networking and Computing
93925007,Constrained random walks on random graphs: routing algorithms for large scale wireless sensor networks,2002,,International Workshop on Wireless Sensor Networks and Applications
148587214,On the capacity of wireless relaying,2002,,Vehicular Technology Conference
