id,year,citation_cnt
438420345,2000,7653
214495372,2005,9721
451334161,2005,3494
43096902,2002,2573
144024010,2003,2528
457196006,2005,2425
72503349,2003,2229
102133434,2004,2176
261701538,2006,1874
245201750,2009,1870
230495602,2004,1793
447587648,2003,1583
202491719,2012,1562
129416807,2001,1527
38310872,2005,1453
101168070,2001,1442
435638631,2011,1419
260974088,2003,1405
81768926,2009,1279
205348442,2006,1220
75371084,2003,1158
352400749,2004,1138
259406880,2005,1108
283314527,2005,1073
154662473,2010,1032
289518521,2003,994
119426160,2008,985
48292288,2009,948
455592125,2006,926
433467296,2003,915
298149517,2002,874
364674055,2002,798
129601292,2005,791
7869985,2004,761
309232243,2004,725
243654005,2005,717
313673194,2006,711
88847646,2001,700
247065786,2002,673
379936016,2012,670
416851981,2005,663
140086051,2006,641
227602713,2002,623
299963065,2007,622
196209120,2003,621
464752589,2011,619
120016226,2007,612
228226755,2005,608
155287590,2009,604
100455327,2001,602
363570244,2006,595
241782693,2003,582
323665703,2001,577
290401703,2003,576
381765937,2009,575
340608903,2003,573
248931529,2009,558
301339169,2004,546
153532562,2003,543
32413313,2004,537
231836812,2004,535
194567663,2010,531
251763217,2005,520
189406813,2003,518
237200679,2005,512
382646283,2003,511
303731916,2004,509
263400691,2003,491
49098300,2002,485
128071378,2003,485
355975549,2005,483
425045673,2005,479
277456901,2005,473
289830127,2003,468
448550498,2002,465
411430422,2006,461
35907311,2003,438
321695377,2006,437
201478561,2005,434
94887747,2008,433
402474914,2001,432
213523858,2006,422
174738619,2005,410
312984476,2002,395
378262073,2003,394
354344009,2009,389
486438774,2003,384
408141191,2003,383
425762706,2004,380
301456644,2010,379
489501080,2002,373
233625305,2002,369
79813529,2004,363
262911739,2001,363
396239418,2005,356
407895674,2010,354
441905392,2009,353
375018204,2005,353
351335658,2007,346
383255273,2006,344
146028723,2005,340
489082675,2006,338
274338192,2007,336
309301716,2008,334
75399948,2010,333
84030609,2005,332
489179286,2001,330
394538800,2005,330
18565512,2003,330
451667336,2016,328
143803096,2003,325
78293994,2006,319
151658605,2002,319
58794179,2002,318
66299919,2006,316
389719261,2007,313
67578009,2006,311
266369011,2005,305
417905530,2007,305
306803387,2006,299
20666798,2007,297
327475296,2006,297
490363931,2016,296
167496844,2006,289
91265901,2008,288
205624874,2005,287
174983227,2007,287
60467732,2006,287
192986151,2006,286
324934975,2004,286
194228068,2002,286
299263789,2003,285
306529673,2007,285
340122418,2007,285
311212180,2005,285
32688480,2006,284
450906274,2014,281
154571592,2006,281
232221067,2004,280
208582427,2005,280
304235519,2003,279
378866784,2007,279
362585993,2001,277
364057397,2005,276
38060019,2011,273
447686849,2008,272
28161722,2007,272
124735940,2004,270
238108501,2010,269
207981850,2009,268
305446444,2005,266
188109390,2007,266
20798186,2009,264
223870872,2005,263
448291822,2004,261
315118077,2007,259
104909208,2006,257
1686056,2002,256
178511799,2006,256
404060143,2007,254
264550899,2006,248
372644,2003,248
441479848,2013,248
111250091,2004,247
395205822,2007,247
135416346,2006,245
401225179,2004,242
39488016,2009,241
41048099,2014,240
284003608,2004,240
300435248,2009,239
62909231,2006,238
73302775,2014,238
245731670,2003,237
36636589,2003,236
131290412,2006,234
242722419,2003,233
127777621,2004,232
471475556,2005,231
63252667,2005,228
176537202,2006,228
181030929,2005,228
93925007,2002,227
460278349,2005,224
233944004,2003,224
50609858,2006,223
438846480,2007,223
334814429,2007,223
426576654,2004,221
242167813,2005,220
222666191,2013,220
434987226,2006,220
113115162,2009,219
352867481,2007,219
476022206,2006,219
393581898,2007,218
454002632,2006,217
173796011,2002,216
136910504,2009,216
325550834,2006,216
214544606,2003,213
371570733,2009,212
353789027,2007,211
322945273,2009,210
22173311,2010,209
107144610,2006,207
195926056,2006,206
292065862,2008,204
194001647,2002,204
338506518,2005,201
157132176,2004,201
207422356,2007,201
476422266,2008,200
440546139,2006,198
9715123,2004,198
12337058,2009,197
170278019,2004,197
55900236,2006,197
172240020,2009,194
226139279,2003,192
372177071,2005,191
265411084,2005,190
495675411,2011,189
320918919,2004,187
154958645,2004,185
278418472,2010,184
262087950,2004,184
25103398,2009,184
122234886,2010,182
4467545,2005,182
90808424,2011,181
17509474,2004,177
241825017,2008,175
494426147,2004,175
7203693,2004,175
144595874,2006,174
183007278,2006,174
119882005,2004,174
261544344,2007,174
46813649,2006,174
224480798,2004,174
145182362,2006,173
458388363,2009,172
84665966,2007,172
404871401,2002,170
438537252,2014,170
233193329,2005,170
42852315,2006,170
251457547,2015,170
428069893,2007,169
382082295,2006,168
301269409,2005,168
416050288,2005,166
371185478,2007,166
249689473,2004,165
388991096,2007,165
148219210,2008,163
109012827,2007,162
294680774,2007,161
256489648,2005,160
463771828,2001,159
303121612,2010,159
242344971,2006,159
247805481,2006,159
497915323,2008,158
364094339,2005,158
161121299,2004,158
187012948,2008,156
244666591,2011,155
346343396,2003,155
330109665,2011,154
291437294,2005,153
316929516,2006,152
456804134,2013,152
411821004,2006,152
197839815,2011,152
177305448,2007,152
24676048,2008,151
19340935,2007,150
334137376,2004,149
478845268,2011,149
29352353,2005,149
406438803,2011,148
162966186,2006,147
81366544,2012,147
403583084,2009,145
103796234,2006,145
305978281,2003,145
227862100,2003,145
474091722,2002,144
273450600,2007,144
279380776,2007,144
291252413,2015,144
366108430,2011,143
454129565,2008,142
347654700,2005,142
233158722,2002,139
301778816,2005,137
315998616,2005,136
141912869,2006,135
493500998,2006,134
206959156,2005,134
195330371,2004,134
70671754,2003,134
117729137,2010,134
29780275,2005,134
450686363,2006,134
281664227,2011,133
380846124,2009,133
64519455,2007,131
89876035,2007,131
356069394,2011,130
8201529,2003,130
469667133,2007,129
415952830,2003,129
259514637,2007,128
217199939,2009,128
147414160,2011,127
29600031,2007,126
208543727,2010,126
181325264,2002,125
330566141,2007,125
62711372,2003,125
352070271,2004,124
410542785,2004,124
278086424,2003,124
412463005,2006,123
367481808,2007,122
4339088,2004,121
455369208,2002,121
382648710,2003,121
397126310,2009,120
333313187,2005,120
53183752,2014,120
161079743,2009,119
112763727,2006,119
441878374,2008,119
102364819,2006,119
227056329,2010,119
125086013,2004,118
139086470,2007,118
198441832,2004,118
477136266,2010,116
57229279,2007,116
380870849,2001,116
358869097,2008,116
328854211,2007,116
282931059,2005,115
283826629,2008,115
126019413,2009,115
205102435,2008,115
181150000,2010,115
148587214,2002,115
101743939,2008,114
229744832,2004,113
480329216,2005,113
495327915,2009,113
57058131,2013,112
352523743,2013,112
319829692,2005,112
207761814,2006,112
232908499,2007,112
230249500,2017,112
401597401,2000,111
69829995,2005,111
218624269,2003,110
333087408,2008,110
432148935,2007,109
343862643,2010,109
109778733,2009,108
478808705,2004,108
96147461,2013,108
355272800,2008,108
176756224,2007,108
203697838,2008,108
74942784,2007,108
354985409,2006,108
65229234,2002,108
39316694,2006,108
351823799,2009,108
397497329,2004,107
482969218,2006,107
204688297,2007,107
93762683,2005,107
478383418,2004,107
30137559,2004,107
448187286,2002,107
293517796,2004,106
463270328,2005,106
311362800,2009,105
49306581,2008,105
73043359,2006,105
24009265,2006,105
269871916,2001,105
204409288,2006,104
71403309,2003,104
264404736,2008,104
309146146,2007,104
330481994,2007,104
334167603,2003,104
459334371,2007,103
38599946,2007,103
135749579,2006,103
267737253,2012,103
418646185,2006,102
157294321,2010,102
275768999,2009,102
170577239,2008,102
62973467,2008,102
426651595,2006,102
65737807,2004,101
196909024,2010,101
52121472,2003,101
43132829,2009,101
387155182,2014,100
470923732,2011,100
273720449,2010,100
314181211,2008,100
253955628,2009,100
125446997,2004,100
96629247,2004,100
256025106,2005,99
420170579,2006,99
160193517,2008,99
143902646,2005,99
192489318,2005,99
241994897,2014,99
82568038,2003,99
288720659,2008,98
31385763,2010,98
216199250,2006,98
250914002,2003,98
19718732,2003,97
408891383,2012,97
159940135,2003,97
72046199,2005,96
81880629,2009,96
163955198,2006,96
495472726,2005,95
62991601,2007,95
71786501,2010,95
409851631,2009,95
19426083,2002,95
426775018,2008,95
72085272,2011,94
189078519,2009,94
361049508,2005,94
449469597,2007,94
297259534,2009,94
37733370,2005,93
70213451,2005,92
232072602,2008,92
436183560,2008,92
160815842,2015,92
142999274,2008,92
181235969,2006,92
416048456,2010,91
382959912,2004,91
389584347,2009,91
171474198,2004,91
416884470,2004,91
275974029,2011,91
386738594,2011,91
82447772,2007,90
86629547,2007,90
385476935,2006,90
279225414,2014,90
363061349,2006,90
3329571,2006,89
406613751,2006,89
100379158,2012,89
274789481,2006,89
78640864,2004,89
473317038,2008,88
391395842,2006,88
300789918,2008,88
119299970,2012,88
128553442,2011,88
453553878,2004,88
472286481,2003,87
3192132,2012,87
441538985,2006,87
79866985,2005,87
61020675,2009,87
343641763,2011,86
289737083,2012,86
219380246,2005,86
304215856,2009,86
378079873,2011,86
268581018,2009,86
59813183,2015,85
224395700,2010,85
292700982,2009,85
408798507,2005,85
354684397,2007,85
486523057,2007,84
176140676,2003,84
272107912,2005,84
193452854,2011,84
193097615,2012,84
306360772,2002,84
334028499,2007,84
467822112,2002,84
483219192,2007,83
473943535,2011,83
366365570,2006,83
476355202,2004,83
439235055,2012,83
70118827,2008,83
362590547,2011,83
209469941,2004,83
481910416,2002,83
403801902,2012,82
349073625,2004,82
387438978,2008,82
126886338,2004,82
314753981,2006,81
222828191,2009,81
159846695,2011,81
55286906,2006,81
496017306,2006,80
495830688,2011,80
70119124,2010,80
307918261,2002,80
119659262,2006,80
464277702,2003,80
443596856,2014,79
320086068,2007,79
226390609,2006,79
329917115,2010,78
27520640,2003,78
229263018,2007,78
423575525,2001,77
213158268,2007,77
282286205,2011,77
463577309,2006,77
34130703,2007,77
214955445,2010,77
375020104,2003,77
375443441,2006,77
37452878,2006,76
307323735,2004,76
459499722,2008,76
167245208,2007,76
292107148,2009,76
129779841,2004,75
480227529,2014,75
261496257,2008,75
73397815,2010,75
21198791,2005,75
385844628,2011,75
451819416,2006,75
336894276,2011,75
415641780,2005,75
406282725,2000,74
241527848,2007,74
416822818,2010,74
119647191,2003,74
370407914,2005,74
149258323,2008,74
373024130,2009,74
385193370,2011,74
40056638,2011,73
315154962,2005,73
46874273,2007,73
79907476,2011,73
23040853,2002,73
352066685,2008,72
371699309,2003,72
183910211,2007,72
499259561,2007,72
161060551,2011,72
495784198,2003,72
154699220,2005,72
2618143,2011,72
226895163,2010,72
445487545,2006,72
8101124,2008,72
299357101,2006,72
373588721,2008,71
496422041,2003,71
163224045,2009,71
30542807,2006,71
203147145,2013,71
155264524,2006,70
314065137,2004,70
452524883,2016,70
439720363,2004,70
131462391,2010,70
270891681,2007,70
343411250,2002,70
70989252,2009,70
142107365,2007,70
110754840,2015,70
489372506,2004,69
139936727,2004,69
359795522,2007,69
31980697,2004,69
189172252,2009,69
242083236,2011,69
424417488,2005,68
419645525,2003,68
103601174,2012,68
28192307,2004,68
289541990,2005,67
439561984,2009,67
223975437,2004,67
179218944,2006,67
164740413,2011,67
48234170,2011,67
317880764,2007,67
226180920,2009,67
189744140,2005,67
244598746,2007,66
441418116,2004,66
405899379,2006,66
257330207,2010,66
383710321,2014,66
146365954,2004,66
17588499,2004,66
72972175,2010,66
497970964,2006,66
444389166,2003,66
87825852,2009,65
328369373,2008,65
332686903,2006,65
153849457,2009,65
494180427,2016,65
53750422,2006,65
120549689,2006,65
12793632,2006,65
28702695,2010,65
30761666,2004,65
309904649,2013,65
332475466,2013,64
247460174,2004,64
365029857,2003,64
234119474,2008,64
95734356,2012,63
283628712,2007,63
367060405,2004,63
288952837,2002,63
263442675,2005,63
117663138,2006,63
407514639,2002,62
18681674,2007,62
277980596,2013,62
52205180,2010,62
413630512,2008,62
99911466,2006,62
478880629,2004,62
402131612,2010,62
121328807,2007,61
134414735,2005,61
345697953,2004,61
493277118,2010,61
389989498,2010,61
364137447,2007,61
22057936,2011,61
74561343,2005,61
469519044,2007,61
307388917,2014,61
176802539,2007,61
314615079,2008,61
21930178,2014,60
110580864,2007,60
87571591,2008,60
289376301,2006,60
241072971,2005,60
266296394,2008,60
448768736,2007,60
474066248,2007,59
226100732,2009,59
403602166,2008,59
348113458,2009,59
317607399,2007,59
249320826,2010,59
384333198,2011,59
137280914,2007,59
119452937,2009,59
334485535,2008,58
422945351,2005,58
497697137,2005,58
159191256,2004,58
339819369,2009,58
399370105,2009,58
101480627,2009,58
334697223,2007,58
163356352,2007,58
184178484,2008,58
211404906,2008,58
371673296,2011,58
211808524,2015,57
241775298,2010,57
360635905,2003,57
346300611,2012,57
226027862,2009,57
440388807,2012,57
111529328,2008,57
136788293,2015,57
471050956,2013,57
457318335,2004,57
235452681,2008,57
453896115,2005,57
274906273,2008,56
481441862,2002,56
381270685,2007,56
49156191,2009,56
2848606,2006,56
146009390,2006,56
174021219,2009,56
458120494,2009,56
321998994,2006,56
373970872,2009,56
407045479,2004,55
421901376,2010,55
273600668,2003,55
383698376,2010,55
206496698,2011,55
217990576,2016,55
348701089,2007,55
132862365,2012,55
346141103,2009,55
167400935,2004,55
386225555,2012,55
73694671,2008,54
235269755,2010,54
414881903,2010,54
486077573,2004,54
444403790,2007,54
84569334,2010,54
122722819,2006,54
365028402,2008,54
134139824,2007,54
133595745,2009,54
482224335,2009,54
411369291,2006,54
367850950,2012,54
214704169,2007,54
152498718,2012,54
495791488,2005,53
149867157,2012,53
477117008,2007,53
217479270,2009,53
316266812,2011,53
448211232,2006,53
327934574,2004,53
36722086,2006,53
448045137,2012,53
31029742,2011,53
68622861,2008,53
335330379,2009,53
63031731,2002,53
300012873,2008,53
410076637,2006,53
67336113,2002,52
476031192,2009,52
430373458,2009,52
237402855,2004,52
392419540,2004,52
68059976,2011,52
258581851,2002,52
362200832,2009,52
486437565,2008,52
155217493,2006,52
44483953,2010,51
148633087,2011,51
401750054,2012,51
316630739,2005,51
