id,title,year,journal_name,conf_name
433333920,Comparison of Deep Neural Networks and Deep Hierarchical Models for Spatio-Temporal Data,2019,Journal of Agricultural Biological and Environmental Statistics,
367310054,Meta features-based scale invariant OCR decision making using LSTM-RNN,2018,Computational and Mathematical Organization Theory,
202388253,Analyzing and distinguishing fake and real news to mitigate the problem of disinformation,2020,Computational and Mathematical Organization Theory,
126262125,Diktoriaus identifikavimo tikslumo tyrimas naudojant neuroninius tinklus / Accuracy research using neural networks for speaker idenfitification,2018,Mokslas - Lietuvos Ateitis,
83797848,Deep learning for spatio-temporal modeling: Dynamic traffic flows and high frequency trading: Deep Learning for Spatio-Temporal Modeling,2018,Applied Stochastic Models in Business and Industry,
301066254,Deep learning for spatio‐temporal modeling: Dynamic traffic flows and high frequency trading,2019,Applied Stochastic Models in Business and Industry,
260962740,Deep learning for energy markets,2020,Applied Stochastic Models in Business and Industry,
237510642,A Gentle Introduction to Deep Learning in Medical Image Processing,2019,Zeitschrift Fur Medizinische Physik,
150987941,A Gentle Introduction to Deep Learning in Medical Image Processing,2019,Zeitschrift Fur Medizinische Physik,
134615537,Totally model-free actor-critic recurrent neural-network reinforcement learning in non-Markovian domains,2017,Annals of Operations Research,
96024618,A deep multi-modal neural network for informative Twitter content classification during emergencies,2020,Annals of Operations Research,
210596335,Joint sentence and aspect-level sentiment analysis of product comments,2020,Annals of Operations Research,
409422176,"FCN and LSTM Based Computer Vision System for Recognition of Vehicle Type, License Plate Number, and Registration Country",2018,Automatic Control and Computer Sciences,
219068311,Threat Analysis of Cyber Security in Wireless Adhoc Networks Using Hybrid Neural Network Model,2018,Automatic Control and Computer Sciences,
160106697,Playing a FPS Doom Video Game with Deep Visual Reinforcement Learning,2019,Automatic Control and Computer Sciences,
22783351,End-to-End Differentiable Learning of Protein Structure,2019,Cell systems,
293830532,End-to-End Differentiable Learning of Protein Structure,2019,Cell systems,
77054654,Acoustic–Phonetic Analysis for Speech Recognition: A Review,2018,Iete Technical Review,
468511480,Brain4Cars: Car That Knows Before You Do via Sensory-Fusion Deep Learning Architecture.,2016,arXiv: Robotics,
20935774,Inferring Object Properties from Incidental Contact with a Tactile Sensing Forearm,2014,arXiv: Robotics,
299874365,Neural Network Memory Architectures for Autonomous Robot Navigation,2017,arXiv: Robotics,
452137923,Towards continuous control of flippers for a multi-terrain robot using deep reinforcement learning.,2017,arXiv: Robotics,
18213438,Predicting Future Lane Changes of Other Highway Vehicles using RNN-based Deep Models,2018,arXiv: Robotics,
178180523,A Survey of Deep Network Solutions for Learning Control in Robotics : From Reinforcement to Imitation,2018,arXiv: Robotics,
302537252,Conditional Affordance Learning for Driving in Urban Environments,2018,arXiv: Robotics,
445572806,Learning deployable navigation policies at kilometer scale from a single traversal,2018,arXiv: Robotics,
281054277,End-to-End Deep Imitation Learning: Robot Soccer Case Study.,2018,arXiv: Robotics,
396315826,Integrating Algorithmic Planning and Deep Learning for Partially Observable Navigation.,2018,arXiv: Robotics,
171575247,Particle Filter Networks with Application to Visual Localization.,2018,arXiv: Robotics,
222691294,Crowd-Robot Interaction: Crowd-aware Robot Navigation with Attention-based Deep Reinforcement Learning,2018,arXiv: Robotics,
178003936,Auto-conditioned Recurrent Mixture Density Networks for Complex Trajectory Generation.,2018,arXiv: Robotics,
377412210,Multiple Interactions Made Easy (MIME): Large Scale Demonstrations Data for Imitation.,2018,arXiv: Robotics,
392609645,Modeling Multimodal Dynamic Spatiotemporal Graphs.,2018,arXiv: Robotics,
441821233,Safe Reinforcement Learning with Model Uncertainty Estimates.,2018,arXiv: Robotics,
376087845,Network Offloading Policies for Cloud Robotics: a Learning-based Approach.,2019,arXiv: Robotics,
442255302,Dynamic Manipulation of Flexible Objects with Torque Sequence Using a Deep Neural Network.,2019,arXiv: Robotics,
203406872,Prediction of Human Trajectory Following a Haptic Robotic Guide Using Recurrent Neural Networks.,2019,arXiv: Robotics,
417138186,LSTM-based Network for Human Gait Stability Prediction in an Intelligent Robotic Rollator.,2018,arXiv: Robotics,
422562613,Clustering of Driving Encounter Scenarios Using Connected Vehicle Trajectories.,2018,arXiv: Robotics,
127957938,Detection and Tracking of Small Objects in Sparse 3D Laser Range Data.,2019,arXiv: Robotics,
424819473,Long Range Neural Navigation Policies for the Real World.,2019,arXiv: Robotics,
123351050,"Future Near-Collision Prediction from Monocular Video: Feasibility, Dataset, and Challenges.",2019,arXiv: Robotics,
433741495,Interaction-aware Multi-agent Tracking and Probabilistic Behavior Prediction via Adversarial Learning.,2019,arXiv: Robotics,
488846010,Particle Filter on Episode.,2019,arXiv: Robotics,
387544416,The Trajectron: Probabilistic Multi-Agent Trajectory Modeling with Dynamic Spatiotemporal Graphs.,2019,arXiv: Robotics,
345631256,"Neural Path Planning: Fixed Time, Near-Optimal Path Generation via Oracle Imitation.",2019,arXiv: Robotics,
305406239,SA-Net: Deep Neural Network for Robot Trajectory Recognition from RGB-D Streams.,2019,arXiv: Robotics,
144414011,LeTS-Drive: Driving in a Crowd by Learning from Tree Search,2019,arXiv: Robotics,
383124137,A Hierarchical Network for Diverse Trajectory Proposals.,2019,arXiv: Robotics,
259140267,Translating Videos to Commands for Robotic Manipulation with Deep Recurrent Neural Networks,2017,arXiv: Robotics,
429458140,Towards Robotic Feeding: Role of Haptics in Fork-based Food Manipulation.,2019,arXiv: Robotics,
362707353,Interactive Text2Pickup Network for Natural Language based Human-Robot Collaboration,2018,arXiv: Robotics,
94502325,Navigational Instruction Generation as Inverse Reinforcement Learning with Neural Machine Translation,2016,arXiv: Robotics,
77155080,Bio-LSTM: A Biomechanically Inspired Recurrent Neural Network for 3D Pedestrian Pose and Gait Prediction,2018,arXiv: Robotics,
312348571,Crowd-Robot Interaction: Crowd-aware Robot Navigation with Attention-based Deep Reinforcement Learning.,2018,arXiv: Robotics,
300820458,Particle Filter Networks with Application to Visual Localization,2018,arXiv: Robotics,
76394207,Towards Learning to Perceive and Reason About Liquids,2016,arXiv: Robotics,
196070073,Deep Learning Scooping Motion using Bilateral Teleoperations,2018,arXiv: Robotics,
317624827,Intervention Aided Reinforcement Learning for Safe and Practical Policy Optimization in Navigation.,2018,arXiv: Robotics,
252964529,Multiple Interactions Made Easy (MIME): Large Scale Demonstrations Data for Imitation.,2018,arXiv: Robotics,
449610574,Conditional Affordance Learning for Driving in Urban Environments.,2018,arXiv: Robotics,
45717115,From virtual demonstration to real-world manipulation using LSTM and MDN,2016,arXiv: Robotics,
479764928,Aerial Animal Biometrics: Individual Friesian Cattle Recovery and Visual Identification via an Autonomous UAV with Onboard Deep Inference,2019,arXiv: Robotics,
202820351,Sequence-to-Sequence Natural Language to Humanoid Robot Sign Language,2019,arXiv: Robotics,
