id,year,citation_cnt
56158074,1997,17104
483425525,2016,22827
53884400,2015,10409
175408400,2015,5797
427786968,2014,4866
113095401,2015,4578
115742010,2014,3079
259537963,2013,2571
434239941,2016,2515
238981580,2015,2426
168338164,2014,2349
430631503,2015,2332
11241121,2016,2203
151001799,2015,2195
369112880,2015,2152
265308682,2015,1999
384535478,2017,1750
50808015,2000,1620
384558028,2015,1528
267952591,2013,1514
232826137,2014,1383
279939542,2013,1363
387887298,2016,1309
123832346,2006,1306
332498270,2018,1150
63415238,2016,1123
134465999,2016,1105
377022227,2000,1090
495859867,2013,1050
231091986,2017,1005
50702170,2014,980
259820447,2015,974
444983080,2009,958
155086680,2016,917
386334698,2014,906
476883673,2014,902
452812965,2017,852
194142515,2009,849
219333269,2015,836
104976078,2015,834
50513934,2014,803
87137337,2014,802
475829016,2005,783
109358396,2016,782
183645933,2015,744
372557892,2016,735
402787866,2018,734
249347334,2015,731
400788606,2014,714
175283055,2017,712
3270351,2015,706
353339045,2014,703
31254894,2015,693
22331793,2015,692
400331885,2014,687
99699759,2015,685
458653373,2014,680
348547237,2011,674
192301168,2015,666
470490857,2015,663
296626728,2016,659
163661626,2015,644
386638449,2016,623
415035903,2015,618
223164844,2017,617
156210487,2006,614
234855952,2003,613
223025113,2016,603
428757494,2001,601
478771822,2013,592
41368145,2015,586
93325691,2014,581
120495489,2012,578
58445814,2014,570
364049350,2016,555
76205213,2018,553
173855683,2015,549
125725924,2015,546
154718838,2016,536
381741230,2010,528
123868171,2017,526
23711244,2016,517
307397082,2016,512
223166584,2018,511
431383192,2015,508
226608092,2016,507
339264865,2016,504
409550048,2015,493
67754547,2015,492
48275728,2018,491
306932038,2017,484
281387247,2015,482
120456864,2017,469
363704497,2016,469
422563478,2016,463
492076769,2015,459
467316808,2016,457
237828468,2008,457
153430342,2015,444
486306177,2016,442
143777132,2018,441
241703839,2015,438
219549857,2018,437
100134993,2016,434
91040768,2015,427
331697599,2011,424
87866805,2015,424
343491836,2017,423
431742991,2016,419
89047407,1999,417
180801946,2017,414
293169476,2017,414
319294412,2015,409
470780090,2017,407
340600896,2011,404
455104248,2016,391
419249818,2015,389
136534811,2015,383
455341997,2016,382
315356065,1996,380
174930166,2016,380
14716563,2015,370
91311029,2016,369
280773330,2016,369
297115577,2000,368
384615941,2014,367
256942692,2016,366
27151880,2016,366
373793523,2017,363
36173052,2017,362
85005085,2016,360
180782032,2016,355
359960759,2013,351
22524958,2016,345
226943483,2010,344
84490041,2018,343
223513156,2017,341
404174669,2018,337
400971325,2016,329
362282254,2015,327
132243814,2014,327
17820536,2016,324
127877616,2015,323
474844724,2012,319
341824013,2016,317
408229666,2016,314
199796211,2016,311
178646406,2017,310
487037216,2015,310
45809059,2015,309
82880309,2016,308
196192702,2012,306
375015362,2002,302
238478168,2015,296
394612409,2016,295
404280433,2015,294
379145334,2016,294
234024489,2018,291
281311887,2017,289
339062114,2015,288
253970690,2015,288
123843407,2016,288
347649851,2016,284
499713224,2017,282
290102099,2016,282
173870038,2017,281
286526667,2014,277
11552649,2015,276
266112489,2015,275
389127866,2016,272
185540261,2015,271
244867446,2016,270
231927119,2015,268
178985890,2005,267
371375627,2015,266
163001183,2009,265
170948535,2000,265
312028232,2016,265
135686547,2015,264
46262145,2015,264
320171434,2016,263
119369067,1999,263
320631083,2018,262
133646885,2016,261
208029667,2016,259
370454073,2017,258
121651949,2016,256
311272551,2016,256
341582476,2014,255
19424334,2016,253
142097580,2008,253
63912704,2014,251
400367957,2018,251
1536678,2005,251
180384830,2013,250
221642111,2016,250
246503408,2001,248
437168505,2017,248
64468378,2013,246
446744387,2016,246
316037127,2017,245
285155392,2015,245
232288262,2017,244
38384072,2001,243
282831257,2016,243
200172448,2019,242
222860483,2006,240
409039622,2017,235
18971720,2016,234
236324587,2016,234
113414365,2016,233
426138180,2016,233
238374298,2016,232
201934361,2015,230
195468185,1999,229
69157321,2015,229
114448712,2008,227
95382763,2017,227
161669843,2015,225
92155843,2016,224
184499043,2015,224
373929074,2016,223
94850187,2015,222
489237726,2016,222
