id,title,year,journal_name,conf_name
42433124,Computing the Probability of Specific Random Sector Graphs with Applications in Wireless Networks with Directional Antennas,2014,,Intelligent Information Hiding and Multimedia Signal Processing
389275631,GNDA: Detecting Good Neighbor Nodes in Adhoc Routing Protocol,2011,,International Conference on Emerging Applications of Information Technology
324456354,The cover time of random geometric graphs,2009,,Symposium on Discrete Algorithms
347044690,Dynamic Random Geometric Graphs,2007,,Symposium on Discrete Algorithms
285373400,On the connectivity of dynamic random geometric graphs,2008,,Symposium on Discrete Algorithms
184386748,Line-of-sight networks,2007,,Symposium on Discrete Algorithms
386738594,"Mobile geometric graphs: detection, coverage and percolation",2011,,Symposium on Discrete Algorithms
214070459,Dynamic Random Geometric Graphs,2007,,Symposium on Discrete Algorithms
80027396,Agreeing under randomized network dynamics,2012,,Advances in Computing and Communications
147168474,Distance graphs: from random geometric graphs to Bernoulli graphs and between,2008,,Foundations of Mobile Computing
195504938,Undirected connectivity of sparse Yao graphs,2011,,Foundations of Mobile Computing
411024715,On the fundamental limits of topology control,2004,,Foundations of Mobile Computing
49306581,Local broadcasting in the physical interference model,2008,,Foundations of Mobile Computing
451458000,On the Fundamental Limits of Topology Control in Ad Hoc Networks,2007,,Foundations of Mobile Computing
474742019,Hierarchical routing over dynamic wireless networks,2008,,Measurement and Modeling of Computer Systems
286709223,Robust network connectivity: when it's the big picture that matters,2006,,Measurement and Modeling of Computer Systems
261292469,Two way of round robin MAC protocol for clusterheads in WEAC for MANETS,2003,,Canadian Conference on Electrical and Computer Engineering
35639250,On the connectivity of nodes in wireless ad hoc and sensor net,2005,,Canadian Conference on Electrical and Computer Engineering
25978405,Connecting Two Worlds: Physical Models and Graph Models of Wireless Network Topologies,2011,,High Performance Computing and Communications
266617705,Comparison of two CDS algorithms on random unit ball graphs,2005,,Algorithm Engineering and Experimentation
448187286,On the Symmetric Range Assignment Problem in Wireless Ad Hoc Networks,2002,,IFIP International Conference on Theoretical Computer Science
213349987,Topology control with better radio models: Implications for energy and multi-hop interference,2007,,Dagstuhl Seminar Proceedings
193045226,Results on finite wireless networks on a line,2010,,Information Theory Workshop
220809175,"Capacity, stability and flows in large-scale random networks",2004,,Information Theory Workshop
31199752,CRBcast: a collaborative rateless scheme for reliable and energy-efficient broadcasting in wireless sensor networks,2006,,Information Processing in Sensor Networks
131981250,Random distributed multiresolution representations with significance querying,2006,,Information Processing in Sensor Networks
185857680,Efficient and fault-tolerant feature extraction in wireless sensor networks,2003,,Information Processing in Sensor Networks
121895843,Geographic routing with limited information in sensor networks,2005,,Information Processing in Sensor Networks
159191256,"Naps: scalable, robust topology management in wireless ad hoc networks",2004,,Information Processing in Sensor Networks
41142326,Robust computation of aggregates in wireless sensor networks: distributed randomized algorithms and analysis,2005,,Information Processing in Sensor Networks
372894162,Multi-hop communication is order-optimal for homogeneous sensor networks,2004,,Information Processing in Sensor Networks
420436746,A key pre-distribution scheme using deployment knowledge for wireless sensor networks,2005,,Information Processing in Sensor Networks
12468080,Mu It i-Hop Communication is Order-0 pti mal for Homogeneous Sensor Networks,2004,,Information Processing in Sensor Networks
371232114,A New Intra-cluster Node Scheduling Algorithm of Clustering Data Collection Protocol in WSNs,2009,,International Conference on Electronics Computer Technology
399440152,Future System: Using Manet in Smartphones the Idea the Motivation and the Simulation,2011,,Computational Intelligence
37605254,Critical Link Quality for Ad-Hoc Wireless Networks,2010,,Conference on Computer Communications Workshops
324909913,Quantitative Analysis of Partition Statistics and their Impact on Data Replication in MANETs,2007,,International Symposium on Parallel and Distributed Computing
438900476,On the cover time of random geometric graphs,2005,,"International Colloquium on Automata, Languages and Programming"
375077293,MANETS: High Mobility Can Make Up for Low Transmission Power,2009,,"International Colloquium on Automata, Languages and Programming"
164747799,Synchronization of a group of mobile agents with supercritical connectivity radius and large population,2010,,Chinese Control Conference
418516257,Convergence Analysis of Linearized Vicsek's Model,2006,,Chinese Control Conference
130852569,Attitude synchronization of multiple rigid bodies in SE(3) over proximity networks,2016,,Chinese Control Conference
