id,year,citation_cnt
62270017,1999,1078
438420345,2000,7653
491037503,2004,3666
447587648,2003,1583
435638631,2011,1419
81768926,2009,1279
259406880,2005,1108
201988060,2007,1060
119426160,2008,985
433467296,2003,915
15310271,2002,801
7869985,2004,761
247065786,2002,673
302380460,2010,630
228226755,2005,608
419210915,2004,584
79038774,2006,554
382646283,2003,511
41598602,2004,487
49098300,2002,485
355975549,2005,483
485510498,2003,465
22931638,2001,455
365989708,2003,415
378262073,2003,394
486438774,2003,384
307055523,2004,364
259897307,2005,361
351335658,2007,346
81307421,2012,344
146028723,2005,340
394538800,2005,330
18565512,2003,330
280592245,2006,325
66299919,2006,316
67578009,2006,311
64882936,2004,294
134604682,2005,288
311212180,2005,285
466527425,1998,283
208582427,2005,280
256657308,2006,268
223870872,2005,263
213265761,2004,258
1686056,2002,256
46160929,2000,254
245731670,2003,237
242722419,2003,233
176537202,2006,228
181030929,2005,228
414472967,2003,220
173796011,2002,216
214614973,2006,199
9715123,2004,198
440546139,2006,198
62880273,2006,193
226139279,2003,192
224480798,2004,174
42645204,2016,173
304686536,2006,173
404871401,2002,170
260361615,2004,163
206709624,2003,163
17250228,2001,159
358709897,2003,156
370416709,2004,153
411427185,2004,144
119050922,2008,141
21321213,2004,139
183856033,2005,139
301778816,2005,137
26273608,2004,136
450686363,2006,134
109129956,2005,133
380846124,2009,133
89876035,2007,131
64519455,2007,131
415952830,2003,129
296162997,1999,128
410542785,2004,124
281065594,2007,123
4339088,2004,121
53824257,2010,119
181150000,2010,115
432148935,2007,109
298958385,2009,108
109778733,2009,108
448187286,2002,107
873226,2009,107
106050984,2006,107
457220437,2007,105
49306581,2008,105
286836151,2005,103
62973467,2008,102
389745111,2003,102
52121472,2003,101
43132829,2009,101
82568038,2003,99
88427527,2004,98
41142326,2005,97
426775018,2008,95
71786501,2010,95
19426083,2002,95
495472726,2005,95
72085272,2011,94
361049508,2005,94
151951230,2004,93
220905331,2002,93
386738594,2011,91
447640346,2006,90
274789481,2006,89
177829982,2007,89
26940645,2003,88
