id,title,year,journal_name,conf_name
372367849,Neural network imputation: An experience with the national resources inventory survey,2008,Journal of Agricultural Biological and Environmental Statistics,
124892507,Supporting Learning in Evolving Dynamic Environments,2003,Computational and Mathematical Organization Theory,
131391344,Learning and transfer in dynamic decision environments,2007,Computational and Mathematical Organization Theory,
468192349,Applicability and effectiveness of classifications models for achieving the twin objectives of growth and outreach of microfinance institutions,2017,Computational and Mathematical Organization Theory,
133131203,Spatial interpolation and radiological mapping of ambient gamma dose rate by using artificial neural networks and fuzzy logic methods,2017,Journal of Environmental Radioactivity,
382313139,Rationalising crystal nucleation of organic molecules in solution using artificial neural networks,2019,CrystEngComm,
458138720,Predicting Lipophilicity of Drug‐Discovery Molecules using Gaussian Process Models,2007,ChemMedChem,
425047985,Using Modified Empirical Mode Decomposition for Iris Recognition,2008,Computer Standards & Interfaces,
126527798,Hierarchical Bayesian reservoir memory,2009,Computer Standards & Interfaces,
16089668,Using empirical mode decomposition for iris recognition,2009,Computer Standards & Interfaces,
235920141,Application of Data Mining techniques to identify relevant Key Performance Indicators,2017,Computer Standards & Interfaces,
141802959,A solar wind-based model of geomagnetic field fluctuations at a mid-latitude station,2015,Advances in Space Research,
346168407,Towards a GPS-based TEC prediction model for Southern Africa with feed forward networks,2009,Advances in Space Research,
451263013,Automated quantitative measurements and associated error covariances for planetary image analysis,2015,Advances in Space Research,
419193433,A prediction model of short-term ionospheric foF2 based on AdaBoost,2014,Advances in Space Research,
107675934,Incorporating uncertainty in land cover classification from remote sensing imagery,2000,Advances in Space Research,
248523716,"The variability and predictability of the IRI B0, B1 parameters over Grahamstown, South Africa",2009,Advances in Space Research,
480922894,Application of neural networks to South African GPS TEC modelling,2009,Advances in Space Research,
242762442,Validation of a neuro-variational inversion of ocean colour images,2006,Advances in Space Research,
318814203,Effectiveness of neural networks to regression with structural changes,2002,Applied Stochastic Models in Business and Industry,
44448097,A new column generation algorithm for Logical Analysis of Data,2011,Annals of Operations Research,
312983782,Optimization problems in electron microscopy of single particles,2006,Annals of Operations Research,
277181732,Applying an Extended Guided Local Search to the Quadratic Assignment Problem,2003,Annals of Operations Research,
452334610,An evolving radial basis neural network with adaptive learning of its parameters and architecture,2015,Automatic Control and Computer Sciences,
160236375,A reservoir radial-basis function neural network in prediction tasks,2016,Automatic Control and Computer Sciences,
15632775,New approach for power transformer protection based on intelligent hybrid systems,2012,Iet Generation Transmission & Distribution,
358655723,Application of radial basis function networks for solar-array modelling and maximum power-point prediction,2000,Iet Generation Transmission & Distribution,
245178818,Quantitative classification of adhesive bondline dimensions using Lamb waves and artificial neural networks,1999,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control,
48771788,Reconstruction of Viscosity Maps in Ultrasound Shear Wave Elastography,2019,IEEE Transactions on Ultrasonics Ferroelectrics and Frequency Control,
229932550,Journeys in non-classical computation II: initial journeys and waypoints,2006,"International Journal of Parallel, Emergent and Distributed Systems",
50515387,Journeys in non-classical computation I: A grand challenge for computing research,2005,"International Journal of Parallel, Emergent and Distributed Systems",
468675552,A review of osmodehydration for the food industry.,2010,African Journal of Food Science,
58738417,Prediction of Ethene+Oct-1-ene Copolymerization Ideal Conditions Using Artificial Neuron Networks,2010,Journal of Chemical & Engineering Data,
92042402,Estimation of Monsoon Seasonal Precipitation Teleconnection with El Niño-Southern Oscillation Sea Surface Temperature Indices over the Western Ghats of Karnataka,2019,Asia-pacific Journal of Atmospheric Sciences,
70594205,Predicting Direction of Stock Prices Index Movement Using Artificial Neural Networks: The Case of Libyan Financial Market,2014,"British Journal of Economics, Management and Trade",
454616833,Shape Dimension and Intrinsic Metric from Samples of Manifolds,2004,Discrete and Computational Geometry,
144797422,Combination of a Time Reversal Process and a Consecutive Outlier Analysis for Baseline-free Damage Diagnosis,2006,Journal of Intelligent Material Systems and Structures,
290267941,Evaluation of machine learning classifiers in keratoconus detection from orbscan II examinations,2010,Clinics,
291673404,Multimodal Biometric Person Authentication : A Review,2012,Iete Technical Review,
