id,year,citation_cnt
99188113,1995,17051
483425525,2016,22827
138596436,2011,19314
448784449,1999,16495
300407453,1998,13250
393074942,2005,7685
225212230,2004,5973
103211781,1999,5217
109033005,1996,4848
306857016,2000,4790
266357514,2001,4661
364063463,2001,4071
379523522,2001,3962
83928985,2005,3660
234792304,2002,2904
58966186,2001,2749
401268354,1998,2205
148466,1999,2200
392663401,2001,2034
47160876,2012,2020
107284747,1997,2006
214078868,2000,1992
473245067,2002,1969
229970081,2007,1964
6118677,2000,1885
336429795,2000,1860
41819836,1997,1843
420653310,2004,1798
106156329,2004,1743
136912556,2009,1679
139984880,2006,1678
94092846,2004,1674
365642854,2006,1610
465370734,2002,1491
455779136,2003,1489
28334979,2007,1477
154305633,2000,1425
306523521,1999,1412
458572005,2005,1394
279939542,2013,1363
28514083,2008,1353
236158254,2002,1351
309729522,2001,1340
123832346,2006,1306
187592918,2003,1241
478406344,2000,1203
124673840,2003,1193
40756945,2003,1170
373462623,2006,1167
383370700,2001,1142
405580707,2010,1106
133633043,1998,1099
244963354,2005,1094
60143226,2000,1085
67166214,2002,1035
372391994,2014,1028
250570854,1998,1004
422911816,2001,999
88657585,1999,984
133878672,2004,970
168066571,1998,963
485876762,2001,951
214748994,2004,943
48562159,1998,935
114316391,2009,909
48119417,2002,904
16813446,1999,896
370095134,2000,888
289121254,2007,877
436730498,2005,872
482953129,2002,851
216911436,2001,847
81911125,2006,837
106302019,2009,821
285215352,1998,802
453840997,2013,788
429880236,2001,786
475829016,2005,783
462955884,2009,767
282630640,1998,763
230689637,2004,760
54482337,2009,760
136545413,2011,757
452010096,2002,751
451804446,2003,745
405548537,2002,730
312499973,2011,715
400788606,2014,714
49731392,1999,679
70951224,2004,678
447327114,1997,665
430380252,2010,662
27248041,2002,662
54222305,1999,656
715429,2003,651
383121811,1999,646
195224760,2015,645
126105012,2005,643
463489570,2003,642
432395353,2002,635
487888788,2008,634
447873583,1999,630
302112303,2004,630
242484748,2007,627
215101666,1998,627
36452863,2006,621
230025737,2000,620
59618857,2007,619
45816352,2000,618
119590756,2006,603
97444793,2000,601
202573533,2005,593
24603119,2001,589
410239265,2006,588
172706190,2007,588
261832652,1999,586
49689261,2008,579
120495489,2012,578
478613092,2015,577
274279102,1999,575
149796220,2003,574
162284064,1999,572
116964176,1996,561
331198590,2002,561
140782818,2004,555
282755238,2002,553
261447572,2004,547
154374262,2004,541
30824319,2007,541
484738576,2002,531
311458929,2010,529
489932671,2007,528
38509349,2001,527
109369455,2003,518
30354005,2001,515
251729325,2010,515
297843568,2001,509
349861194,2006,509
234027383,1998,508
258059907,2002,506
456618766,2009,496
237411414,1999,495
80639268,2001,491
466600848,2002,490
369745882,2003,484
456096481,2004,483
258604389,2003,482
22519779,2010,481
116214859,2003,481
59542249,2010,472
457284376,2005,471
249003959,2006,470
353688335,2001,466
426265973,1999,465
391417066,2003,465
105077367,1997,460
206086407,2001,457
293673852,2002,457
105129827,2000,456
443606758,1998,455
173077469,2003,451
76053226,2003,451
233328908,2001,445
149577357,1999,445
114324787,2004,441
29247121,2004,437
65742097,1999,437
281366267,1999,434
225267793,1998,433
340930807,2002,431
320781625,2003,429
417044703,2009,426
187128821,2003,424
459871616,2002,421
368670041,2015,421
11950649,2009,421
417432926,1998,420
74661092,1998,419
446980172,2004,418
431985263,2007,416
297542334,2004,415
66637070,2000,414
263129071,2010,413
259249164,2003,407
464432985,2007,406
5107915,1999,405
66907169,1999,403
99275268,2006,402
338854929,2001,401
444925777,2001,397
495325049,2003,393
287451547,2000,390
130536763,2001,390
181988836,2001,386
190710622,1999,386
107632156,1999,386
382030968,2006,384
455285826,2007,384
344912480,2008,383
249325253,2007,380
81236831,2000,379
418499161,2003,373
336042966,2004,372
362099820,2006,369
105787702,2011,369
88571007,2002,368
342463541,1999,367
58244084,2000,366
325430210,2007,363
76829674,2005,362
245005909,2018,358
398638264,1997,358
127086779,2002,357
251426069,2003,357
84625458,2000,356
333367551,2003,355
18252365,2003,352
316985141,1998,351
159677391,2007,351
338196523,2009,350
155328481,2003,346
174873928,2003,345
42092120,2008,345
226943483,2010,344
477001773,2001,342
160085373,2009,341
355089994,2003,340
59964329,2005,339
284114627,2006,339
321355977,2005,339
49010329,2005,339
408378405,2005,338
68598988,2006,336
176096808,2006,333
482363923,2009,331
473998383,2003,330
147004022,2008,330
238930454,2010,330
441340868,2006,329
259278055,2005,324
114544504,2004,323
435728759,1997,323
177041357,2000,319
125975603,2007,318
496301809,2011,317
77669596,2010,317
43700057,1999,316
154618161,2006,315
323131840,2006,315
151348111,1999,314
424071428,2004,313
131932578,2001,313
459191782,2000,310
369338810,2002,309
284699115,2007,304
336943825,1998,304
122555099,2000,303
143569009,1997,302
339747357,2009,301
427536815,2004,300
372238282,2003,297
58871284,1998,297
314257897,2009,296
298317838,2003,296
199863858,2004,296
268758120,1999,294
54793411,1999,294
33138555,1998,292
14792972,1998,292
274556822,2002,291
490063051,2001,291
397581201,2006,290
369135756,1998,289
92941962,2004,287
14490192,2005,286
404117402,2003,285
437078019,2009,285
252058396,2005,284
208925853,2001,284
248079329,2002,283
368783146,2001,283
346497043,2012,282
70820646,2001,282
377995125,2005,281
404960062,2008,280
498823964,2000,280
359450277,2001,280
394394679,2006,280
330382460,1999,280
410400209,2002,279
278866342,2016,279
330945424,2002,279
71958548,2005,275
7591401,2001,275
421438394,2004,275
292803509,2005,275
295976059,2007,274
436645180,2009,273
382952425,2005,273
53674192,2002,272
158917589,2005,272
50225014,2007,271
338830357,2017,270
288857693,2003,270
170087646,2008,270
183742963,2006,270
291297825,1999,269
238031808,2002,269
241991464,2004,269
415374730,2008,268
384015282,2002,268
268482428,2004,267
187651277,1998,267
178985890,2005,267
476366692,2003,266
460232776,1997,265
81362107,2004,265
430173504,1999,265
367957219,2011,264
238860154,2011,264
496586973,2000,263
327495966,2005,262
190336249,1998,261
189111414,2008,260
390784299,2003,260
546217,2000,259
236457055,2010,258
25098993,2002,257
352719814,2003,257
50057735,2004,257
92351933,2002,255
194074132,2003,255
13650168,2006,254
58169647,2000,254
330178388,2000,254
370245415,2011,253
358843500,2009,253
263740803,2011,252
63337845,2004,252
393896931,2015,252
148474823,2008,252
171387447,2005,252
249170375,2002,250
396407253,2003,250
372784708,1999,250
268064781,2002,249
59345787,2009,249
354465107,2005,249
196423379,2000,247
310052700,2011,247
440533702,2006,245
249677464,2013,245
378568898,2007,244
176242502,2006,243
133688236,2004,242
190283884,2002,242
181051599,2006,241
222860483,2006,240
88191610,2006,240
455611454,2006,239
388273196,2015,238
291862319,2008,238
11633724,2002,238
371072535,2008,237
319892040,2009,236
40878996,2009,236
114586994,1999,236
274372634,2010,236
140474936,2005,236
481855621,1998,235
430702520,2003,233
163210382,2000,233
219774494,1999,232
244030760,1999,232
453020366,2000,232
498093908,2012,231
372910404,2007,231
30711558,2005,231
379207225,2010,230
118454344,2010,230
307396542,2006,228
368264485,2007,228
92932810,2000,228
387356283,2004,227
458838767,2001,227
250207889,1999,226
130210926,2002,226
96788866,2001,226
100503460,2001,225
177864535,1998,225
287291278,2002,224
231234550,2000,224
180686297,1998,224
240594303,2012,223
113216400,2001,222
372483060,2010,222
196938014,2002,222
258914475,2000,221
30095448,1999,221
371902424,2009,220
432796794,2002,220
198836955,2002,219
234923998,1998,219
232532837,2003,219
481993800,1999,218
272769003,2005,218
379745812,2004,217
299392420,2010,217
201466091,2014,217
285407916,2003,217
444537592,2010,217
103671082,2005,216
305255996,2005,216
235244735,2003,215
392227981,1999,214
249990363,2001,214
217572215,2017,214
49766526,2004,213
250909534,2001,213
373097735,2009,212
296103409,2007,212
455833281,2010,212
53565462,2002,211
62405996,2005,211
410948349,2004,210
425872672,2003,210
260559343,2000,210
138637846,2004,210
33682565,2010,209
216870650,2004,209
32078183,2007,209
28391078,1999,208
478685900,2000,207
256563534,2006,207
363910302,1998,207
401254010,2006,207
163434430,2003,206
65984976,2001,206
411351200,2000,206
422071438,2007,205
454468990,2003,204
262060124,2009,204
413395130,1997,203
77077822,2003,203
27545022,2006,203
320917668,2005,202
243540675,2009,202
366166453,2000,201
310437500,2001,201
93366796,2007,200
483704692,2010,200
65095257,2002,199
229444782,2003,199
336918584,2004,199
368725050,1999,199
416308384,2004,198
182437587,2005,198
425856973,2003,198
496353673,2009,198
17233208,1997,198
293073432,2002,198
296334196,2008,197
419564549,2003,197
383266185,2004,197
355089523,2006,196
167635249,2009,196
116044235,2005,195
278882499,2002,195
88037801,2008,195
429758584,2007,194
75453564,2002,193
17556255,2009,193
411753719,2002,193
261451290,2000,193
303668918,2005,193
54708083,2010,193
327336205,2006,192
128145420,2003,192
104219322,2012,191
45366258,2002,191
97142980,2014,190
267997685,2002,190
283334265,2015,189
56791195,2009,189
376797184,2005,189
467710391,2001,189
430885898,1997,189
160824084,2011,189
419730374,2011,188
173490988,2006,188
442024363,2002,188
478430749,2001,187
348723796,2007,187
288782065,2003,187
19692797,2009,187
132062839,2005,187
357235700,2000,186
466263952,2003,186
163781400,1997,186
421884514,2002,186
404042076,2000,186
456525677,2002,185
491879823,2007,185
480411693,2009,185
27196682,2002,185
414524189,2002,185
115960442,2004,184
50559263,1997,184
122043121,2001,184
7783094,2000,184
128258575,2004,184
283547411,2006,184
101555667,1998,184
441912651,2003,183
412736770,2003,182
354169486,2011,182
410101754,2000,182
337231229,2001,182
54837588,2013,182
428343754,2002,182
429282309,2002,181
217501601,2002,181
92620233,2003,181
56076999,2002,181
108248184,1998,181
49684061,2014,181
28467615,2003,181
462820782,2003,180
63577321,2000,180
145289498,2001,179
483228555,2005,179
459828402,2010,179
365561312,2005,179
252892012,2001,179
136299297,2000,179
215455078,1997,178
72502375,2000,178
472440796,2005,178
269855892,1998,177
70271733,2004,177
213615570,1999,177
38183346,1998,176
112734809,2001,176
358061936,2007,175
382431998,2012,175
65484147,2005,175
486190632,2014,175
37436677,2005,174
367060757,2006,174
337393215,2004,174
13308091,2001,173
222914862,2005,173
341228856,2010,173
157137967,2010,173
64139921,2010,173
365934446,2007,173
365085393,2004,172
330137880,2004,172
291305459,2016,172
475312135,2002,172
477546462,2004,171
159951030,1998,171
95617903,2008,171
321249120,2005,171
423048320,2001,171
336482533,2002,171
179656426,2000,171
221931579,2003,171
193931622,2004,170
481802641,2009,170
278480522,2006,170
323024875,2005,169
155910093,2002,169
11582754,2001,169
169367475,2002,169
456569209,2001,168
367205945,2008,168
362343228,1996,167
296417754,2014,167
386397178,2016,167
313968576,2002,167
455390237,2017,167
324200078,2011,167
374390455,2004,166
23963052,2005,166
402831230,2006,166
48379881,2002,166
31101334,2003,166
261776997,2005,166
318088617,2010,166
43151703,2000,165
130923273,2011,165
353274340,2000,164
347390566,2001,164
249042723,2003,163
2807865,2004,163
359893132,2005,163
306260025,2004,163
485558752,2003,163
301309246,1998,163
22240103,2002,163
160782662,2007,163
153395345,2000,163
328025955,2000,162
367017200,2006,162
366855169,2003,162
309601948,2005,162
132782916,1997,162
379242588,1999,161
243753989,2005,161
6444290,2000,161
424537793,2002,161
258288570,2007,160
160168948,2002,160
363974108,2002,160
9217805,2006,160
73811135,2002,160
145946004,2011,160
66414157,2007,159
35431663,2005,159
412028494,2008,159
498379872,1996,158
162714553,2004,158
204295761,2003,158
95246918,2000,157
256806863,1998,157
372712308,2001,157
431315512,2011,157
42548531,2008,156
498242335,2009,156
47289250,2008,156
14777084,2004,156
358114972,2006,156
64774033,2003,155
337190847,2007,155
454001482,2000,155
85376531,2003,154
433728503,2006,154
389595082,2008,154
447620953,2016,154
168505465,2004,154
388893802,1999,154
438060764,2008,154
415643828,2016,153
464254991,2000,153
150300273,2007,153
205808378,2007,153
185349576,2005,153
176475532,1996,152
110347841,2007,152
53855009,2010,152
150190287,2007,152
22619531,2010,152
127505637,2010,152
461866020,2001,152
408767228,2002,151
272635417,1997,151
481610273,2012,151
46978390,1999,151
160047499,2011,151
201647352,2003,150
392328376,2004,150
468622269,2002,150
148039390,2011,150
161854777,2006,149
346159714,2000,149
75040678,2004,149
200751128,2012,149
327356165,2001,148
178432909,2015,148
275757033,2000,148
359241707,2015,148
39760337,2006,148
6512688,2002,148
165248422,2011,148
330380438,1999,147
284484641,2015,147
458534411,2008,147
140841561,1999,147
6380780,2005,147
476092293,2007,147
180636392,2001,147
26713707,2014,146
181382781,2004,146
373729604,2004,146
337707816,2007,146
136071488,2003,146
260437374,2003,146
253434427,2007,146
40386867,2006,146
284221806,2006,146
208084621,2002,145
393623567,2001,145
425953190,2004,145
276599475,2003,145
329543226,2000,145
9546778,2003,145
407271869,1999,144
32741971,2005,144
223365977,2006,143
106971143,2004,143
486485759,2007,143
33087773,2007,143
48881918,2004,143
253212836,2005,143
343880774,1999,142
257534982,2007,142
311981927,2004,142
308359094,2006,142
389189057,2012,141
132833467,2006,141
363966282,2002,141
306942134,2002,141
175223381,2004,141
19305245,2009,141
283384740,2006,140
128266485,2005,140
128192138,2005,140
152825826,2007,140
253841176,2006,140
239914906,2004,140
182254388,2006,140
464783595,2009,139
81176384,1998,139
88914842,2010,138
193428183,2011,138
311616649,2006,138
170716356,2014,138
57843664,2002,137
10764783,2002,137
255403431,2005,137
95991025,2006,137
144519673,2000,137
250642331,2004,136
43743174,2009,136
418673500,1998,136
121921817,2008,136
72374745,2001,136
437451203,2001,136
118739208,2010,135
30639233,2001,135
48293414,2009,135
418340285,2003,135
148115521,2006,135
235236327,2005,135
415487955,1999,135
436783747,2012,135
14817864,2011,135
422201431,2002,135
194492657,2005,135
429214750,2003,135
116325436,2008,134
388850402,2009,134
251134702,2010,134
354673769,2009,133
423766893,2013,133
361285337,2002,133
53711098,2007,133
396073309,1997,133
172937840,2005,133
31203704,2000,133
363911824,2002,132
344575801,2009,132
59826291,2006,132
54216430,2003,131
165733495,1999,131
288982459,2008,131
346586116,2006,131
422540004,2008,131
173690594,2004,130
490722627,2007,130
223824303,1999,130
56114866,2004,130
251398378,2014,130
142154696,2006,130
343556378,2005,130
398739136,2005,129
308982118,2003,129
62709366,2005,129
25757137,2011,129
252251641,2002,129
497931459,2002,129
484863521,2000,128
15506971,2002,128
73130492,2011,128
494538295,2008,128
224549594,2003,128
143658608,2004,127
198180139,2012,127
497826233,2005,127
256528465,2017,127
306941332,2017,127
447931934,2012,127
366713126,1998,127
485376032,2004,126
425079843,2002,126
91647231,1999,126
431531217,2002,126
68396086,2008,126
69038420,2001,126
336905288,2008,125
30168212,2007,125
482075178,2003,125
322050287,2003,124
389334550,2006,124
191959325,1997,124
124121172,2015,124
368210140,2010,124
366638842,2011,124
205113750,2009,123
355702477,2001,123
13151223,2003,123
488774524,2000,123
402664708,2006,123
355116125,2003,123
79157658,2007,123
209042679,2002,123
446020273,2002,123
266689071,2009,123
31584086,2010,122
407128227,2013,122
269581027,2015,122
161404479,2002,122
286352425,2004,122
320451375,2001,122
30418844,2002,121
399005978,2005,121
173310021,2011,121
91619978,2005,121
474275978,2007,121
393266845,2003,121
74594692,1998,121
294008316,2008,121
477863248,2000,121
314803820,2008,121
63558094,2006,120
461528995,2007,120
428698867,2009,120
396299678,2006,120
289483632,2001,120
14143218,1998,120
56376484,2002,120
194372763,2005,120
277069906,2004,119
86104817,2000,119
8239297,2011,119
412857121,2005,119
313686876,2007,119
460514512,2000,119
319787469,2004,119
371111089,2015,119
325238019,2000,119
355536511,2007,119
16225092,1998,118
293760975,2005,118
223740197,2009,118
167771964,2004,118
181259670,2003,118
11822292,2004,118
462238410,1999,118
392790924,2007,118
196926089,2007,117
247826332,2006,117
75658400,2002,117
46385147,2009,117
203488847,2005,117
196711484,2004,117
59811322,2006,117
351637909,2003,117
172376062,2010,117
325844307,2005,117
450156543,2003,117
360472980,2005,116
306931047,2003,116
266605142,2010,116
46368166,2004,116
372190645,2004,116
462140840,2005,116
430803094,2000,116
358958337,2003,115
372949219,2006,115
158536433,2002,115
248134221,2009,115
427406232,2011,115
296088162,2012,115
62460142,2010,115
63946900,2008,115
458420012,2003,115
103825572,2016,115
37406993,2012,115
410687176,2007,115
101895058,2014,115
113222658,2008,114
73024984,2000,114
442579821,2012,114
370297645,2002,114
125401544,2003,114
247131283,2008,114
424513547,1997,114
480943042,2003,114
458787611,2009,114
403636085,2007,114
278035580,2001,114
148152341,2012,113
114052951,2003,113
400366692,1999,113
20005451,2007,113
375503897,2001,113
104366478,2010,113
393608127,2002,113
10408560,2003,113
468587736,2007,112
181430231,2005,112
222520992,2012,112
316156110,2000,112
387396521,2008,112
199275876,2005,112
279383946,1999,111
471211343,2004,111
64634992,2007,111
269476330,2004,111
118734680,2007,111
377288139,2004,111
187141641,2007,111
254761058,2000,111
199919431,2005,110
2207138,2011,110
230712510,2009,110
191814767,2005,110
442805691,2005,110
267666767,2005,110
54755163,2007,109
260651614,2002,109
269329349,2002,109
31994962,2011,109
